Category,Metric,varianta_main_g1 Mean,variantb_main_parallel Mean,varianta_main_g1 P50,variantb_main_parallel P50,varianta_main_g1 P90,variantb_main_parallel P90,Unit
Build,Build time,215419,201090,215634,200367,223926,210270,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,40,39,40,39,47,46,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,16,15,9,8,45,43,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3946,3677,2846,2550,10637,9894,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,665,625,419,370,1392,1359,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,1,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,44,44,34,33,96,94,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,3,3,3,3,8,8,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,12,13,8,8,16,16,ms
Task Type,com.google.android.gms.oss.licenses.plugin.DependencyTask,79,87,91,91,153,127,ms
Task Type,com.google.android.gms.oss.licenses.plugin.LicensesTask,83,91,86,73,173,161,ms
Task Type,com.google.firebase.crashlytics.buildtools.gradle.tasks.InjectMappingFileIdTask,26,25,23,23,49,50,ms
Task Type,com.google.gms.googleservices.GoogleServicesTask,24,27,20,17,44,79,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,13,12,12,11,22,20,ms
Task Type,com.android.build.gradle.tasks.MergeResources,271,281,30,28,211,307,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,500,464,130,124,1430,1236,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,83,114,40,36,188,340,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,53,52,10,9,40,36,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,15,12,12,10,28,25,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,7,6,6,6,13,12,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,40,53,22,20,43,39,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,586,573,345,310,1158,938,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,77,126,17,16,209,217,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,156,128,45,40,371,172,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,19,21,11,11,30,27,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,31,34,19,17,51,48,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1463,1364,1290,1221,2239,2119,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,11,11,8,8,19,20,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3724,3515,3043,2827,6518,6343,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,361,319,107,99,950,743,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,151,125,21,20,57,55,ms
Task Type,com.google.protobuf.gradle.ProtobufExtract,73,69,9,10,352,348,ms
Task Type,com.google.protobuf.gradle.GenerateProtoTask,88,90,84,97,153,163,ms
Task Type,com.android.build.gradle.tasks.GenerateBuildConfig,33,32,29,30,63,61,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,20,18,11,11,24,24,ms
Task Type,androidx.room.gradle.RoomGradlePlugin$RoomSchemaCopyTask,5,3,3,2,9,8,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,28,27,11,11,70,70,ms
Task Type,com.android.build.gradle.internal.coverage.JacocoPropertiesTask,16,16,16,13,28,32,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,19,19,18,17,29,29,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,323,307,125,114,808,755,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,108,108,33,33,282,287,ms
Task Type,com.android.build.gradle.internal.tasks.L8DexDesugarLibTask,12960,12111,81,76,39410,37027,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,9936,8877,1258,1111,40323,37209,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,13,12,2,2,8,8,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,13,10,7,6,12,12,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,7,6,2,1,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,7,6,6,6,12,11,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,21,20,8,7,57,52,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,836,880,8,9,2674,3040,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,630,620,814,805,1204,1136,ms
Task Type,com.android.build.gradle.internal.tasks.JacocoTask,1233,1004,1110,1007,1780,1288,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,220,200,13,12,74,72,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1822,1616,1778,1539,2854,2545,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,2943,2766,2824,2505,4608,4279,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,7,7,7,6,14,13,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,7,7,5,5,10,10,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,5,5,4,4,9,9,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,5,5,5,4,9,8,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,14,10,5,5,12,12,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,33,32,21,21,42,42,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,40,37,32,31,72,66,ms
Task Type,com.android.build.gradle.tasks.BundleAar,18,18,16,15,32,31,ms
Task Path,:build-logic:convention:compileKotlin,12352,12254,12085,12058,12982,12786,ms
Task Path,:app:checkDemoDebugAarMetadata,1305,1208,1254,1194,1681,1573,ms
Task Path,:app:parseDemoDebugLocalResources,1797,1870,1254,1531,4223,5321,ms
Task Path,:app:processDemoDebugMainManifest,1248,1254,973,822,2611,3661,ms
Task Path,:app:mergeDemoDebugResources,5215,6517,5197,6491,5881,6931,ms
Task Path,:app:processDemoDebugResources,2136,2004,2156,1989,2344,2310,ms
Task Path,:core:common:kspKotlin,12405,12224,12333,12254,13502,12966,ms
Task Path,:core:analytics:kspDemoDebugKotlin,3473,3416,3420,3409,3801,3671,ms
Task Path,:ui-test-hilt-manifest:kspDemoDebugKotlin,6612,6267,6563,6288,7058,6720,ms
Task Path,:core:model:compileKotlin,14427,14008,14367,13925,15161,14663,ms
Task Path,:core:common:compileKotlin,2554,2462,2507,2412,2972,2965,ms
Task Path,:core:analytics:compileDemoDebugKotlin,2937,2603,2946,2599,3239,2833,ms
Task Path,:core:common:compileJava,1627,1533,1622,1545,1806,1684,ms
Task Path,:ui-test-hilt-manifest:compileDemoDebugKotlin,4044,3688,4011,3657,4359,3908,ms
Task Path,:core:analytics:compileDemoDebugJavaWithJavac,2508,2298,2514,2305,2750,2515,ms
Task Path,:ui-test-hilt-manifest:compileDemoDebugJavaWithJavac,1223,1190,930,897,2319,2205,ms
Task Path,:core:network:kspDemoDebugKotlin,3759,3882,3754,3814,4024,4273,ms
Task Path,:core:datastore-proto:compileDemoDebugKotlin,4660,4696,4630,4648,5090,5001,ms
Task Path,:core:database:kspDemoDebugKotlin,10722,10506,10685,10483,11345,10946,ms
Task Path,:core:database:kspProdDebugKotlin,8822,8645,8793,8585,9265,9146,ms
Task Path,:core:datastore-proto:compileDemoDebugJavaWithJavac,1543,1482,1551,1467,1720,1664,ms
Task Path,:core:datastore:kspDemoDebugKotlin,3146,2955,3116,2908,3436,3316,ms
Task Path,:core:network:compileDemoDebugKotlin,5973,5468,5952,5471,6476,5987,ms
Task Path,:core:datastore:compileDemoDebugKotlin,3596,3341,3550,3327,3921,3702,ms
Task Path,:core:notifications:kspDemoDebugKotlin,3379,3202,3351,3187,3747,3494,ms
Task Path,:core:notifications:compileDemoDebugKotlin,1731,1822,1742,1849,1966,2124,ms
Task Path,:core:database:compileProdDebugKotlin,11160,10502,11116,10511,11779,11219,ms
Task Path,:core:database:compileDemoDebugKotlin,11466,10901,11424,10835,12140,11698,ms
Task Path,:core:data:kspDemoDebugKotlin,4969,4888,4923,4917,5641,5452,ms
Task Path,:core:data:compileDemoDebugKotlin,9127,8726,7376,6532,13211,13387,ms
Task Path,:core:data:transformDemoDebugClassesWithAsm,3349,3597,3557,3604,4436,4515,ms
Task Path,:core:designsystem:compileDemoDebugKotlin,18055,17365,17886,17340,19597,18409,ms
Task Path,:core:designsystem:bundleLibCompileToJarDemoDebug,1807,1176,1060,58,3728,3638,ms
Task Path,:core:domain:compileDemoDebugKotlin,1223,1488,1125,1137,1459,1467,ms
Task Path,:core:domain:bundleLibCompileToJarDemoDebug,2644,2387,2647,2808,4902,4647,ms
Task Path,:core:ui:compileDemoDebugKotlin,5207,5175,5068,5201,6041,6097,ms
Task Path,:sync:work:kspDemoDebugKotlin,3901,3660,3867,3674,4414,4139,ms
Task Path,:feature:bookmarks:kspDemoDebugKotlin,5258,5175,5574,5613,7188,6782,ms
Task Path,:feature:foryou:kspDemoDebugKotlin,6102,6206,6190,6232,7252,7484,ms
Task Path,:feature:bookmarks:compileDemoDebugKotlin,5064,5236,5826,5820,7227,6786,ms
Task Path,:feature:bookmarks:compileDemoDebugJavaWithJavac,1116,1042,1059,1030,1517,1359,ms
Task Path,:app:l8DexDesugarLibDemoDebug,38734,36193,38582,35941,41234,38564,ms
Task Path,:feature:interests:kspDemoDebugKotlin,3190,2964,3008,2920,3681,3344,ms
Task Path,:feature:foryou:compileDemoDebugKotlin,6671,5900,6875,5978,8644,7704,ms
Task Path,:feature:search:kspDemoDebugKotlin,3034,2865,3032,2887,3424,3311,ms
Task Path,:app:mergeExtDexDemoDebug,42505,39571,42594,39693,44614,41637,ms
Task Path,:feature:interests:compileDemoDebugKotlin,2965,2856,2937,2814,3353,3578,ms
Task Path,:feature:settings:kspDemoDebugKotlin,3005,3166,2994,3186,3329,3644,ms
Task Path,:sync:work:compileDemoDebugKotlin,1470,1355,1485,1363,1711,1546,ms
Task Path,:feature:topic:kspDemoDebugKotlin,3042,2872,3012,2828,3523,3414,ms
Task Path,:feature:search:compileDemoDebugKotlin,4602,4458,4510,4391,5159,5104,ms
Task Path,:feature:settings:compileDemoDebugKotlin,2955,2719,2987,2679,3277,3176,ms
Task Path,:feature:topic:compileDemoDebugKotlin,3645,3247,3640,3220,4250,3754,ms
Task Path,:app:kspDemoDebugKotlin,5105,4464,5054,4400,5804,4968,ms
Task Path,:app:validateSigningDemoDebug,2494,2625,2313,2535,4024,3692,ms
Task Path,:app:mergeLibDexDemoDebug,1562,1303,1487,1270,1957,1611,ms
Task Path,:app:mergeProdDebugResources,3461,3202,3412,3140,4031,3612,ms
Task Path,:app:compileDemoDebugKotlin,6066,5391,6148,5380,6859,6021,ms
Task Path,:core:analytics:kspProdDebugKotlin,2579,2133,2572,2127,3134,2463,ms
Task Path,:ui-test-hilt-manifest:kspProdDebugKotlin,2728,2287,2737,2286,3164,2652,ms
Task Path,:app:processProdDebugResources,1198,1204,1167,1165,1540,1537,ms
Task Path,:ui-test-hilt-manifest:compileProdDebugKotlin,1323,1097,1280,1087,1703,1244,ms
Task Path,:core:analytics:compileProdDebugKotlin,1263,1091,1211,1064,1539,1352,ms
Task Path,:app:hiltAggregateDepsDemoDebug,1050,1019,1017,1004,1259,1162,ms
Task Path,:core:datastore-proto:compileProdDebugKotlin,1645,1380,1599,1352,2081,1580,ms
Task Path,:core:notifications:kspProdDebugKotlin,2505,2250,2468,2219,2933,2529,ms
Task Path,:core:network:kspProdDebugKotlin,2634,2382,2602,2329,3067,2685,ms
Task Path,:core:datastore:kspProdDebugKotlin,2293,2066,2239,2038,2655,2294,ms
Task Path,:core:network:compileProdDebugKotlin,2221,1901,2151,1921,2578,2053,ms
Task Path,:core:datastore:compileProdDebugKotlin,1564,1394,1497,1375,1865,1630,ms
Task Path,:app:hiltJavaCompileDemoDebug,5610,5106,5564,5050,6474,5533,ms
Task Path,:app:transformDemoDebugClassesWithAsm,1673,1160,1260,1164,4270,1357,ms
Task Path,:core:data:kspProdDebugKotlin,3420,3007,3385,3017,4345,3431,ms
Task Path,:app:mergeDemoDebugJavaResource,4828,4130,4595,4127,6262,4526,ms
Task Path,:app:dexBuilderDemoDebug,2672,2338,2559,2319,3605,2834,ms
Task Path,:core:designsystem:compileProdDebugKotlin,8842,7857,8707,7791,10080,8608,ms
Task Path,:core:data:compileProdDebugKotlin,3130,2773,2947,2704,4126,3619,ms
Task Path,:app:packageDemoDebug,4165,3992,4053,3710,5357,5285,ms
Task Path,:core:ui:compileProdDebugKotlin,3601,3195,3540,3181,4271,3632,ms
Task Path,:feature:bookmarks:kspProdDebugKotlin,3037,2409,2886,2290,4239,3237,ms
Task Path,:sync:work:kspProdDebugKotlin,3914,3549,3940,3575,4407,4061,ms
Task Path,:feature:foryou:kspProdDebugKotlin,3482,3229,3424,3080,4597,4270,ms
Task Path,:feature:bookmarks:compileProdDebugKotlin,3267,2690,3077,2421,4387,3760,ms
Task Path,:feature:interests:kspProdDebugKotlin,3848,3488,3876,3564,5158,4383,ms
Task Path,:feature:foryou:compileProdDebugKotlin,4499,3918,4547,3768,5928,5054,ms
Task Path,:feature:interests:compileProdDebugKotlin,3093,2894,2962,2737,4385,4087,ms
Task Path,:feature:search:kspProdDebugKotlin,2947,3249,2852,3157,3655,4296,ms
Task Path,:feature:settings:kspProdDebugKotlin,2726,2562,2671,2548,3195,3022,ms
Task Path,:feature:search:compileProdDebugKotlin,3685,3038,3597,2957,4322,3438,ms
Task Path,:feature:settings:compileProdDebugKotlin,2410,2109,2396,2005,2726,2682,ms
Task Path,:feature:topic:kspProdDebugKotlin,2814,2512,2663,2475,3639,2986,ms
Task Path,:sync:work:compileProdDebugKotlin,1502,1270,1536,1254,1729,1507,ms
Task Path,:feature:topic:compileProdDebugKotlin,2955,2501,2921,2500,3434,2835,ms
Task Path,:app:mergeExtDexProdDebug,25109,20457,24842,20125,27761,22894,ms
Task Path,:app:kspProdDebugKotlin,4260,4057,4169,4072,4883,4420,ms
Task Path,:app-nia-catalog:mergeDebugResources,2276,1945,2264,1900,2863,2263,ms
Task Path,:app:mergeLibDexProdDebug,1251,1096,1215,1092,1638,1345,ms
Task Path,:app:compileProdDebugKotlin,4735,4280,4733,4156,5488,4841,ms
Task Path,:app:compileProdDebugJavaWithJavac,1064,1066,974,904,1615,2136,ms
Task Path,:app-nia-catalog:compileDebugKotlin,3216,3331,3192,3038,3734,4465,ms
Task Path,:app-nia-catalog:dexBuilderDebug,1013,1061,856,773,1593,2306,ms
Task Path,:app-nia-catalog:mergeDebugJavaResource,1682,1863,1606,1478,2209,2819,ms
Task Path,:app:hiltJavaCompileProdDebug,5392,5481,5385,5735,5992,6385,ms
