Category,Metric,varianta_9.4.1 Mean,variantb_9.5.0 Mean,varianta_9.4.1 P50,variantb_9.5.0 P50,varianta_9.4.1 P90,variantb_9.5.0 P90,Unit
Build,Build time,575288,586719,577342,578024,619129,637590,ms
Build,Configuration time,61569,63573,59097,59848,75886,83721,ms
Gradle process state,Gradle-Process-gcTime,0.31,0.32,0.32,0.32,0.33,0.34,
Kotlin process state,Kotlin-Process-gcTime,0.3,0.3,0.3,0.3,0.33,0.33,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2618,2672,2203,2258,4028,4098,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,1759,1800,1506,1537,2704,2746,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1700,1720,1699,1671,1969,2038,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1169,1074,1115,1035,1648,1307,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,5600,5677,4335,4381,12364,12805,ms
Task Path,:build-logic:convention:compileKotlin,7586,7769,7550,7677,8185,8292,ms
Task Path,:app:app:parseDebugLocalResources,2158,2448,2182,2555,3332,4040,ms
Task Path,:core:account:kspDebugKotlin,7464,7724,7585,7670,8172,8413,ms
Task Path,:core:analytics:kspDebugKotlin,6770,6998,6832,6966,7281,7536,ms
Task Path,:core:article:kspDebugKotlin,6584,6793,6641,6722,7106,7327,ms
Task Path,:core:alarm:kspDebugKotlin,7053,7294,7127,7266,7705,7855,ms
Task Path,:core:account:compileDebugKotlin,10540,10725,10611,10601,11656,11622,ms
Task Path,:core:alarm:compileDebugKotlin,10529,10657,10610,10593,11473,11650,ms
Task Path,:core:analytics:compileDebugKotlin,10463,10654,10533,10600,11735,11524,ms
Task Path,:core:article:compileDebugKotlin,10310,10527,10413,10438,11296,11419,ms
Task Path,:core:account:compileDebugJavaWithJavac,1562,1239,1846,1685,2192,2074,ms
Task Path,:core:audio:kspDebugKotlin,2752,2895,2640,2871,3264,3501,ms
Task Path,:core:calendar:kspDebugKotlin,4022,4125,4124,4111,4635,4735,ms
Task Path,:core:cart:kspDebugKotlin,4004,4170,4009,4243,4671,4792,ms
Task Path,:core:cart-contact:kspDebugKotlin,5729,5814,5801,5787,6399,6766,ms
Task Path,:core:audio:compileDebugKotlin,7100,7115,7074,7093,7959,7585,ms
Task Path,:core:calendar:compileDebugKotlin,6109,6063,6139,6036,7054,6847,ms
Task Path,:core:cart:compileDebugKotlin,5832,5796,5786,5744,6793,6442,ms
Task Path,:core:checkout:kspDebugKotlin,4780,4747,4789,4694,5704,5680,ms
Task Path,:core:checkout-contact:kspDebugKotlin,3563,3627,3534,3533,4256,4262,ms
Task Path,:core:cart-contact:compileDebugKotlin,8385,8261,8551,8348,9579,9343,ms
Task Path,:core:checkout:compileDebugKotlin,4903,4980,4861,5001,5873,5742,ms
Task Path,:core:comment:kspDebugKotlin,4449,4650,4441,4597,4926,5378,ms
Task Path,:core:comment-contact:kspDebugKotlin,3106,3081,3046,3001,3801,3708,ms
Task Path,:core:contact:kspDebugKotlin,2853,2987,2858,3002,3284,3519,ms
Task Path,:core:checkout-contact:compileDebugKotlin,7044,7486,6996,7472,8144,8269,ms
Task Path,:core:comment:compileDebugKotlin,7041,7403,7010,7434,7951,8177,ms
Task Path,:core:comment-contact:compileDebugKotlin,5279,5539,5297,5621,5933,6223,ms
Task Path,:core:contact-contact:kspDebugKotlin,2950,3054,2928,2983,3743,3735,ms
Task Path,:core:contact:compileDebugKotlin,5096,5322,5130,5186,5744,6045,ms
Task Path,:core:document:kspDebugKotlin,2838,3118,2731,3047,3567,3646,ms
Task Path,:core:feed:kspDebugKotlin,2969,3001,2918,2959,3535,3578,ms
Task Path,:core:event:kspDebugKotlin,4199,4330,4245,4317,5009,5087,ms
Task Path,:core:contact-contact:compileDebugKotlin,5278,5305,5250,5211,6304,6342,ms
Task Path,:core:document:compileDebugKotlin,5412,5564,5337,5401,6421,6804,ms
Task Path,:core:feed:compileDebugKotlin,3530,3623,3581,3655,4092,4430,ms
Task Path,:core:event:compileDebugKotlin,4628,4732,4632,4787,5245,5598,ms
Task Path,:core:feed-contact:kspDebugKotlin,2686,2736,2745,2743,3350,3608,ms
Task Path,:core:file:kspDebugKotlin,2630,2854,2756,2806,3077,3456,ms
Task Path,:core:gallery:kspDebugKotlin,2628,2807,2637,2754,3177,3348,ms
Task Path,:core:feed-contact:compileDebugKotlin,3927,3920,4093,3840,4513,4388,ms
Task Path,:core:forecast:kspDebugKotlin,3725,3778,3852,3700,4347,4537,ms
Task Path,:core:file:compileDebugKotlin,4533,4647,4385,4650,5645,5427,ms
Task Path,:core:group:kspDebugKotlin,2510,2600,2536,2553,3060,3375,ms
Task Path,:core:gallery:compileDebugKotlin,3727,3882,3674,3780,4466,4623,ms
Task Path,:core:forecast:compileDebugKotlin,4057,4264,3929,4248,4899,5125,ms
Task Path,:core:group:compileDebugKotlin,3371,3413,3200,3404,4035,4099,ms
Task Path,:core:identity:kspDebugKotlin,2404,2522,2466,2444,2889,3396,ms
Task Path,:core:identity-contact:kspDebugKotlin,2399,2328,2456,2298,2817,2688,ms
Task Path,:core:list:kspDebugKotlin,2384,2322,2228,2240,2875,2918,ms
Task Path,:core:location:kspDebugKotlin,2466,2467,2434,2406,3131,3110,ms
Task Path,:core:identity:compileDebugKotlin,3503,3634,3594,3559,4234,4374,ms
Task Path,:core:identity-contact:compileDebugKotlin,3758,3598,3688,3474,4838,4352,ms
Task Path,:core:list:compileDebugKotlin,3216,3130,3153,3083,3738,3758,ms
Task Path,:core:location:compileDebugKotlin,4596,4464,4655,4523,5332,5107,ms
Task Path,:core:log:kspDebugKotlin,3296,3226,3234,3157,3966,4166,ms
Task Path,:core:login:kspDebugKotlin,2442,2360,2396,2404,2905,3061,ms
Task Path,:core:login-contact:kspDebugKotlin,2588,2643,2625,2604,3117,3086,ms
Task Path,:core:map:kspDebugKotlin,2551,2541,2495,2525,3263,3222,ms
Task Path,:core:login:compileDebugKotlin,3502,3597,3411,3561,4159,4400,ms
Task Path,:core:log:compileDebugKotlin,4898,4845,5085,4833,5563,5775,ms
Task Path,:core:map:compileDebugKotlin,4230,4083,4189,4140,5176,4699,ms
Task Path,:core:login-contact:compileDebugKotlin,4758,4673,4672,4552,5540,5535,ms
Task Path,:core:message:kspDebugKotlin,2526,2428,2492,2469,2927,2894,ms
Task Path,:core:media:kspDebugKotlin,2630,2503,2580,2475,3099,3094,ms
Task Path,:core:metric:kspDebugKotlin,2542,2504,2510,2440,3028,2929,ms
Task Path,:core:message:compileDebugKotlin,3467,3330,3458,3304,4098,3894,ms
Task Path,:core:network:kspDebugKotlin,2473,2527,2462,2472,2920,3005,ms
Task Path,:core:media:compileDebugKotlin,4609,4434,4553,4333,5335,5325,ms
Task Path,:core:news:kspDebugKotlin,2358,2423,2306,2449,2860,2829,ms
Task Path,:core:metric:compileDebugKotlin,3561,3438,3665,3377,4189,3867,ms
Task Path,:core:network:compileDebugKotlin,4363,4239,4387,4194,5236,4997,ms
Task Path,:core:news:compileDebugKotlin,4551,4783,4520,4731,5081,5629,ms
Task Path,:core:notification:kspDebugKotlin,2285,2299,2275,2259,2583,2732,ms
Task Path,:core:note:kspDebugKotlin,3023,3096,2994,3026,3695,3817,ms
Task Path,:core:photo:kspDebugKotlin,2930,3082,2910,3047,3719,3785,ms
Task Path,:core:playlist:kspDebugKotlin,2057,2019,2052,1939,2483,2741,ms
Task Path,:core:notification:compileDebugKotlin,3473,3653,3437,3762,4079,4167,ms
Task Path,:core:note:compileDebugKotlin,3750,3921,3698,3885,4385,4673,ms
Task Path,:core:photo:compileDebugKotlin,3534,3670,3629,3706,4283,4344,ms
Task Path,:core:playlist:compileDebugKotlin,2951,2822,2847,2818,3706,3515,ms
Task Path,:core:podcast:kspDebugKotlin,2203,2071,2193,1958,2773,2709,ms
Task Path,:core:post:kspDebugKotlin,2308,2167,2266,2120,3010,2731,ms
Task Path,:core:profile:kspDebugKotlin,2339,2417,2344,2354,2809,2947,ms
Task Path,:core:post-contact:kspDebugKotlin,2978,2914,2978,2970,3517,3470,ms
Task Path,:core:podcast:compileDebugKotlin,3280,3216,3257,3160,4165,4062,ms
Task Path,:core:post-contact:compileDebugKotlin,3149,3290,3177,3236,3757,4079,ms
Task Path,:core:profile:compileDebugKotlin,4127,4317,4144,4145,4895,5332,ms
Task Path,:core:post:compileDebugKotlin,4318,4464,4276,4523,5088,5205,ms
Task Path,:core:profile-contact:kspDebugKotlin,2152,2198,2096,2128,2634,2761,ms
Task Path,:core:push:kspDebugKotlin,2011,2142,1998,2123,2387,2707,ms
Task Path,:core:push-contact:kspDebugKotlin,2556,2885,2618,2774,3002,3489,ms
