Category,Metric,varianta_9.1.0 Mean,variantb_9.2.0 Mean,varianta_9.1.0 P50,variantb_9.2.0 P50,varianta_9.1.0 P90,variantb_9.2.0 P90,Unit
Build,Build time,588322,562176,592534,560925,619333,593537,ms
Build,Configuration time,59942,59527,61264,59080,68165,67752,ms
Gradle process state,Gradle-Process-capacity,3.85,3.77,3.84,3.75,4.22,4.12,
Gradle process state,Gradle-Process-gcTime,0.32,0.3,0.32,0.3,0.34,0.32,
Gradle process state,Gradle-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Gradle process state,Gradle-Process-uptime,9.78,9.35,9.86,9.33,10.3,9.87,
Gradle process state,Gradle-Process-usage,2.42,2.74,2.31,2.59,3.22,3.41,
Kotlin process state,Kotlin-Process-capacity,3.23,3.23,3.21,3.2,3.64,3.56,
Kotlin process state,Kotlin-Process-gcTime,0.3,0.28,0.31,0.28,0.32,0.33,
Kotlin process state,Kotlin-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Kotlin process state,Kotlin-Process-uptime,9.57,9.16,9.65,9.14,10.08,9.68,
Kotlin process state,Kotlin-Process-usage,1.32,1.4,1.3,1.38,2.16,1.99,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,6,8,7,7,9,25,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,32,34,31,36,40,43,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,38,46,37,48,52,63,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2691,2552,2283,2193,4019,3733,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,339,311,287,264,528,473,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,45,48,45,44,50,78,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,3,3,3,3,4,4,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,8,8,8,7,15,14,ms
Task Type,com.android.build.gradle.tasks.MergeResources,40,37,23,21,45,41,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessNavigationXmlTask,6,6,4,4,7,7,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,32,30,21,19,41,38,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,19,18,17,15,32,30,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,11,11,10,9,19,18,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,1818,1687,1562,1474,2748,2471,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,134,124,123,112,210,197,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,17,19,15,14,27,26,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,6,4,3,3,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,11,11,9,10,29,18,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,9,8,10,8,13,16,ms
Task Type,dagger.hilt.android.plugin.task.HiltSyncTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,5,15,5,3,9,5,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,470,2024,448,2333,658,3395,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,4,4,4,4,6,6,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,21,21,17,17,26,25,ms
Task Type,com.android.build.gradle.tasks.CompileNavigationXmlTask,82,31,87,30,109,42,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,13,14,13,13,18,35,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,2,2,2,2,4,5,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,12,16,9,11,14,17,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,227,263,212,272,289,326,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,133,137,138,139,153,167,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,32,29,29,28,65,47,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,7,7,7,7,11,11,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,6,8,6,7,9,12,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1708,1818,1709,1726,1988,2676,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1037,734,1019,710,1243,896,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsMergeTask,346,,340,,498,,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,136,148,111,163,224,179,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesDir,67,68,62,64,102,103,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,13,14,5,5,8,7,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,5541,7325,4102,4793,12551,17089,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,6,3,2,2,4,4,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,866,1006,778,1007,1335,1291,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,3,3,4,3,5,6,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,21,24,21,20,33,59,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,3,3,1,1,1,1,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,10,9,8,9,11,11,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,1,1,2,2,3,2,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,1,1,1,2,2,2,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,2,2,2,2,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,21,21,19,20,28,28,ms
Task Type,com.android.build.gradle.tasks.BundleAar,7,7,7,7,10,10,ms
Task Type,org.gradle.api.Task,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,841,804,830,798,975,867,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,2,2,3,3,3,3,ms
Task Path,:build-logic:convention:compileKotlin,7936,7798,7854,7718,8471,8638,ms
Task Path,:app:app:parseDebugLocalResources,2612,2339,2302,2608,5405,3701,ms
Task Path,:core:account:kspDebugKotlin,7951,7447,8031,7273,8490,7972,ms
Task Path,:core:analytics:kspDebugKotlin,7060,6785,7127,6609,7668,7394,ms
Task Path,:core:article:kspDebugKotlin,6880,6606,6923,6452,7506,7140,ms
Task Path,:core:alarm:kspDebugKotlin,7327,7041,7404,6848,7953,7619,ms
Task Path,:core:article:compileDebugKotlin,10612,10253,10440,10228,11759,10810,ms
Task Path,:core:account:compileDebugKotlin,10934,10475,10876,10490,12329,11024,ms
Task Path,:core:alarm:compileDebugKotlin,10789,10526,10674,10384,11898,11469,ms
Task Path,:core:analytics:compileDebugKotlin,10863,10571,10725,10580,12299,11032,ms
Task Path,:core:audio:kspDebugKotlin,2926,2934,2964,2940,3458,3449,ms
Task Path,:core:calendar:kspDebugKotlin,4183,2691,4312,2633,4866,3207,ms
Task Path,:core:cart:kspDebugKotlin,4264,2746,4313,2797,4760,3072,ms
Task Path,:core:audio:compileDebugKotlin,7262,5724,7236,5784,8449,6270,ms
Task Path,:core:cart-contact:kspDebugKotlin,6099,4695,6046,4730,7058,5421,ms
Task Path,:core:calendar:compileDebugKotlin,6285,5831,6182,5721,7348,6970,ms
Task Path,:core:cart:compileDebugKotlin,5903,5430,5733,5393,6989,6231,ms
Task Path,:core:checkout:kspDebugKotlin,4609,3626,4494,3519,5520,4153,ms
Task Path,:core:checkout-contact:kspDebugKotlin,3560,3054,3572,3011,3795,3472,ms
Task Path,:core:comment:kspDebugKotlin,4328,3834,4327,3778,4856,4482,ms
Task Path,:core:cart-contact:compileDebugKotlin,8460,7360,8394,7345,10215,8548,ms
Task Path,:core:checkout:compileDebugKotlin,5060,4603,5065,4529,5826,5368,ms
Task Path,:core:comment-contact:kspDebugKotlin,2973,3023,2996,3079,3799,3747,ms
Task Path,:core:checkout-contact:compileDebugKotlin,7076,7318,7260,7454,8614,8068,ms
Task Path,:core:contact:kspDebugKotlin,2929,2664,3014,2604,3274,3220,ms
Task Path,:core:comment:compileDebugKotlin,7453,6877,7415,6904,8444,8053,ms
Task Path,:core:contact-contact:kspDebugKotlin,3087,3034,3109,3240,3526,3542,ms
Task Path,:core:comment-contact:compileDebugKotlin,5536,5725,5534,5849,6402,6198,ms
Task Path,:core:document:kspDebugKotlin,3054,3178,3109,3164,3395,3661,ms
Task Path,:core:contact:compileDebugKotlin,5424,5463,5470,5578,6405,6152,ms
Task Path,:core:contact-contact:compileDebugKotlin,5329,5324,5241,5217,6107,6215,ms
Task Path,:core:document:compileDebugKotlin,5712,5292,5751,5171,6768,6012,ms
Task Path,:core:event:kspDebugKotlin,4088,4035,4102,4105,4984,4553,ms
Task Path,:core:feed:kspDebugKotlin,2887,2490,2832,2543,3643,3035,ms
Task Path,:core:feed-contact:kspDebugKotlin,2767,2544,2860,2568,3402,3237,ms
Task Path,:core:event:compileDebugKotlin,4504,4760,4552,4640,5234,5618,ms
Task Path,:core:feed:compileDebugKotlin,3495,3165,3495,3170,4117,3671,ms
Task Path,:core:file:kspDebugKotlin,2738,2610,2498,2517,3792,3555,ms
Task Path,:core:feed-contact:compileDebugKotlin,3827,3864,3775,3839,4417,4384,ms
Task Path,:core:gallery:kspDebugKotlin,2679,2523,2829,2510,3406,2978,ms
Task Path,:core:file:compileDebugKotlin,4411,4657,4381,4507,5528,5438,ms
Task Path,:core:forecast:kspDebugKotlin,3677,3607,3636,3559,4287,4181,ms
Task Path,:core:group:kspDebugKotlin,2560,2424,2552,2209,3346,3396,ms
Task Path,:core:identity:kspDebugKotlin,2430,2614,2488,2559,2874,3317,ms
Task Path,:core:gallery:compileDebugKotlin,3546,3826,3522,3664,4542,4564,ms
Task Path,:core:group:compileDebugKotlin,3244,3278,3143,3475,4366,3624,ms
Task Path,:core:forecast:compileDebugKotlin,4145,4268,4234,4185,5438,5058,ms
Task Path,:core:identity-contact:kspDebugKotlin,2538,2537,2443,2602,3365,3000,ms
Task Path,:core:list:kspDebugKotlin,2320,2366,2308,2393,2688,2717,ms
Task Path,:core:identity:compileDebugKotlin,3788,3511,3791,3467,4785,4314,ms
Task Path,:core:location:kspDebugKotlin,2516,2339,2333,2203,3374,2885,ms
Task Path,:core:identity-contact:compileDebugKotlin,3754,3516,3661,3470,4654,3883,ms
Task Path,:core:list:compileDebugKotlin,3192,3022,3229,2944,3794,3473,ms
Task Path,:core:log:kspDebugKotlin,3357,2756,3283,2774,4769,3058,ms
Task Path,:core:login:kspDebugKotlin,2386,2269,2588,2228,3318,2855,ms
Task Path,:core:location:compileDebugKotlin,4566,4569,4393,4690,5736,5421,ms
Task Path,:core:login-contact:kspDebugKotlin,2574,2493,2579,2519,3222,3180,ms
Task Path,:core:log:compileDebugKotlin,4525,4319,4305,4323,5444,5068,ms
Task Path,:core:login:compileDebugKotlin,3466,3084,3369,3150,4126,3398,ms
Task Path,:core:map:kspDebugKotlin,2387,1930,2323,1941,2979,2347,ms
Task Path,:core:login-contact:compileDebugKotlin,4401,4075,4339,4328,5239,4634,ms
Task Path,:core:media:kspDebugKotlin,2345,1946,2320,2023,3160,2470,ms
Task Path,:core:message:kspDebugKotlin,2417,2155,2439,2144,3119,2806,ms
Task Path,:core:metric:kspDebugKotlin,2517,2401,2479,2320,3135,3058,ms
Task Path,:core:map:compileDebugKotlin,4035,3689,3998,3705,4717,4072,ms
Task Path,:core:message:compileDebugKotlin,3560,3099,3644,2864,3831,4105,ms
Task Path,:core:metric:compileDebugKotlin,3730,3218,3627,3027,4531,4294,ms
Task Path,:core:media:compileDebugKotlin,4435,4141,4606,4224,5188,4613,ms
Task Path,:core:network:kspDebugKotlin,2594,2226,2628,2231,3202,3086,ms
Task Path,:core:news:kspDebugKotlin,2391,2168,2408,2160,3321,2817,ms
Task Path,:core:notification:kspDebugKotlin,2307,2084,2229,2079,2981,2553,ms
Task Path,:core:note:kspDebugKotlin,3124,2949,3145,2896,3810,3859,ms
Task Path,:core:network:compileDebugKotlin,4422,4045,4403,4039,5109,4776,ms
Task Path,:core:news:compileDebugKotlin,4421,3993,4526,4103,4815,4692,ms
Task Path,:core:notification:compileDebugKotlin,3492,3093,3267,3069,4229,3861,ms
Task Path,:core:note:compileDebugKotlin,3703,3292,3724,3171,4528,4240,ms
Task Path,:core:playlist:kspDebugKotlin,1946,1706,1725,1558,2907,2394,ms
Task Path,:core:photo:kspDebugKotlin,3095,2601,3018,2731,3934,3217,ms
Task Path,:core:podcast:kspDebugKotlin,2105,1924,2170,1906,2528,2315,ms
Task Path,:core:playlist:compileDebugKotlin,2993,2407,2774,2372,3960,2712,ms
