Category,Metric,varianta_9.1.0 Mean,variantb_9.2.0 Mean,varianta_9.1.0 P50,variantb_9.2.0 P50,varianta_9.1.0 P90,variantb_9.2.0 P90,Unit
Build,Build time,588322,562176,592534,560925,619333,593537,ms
Build,Configuration time,59942,59527,61264,59080,68165,67752,ms
Gradle process state,Gradle-Process-gcTime,0.32,0.3,0.32,0.3,0.34,0.32,
Kotlin process state,Kotlin-Process-gcTime,0.3,0.28,0.31,0.28,0.32,0.33,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2691,2552,2283,2193,4019,3733,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,1818,1687,1562,1474,2748,2471,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1708,1818,1709,1726,1988,2676,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1037,734,1019,710,1243,896,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,5541,7325,4102,4793,12551,17089,ms
Task Path,:build-logic:convention:compileKotlin,7936,7798,7854,7718,8471,8638,ms
Task Path,:app:app:parseDebugLocalResources,2612,2339,2302,2608,5405,3701,ms
Task Path,:core:account:kspDebugKotlin,7951,7447,8031,7273,8490,7972,ms
Task Path,:core:analytics:kspDebugKotlin,7060,6785,7127,6609,7668,7394,ms
Task Path,:core:article:kspDebugKotlin,6880,6606,6923,6452,7506,7140,ms
Task Path,:core:alarm:kspDebugKotlin,7327,7041,7404,6848,7953,7619,ms
Task Path,:core:article:compileDebugKotlin,10612,10253,10440,10228,11759,10810,ms
Task Path,:core:account:compileDebugKotlin,10934,10475,10876,10490,12329,11024,ms
Task Path,:core:alarm:compileDebugKotlin,10789,10526,10674,10384,11898,11469,ms
Task Path,:core:analytics:compileDebugKotlin,10863,10571,10725,10580,12299,11032,ms
Task Path,:core:audio:kspDebugKotlin,2926,2934,2964,2940,3458,3449,ms
Task Path,:core:calendar:kspDebugKotlin,4183,2691,4312,2633,4866,3207,ms
Task Path,:core:cart:kspDebugKotlin,4264,2746,4313,2797,4760,3072,ms
Task Path,:core:audio:compileDebugKotlin,7262,5724,7236,5784,8449,6270,ms
Task Path,:core:cart-contact:kspDebugKotlin,6099,4695,6046,4730,7058,5421,ms
Task Path,:core:calendar:compileDebugKotlin,6285,5831,6182,5721,7348,6970,ms
Task Path,:core:cart:compileDebugKotlin,5903,5430,5733,5393,6989,6231,ms
Task Path,:core:checkout:kspDebugKotlin,4609,3626,4494,3519,5520,4153,ms
Task Path,:core:checkout-contact:kspDebugKotlin,3560,3054,3572,3011,3795,3472,ms
Task Path,:core:comment:kspDebugKotlin,4328,3834,4327,3778,4856,4482,ms
Task Path,:core:cart-contact:compileDebugKotlin,8460,7360,8394,7345,10215,8548,ms
Task Path,:core:checkout:compileDebugKotlin,5060,4603,5065,4529,5826,5368,ms
Task Path,:core:comment-contact:kspDebugKotlin,2973,3023,2996,3079,3799,3747,ms
Task Path,:core:checkout-contact:compileDebugKotlin,7076,7318,7260,7454,8614,8068,ms
Task Path,:core:contact:kspDebugKotlin,2929,2664,3014,2604,3274,3220,ms
Task Path,:core:comment:compileDebugKotlin,7453,6877,7415,6904,8444,8053,ms
Task Path,:core:contact-contact:kspDebugKotlin,3087,3034,3109,3240,3526,3542,ms
Task Path,:core:comment-contact:compileDebugKotlin,5536,5725,5534,5849,6402,6198,ms
Task Path,:core:document:kspDebugKotlin,3054,3178,3109,3164,3395,3661,ms
Task Path,:core:contact:compileDebugKotlin,5424,5463,5470,5578,6405,6152,ms
Task Path,:core:contact-contact:compileDebugKotlin,5329,5324,5241,5217,6107,6215,ms
Task Path,:core:document:compileDebugKotlin,5712,5292,5751,5171,6768,6012,ms
Task Path,:core:event:kspDebugKotlin,4088,4035,4102,4105,4984,4553,ms
Task Path,:core:feed:kspDebugKotlin,2887,2490,2832,2543,3643,3035,ms
Task Path,:core:feed-contact:kspDebugKotlin,2767,2544,2860,2568,3402,3237,ms
Task Path,:core:event:compileDebugKotlin,4504,4760,4552,4640,5234,5618,ms
Task Path,:core:feed:compileDebugKotlin,3495,3165,3495,3170,4117,3671,ms
Task Path,:core:file:kspDebugKotlin,2738,2610,2498,2517,3792,3555,ms
Task Path,:core:feed-contact:compileDebugKotlin,3827,3864,3775,3839,4417,4384,ms
Task Path,:core:gallery:kspDebugKotlin,2679,2523,2829,2510,3406,2978,ms
Task Path,:core:file:compileDebugKotlin,4411,4657,4381,4507,5528,5438,ms
Task Path,:core:forecast:kspDebugKotlin,3677,3607,3636,3559,4287,4181,ms
Task Path,:core:group:kspDebugKotlin,2560,2424,2552,2209,3346,3396,ms
Task Path,:core:identity:kspDebugKotlin,2430,2614,2488,2559,2874,3317,ms
Task Path,:core:gallery:compileDebugKotlin,3546,3826,3522,3664,4542,4564,ms
Task Path,:core:group:compileDebugKotlin,3244,3278,3143,3475,4366,3624,ms
Task Path,:core:forecast:compileDebugKotlin,4145,4268,4234,4185,5438,5058,ms
Task Path,:core:identity-contact:kspDebugKotlin,2538,2537,2443,2602,3365,3000,ms
Task Path,:core:list:kspDebugKotlin,2320,2366,2308,2393,2688,2717,ms
Task Path,:core:identity:compileDebugKotlin,3788,3511,3791,3467,4785,4314,ms
Task Path,:core:location:kspDebugKotlin,2516,2339,2333,2203,3374,2885,ms
Task Path,:core:identity-contact:compileDebugKotlin,3754,3516,3661,3470,4654,3883,ms
Task Path,:core:list:compileDebugKotlin,3192,3022,3229,2944,3794,3473,ms
Task Path,:core:log:kspDebugKotlin,3357,2756,3283,2774,4769,3058,ms
Task Path,:core:login:kspDebugKotlin,2386,2269,2588,2228,3318,2855,ms
Task Path,:core:location:compileDebugKotlin,4566,4569,4393,4690,5736,5421,ms
Task Path,:core:login-contact:kspDebugKotlin,2574,2493,2579,2519,3222,3180,ms
Task Path,:core:log:compileDebugKotlin,4525,4319,4305,4323,5444,5068,ms
Task Path,:core:login:compileDebugKotlin,3466,3084,3369,3150,4126,3398,ms
Task Path,:core:map:kspDebugKotlin,2387,1930,2323,1941,2979,2347,ms
Task Path,:core:login-contact:compileDebugKotlin,4401,4075,4339,4328,5239,4634,ms
Task Path,:core:media:kspDebugKotlin,2345,1946,2320,2023,3160,2470,ms
Task Path,:core:message:kspDebugKotlin,2417,2155,2439,2144,3119,2806,ms
Task Path,:core:metric:kspDebugKotlin,2517,2401,2479,2320,3135,3058,ms
Task Path,:core:map:compileDebugKotlin,4035,3689,3998,3705,4717,4072,ms
Task Path,:core:message:compileDebugKotlin,3560,3099,3644,2864,3831,4105,ms
Task Path,:core:metric:compileDebugKotlin,3730,3218,3627,3027,4531,4294,ms
Task Path,:core:media:compileDebugKotlin,4435,4141,4606,4224,5188,4613,ms
Task Path,:core:network:kspDebugKotlin,2594,2226,2628,2231,3202,3086,ms
Task Path,:core:news:kspDebugKotlin,2391,2168,2408,2160,3321,2817,ms
Task Path,:core:notification:kspDebugKotlin,2307,2084,2229,2079,2981,2553,ms
Task Path,:core:note:kspDebugKotlin,3124,2949,3145,2896,3810,3859,ms
Task Path,:core:network:compileDebugKotlin,4422,4045,4403,4039,5109,4776,ms
Task Path,:core:news:compileDebugKotlin,4421,3993,4526,4103,4815,4692,ms
Task Path,:core:notification:compileDebugKotlin,3492,3093,3267,3069,4229,3861,ms
Task Path,:core:note:compileDebugKotlin,3703,3292,3724,3171,4528,4240,ms
Task Path,:core:playlist:kspDebugKotlin,1946,1706,1725,1558,2907,2394,ms
Task Path,:core:photo:kspDebugKotlin,3095,2601,3018,2731,3934,3217,ms
Task Path,:core:podcast:kspDebugKotlin,2105,1924,2170,1906,2528,2315,ms
Task Path,:core:playlist:compileDebugKotlin,2993,2407,2774,2372,3960,2712,ms
Task Path,:core:post:kspDebugKotlin,2388,1854,2434,1901,2914,2163,ms
Task Path,:core:photo:compileDebugKotlin,3495,2872,3429,2873,4390,3480,ms
Task Path,:core:podcast:compileDebugKotlin,3412,2776,3288,2773,4353,3460,ms
Task Path,:core:post-contact:kspDebugKotlin,3149,2271,3226,2238,3769,2495,ms
Task Path,:core:profile:kspDebugKotlin,2411,1902,2260,1866,3548,2300,ms
Task Path,:core:post:compileDebugKotlin,4761,3760,4864,3812,5846,4276,ms
Task Path,:core:profile-contact:kspDebugKotlin,2286,1847,2121,1790,3264,2322,ms
Task Path,:core:post-contact:compileDebugKotlin,3376,2832,3189,2704,4250,3719,ms
Task Path,:core:profile:compileDebugKotlin,4085,3897,3971,3833,5349,4743,ms
Task Path,:core:profile-contact:compileDebugKotlin,3016,2878,3045,2926,3528,3310,ms
Task Path,:core:push:kspDebugKotlin,2294,2049,2212,2080,3179,2534,ms
Task Path,:core:push-contact:kspDebugKotlin,2884,2582,2846,2724,3439,2926,ms
Task Path,:core:report:kspDebugKotlin,2391,1894,2379,1824,2758,2773,ms
Task Path,:core:search:kspDebugKotlin,2350,1982,2323,2006,3189,2278,ms
Task Path,:core:push:compileDebugKotlin,2852,2886,2911,2919,3582,3687,ms
Task Path,:core:push-contact:compileDebugKotlin,3516,3224,3613,3145,4139,4194,ms
Task Path,:core:search:compileDebugKotlin,2695,2657,2600,2735,3146,3414,ms
Task Path,:core:session:kspDebugKotlin,2126,1981,2155,1959,2583,2654,ms
Task Path,:core:report:compileDebugKotlin,3930,4124,3822,4015,4771,5064,ms
Task Path,:core:setting:kspDebugKotlin,2821,2457,3009,2494,3386,3341,ms
Task Path,:core:share:kspDebugKotlin,2317,2015,2325,2018,2702,2468,ms
Task Path,:core:status:kspDebugKotlin,2392,2020,2377,2048,3120,2329,ms
Task Path,:core:session:compileDebugKotlin,3791,3429,3781,3432,4285,4009,ms
Task Path,:core:setting:compileDebugKotlin,3949,3583,3935,3553,4719,4326,ms
Task Path,:core:share:compileDebugKotlin,3827,3105,3872,3044,4872,3529,ms
Task Path,:core:status:compileDebugKotlin,4009,3258,3911,3216,4594,3664,ms
Task Path,:core:sync:kspDebugKotlin,3136,2477,3102,2387,3532,2996,ms
Task Path,:core:task:kspDebugKotlin,2201,1784,2039,1744,3288,2276,ms
Task Path,:core:timer:kspDebugKotlin,2113,1862,2068,1858,2665,2400,ms
Task Path,:core:todo:kspDebugKotlin,2205,1952,2273,2016,2652,2337,ms
Task Path,:core:sync:compileDebugKotlin,2999,2486,3015,2598,3596,2717,ms
Task Path,:core:task:compileDebugKotlin,2820,2445,2809,2364,3590,3032,ms
Task Path,:core:timer:compileDebugKotlin,3155,2660,3138,2607,3744,3299,ms
Task Path,:core:todo:compileDebugKotlin,3998,3401,3859,3455,4905,4337,ms
Task Path,:core:user:kspDebugKotlin,2221,1774,2258,1630,2630,2540,ms
Task Path,:core:user-contact:kspDebugKotlin,2043,2020,2029,2148,2821,2508,ms
Task Path,:core:video:kspDebugKotlin,2148,2025,2259,2053,2594,2585,ms
Task Path,:core:weather:kspDebugKotlin,1995,1832,2003,1911,2605,2259,ms
Task Path,:core:user:compileDebugKotlin,3452,2960,3502,2842,4223,3812,ms
Task Path,:core:user-contact:compileDebugKotlin,2891,2980,2841,2956,3895,3480,ms
Task Path,:core:weather:compileDebugKotlin,2925,2489,3060,2385,3733,3219,ms
Task Path,:core:video:compileDebugKotlin,3614,3423,3547,3449,4531,4004,ms
Task Path,:feature:account-contact:kspDebugKotlin,2670,2112,2622,2126,3396,2481,ms
Task Path,:feature:account-login:kspDebugKotlin,2045,1690,2022,1685,2513,1906,ms
Task Path,:feature:alarm-contact:kspDebugKotlin,2812,2226,2847,2254,3373,2615,ms
Task Path,:feature:article-contact:kspDebugKotlin,2386,1724,2329,1728,3113,2221,ms
Task Path,:feature:account-contact:compileDebugKotlin,2636,2330,2494,2316,3480,2820,ms
Task Path,:feature:account-login:compileDebugKotlin,2714,2590,2812,2371,3068,3571,ms
Task Path,:feature:alarm-contact:compileDebugKotlin,3047,2710,2895,2766,4079,3538,ms
Task Path,:feature:article-contact:compileDebugKotlin,3832,3051,3778,2996,5532,3555,ms
Task Path,:feature:audio-contact:kspDebugKotlin,1935,1532,1921,1550,2653,1712,ms
Task Path,:feature:calendar-contact:kspDebugKotlin,1667,1570,1710,1514,2142,2411,ms
Task Path,:feature:cart-login:kspDebugKotlin,2004,1749,1985,1628,2421,2471,ms
Task Path,:feature:contact-login:kspDebugKotlin,2651,2536,2688,2547,3130,3040,ms
Task Path,:feature:audio-contact:compileDebugKotlin,3024,2550,3009,2601,4067,2797,ms
Task Path,:feature:cart-login:compileDebugKotlin,2497,2219,2495,2123,3049,2698,ms
Task Path,:feature:calendar-contact:compileDebugKotlin,2377,2240,2498,2140,2770,2764,ms
Task Path,:feature:contact-login:compileDebugKotlin,2568,2458,2538,2432,3114,2861,ms
Task Path,:feature:document-contact:kspDebugKotlin,1866,1932,1830,2004,2212,2251,ms
Task Path,:feature:event-contact:kspDebugKotlin,1864,1823,1858,1716,2270,2339,ms
Task Path,:feature:feed-login:kspDebugKotlin,1858,1729,1937,1658,2216,2069,ms
Task Path,:feature:forecast-contact:kspDebugKotlin,1962,1762,1884,1765,2413,2214,ms
Task Path,:feature:document-contact:compileDebugKotlin,2500,2421,2375,2378,3124,2812,ms
Task Path,:feature:event-contact:compileDebugKotlin,3429,3183,3524,3070,3939,4053,ms
Task Path,:feature:feed-login:compileDebugKotlin,2608,2351,2539,2335,3361,2958,ms
Task Path,:feature:forecast-contact:compileDebugKotlin,2852,2502,2699,2513,4060,3123,ms
