Category,Metric,varianta_gradle_8_13 Mean,variantb_gradle_8_14_rc2 Mean,varianta_gradle_8_13 P50,variantb_gradle_8_14_rc2 P50,varianta_gradle_8_13 P90,variantb_gradle_8_14_rc2 P90,Unit
Build,Build time,215687,215076,215252,213252,222627,224655,ms
Build,Configuration time,41485,41833,41265,41431,42951,44401,ms
Gradle process state,Gradle-Process-capacity,4.0,4.0,4.0,4.0,4.0,4.0,
Gradle process state,Gradle-Process-gcTime,0.13,0.13,0.13,0.12,0.14,0.14,
Gradle process state,Gradle-Process-max,4.0,4.0,4.0,4.0,4.0,4.0,
Gradle process state,Gradle-Process-uptime,3.57,3.56,3.57,3.53,3.69,3.73,
Gradle process state,Gradle-Process-usage,2.2,2.37,2.46,2.61,3.12,3.24,
Kotlin process state,Kotlin-Process-capacity,4.0,4.0,4.0,4.0,4.0,4.0,
Kotlin process state,Kotlin-Process-gcTime,0.09,0.09,0.09,0.09,0.1,0.11,
Kotlin process state,Kotlin-Process-max,4.0,4.0,4.0,4.0,4.0,4.0,
Kotlin process state,Kotlin-Process-uptime,2.8,2.79,2.8,2.76,2.9,2.91,
Kotlin process state,Kotlin-Process-usage,1.41,1.33,1.35,1.32,2.12,1.9,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,40,39,37,39,53,45,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,17,17,9,9,46,49,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3934,3918,2804,2804,10565,10090,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,667,665,417,411,1355,1412,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,1,ms
Task Type,org.gradle.api.tasks.bundling.Jar,45,45,33,32,97,96,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,2,3,2,3,6,7,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,13,13,8,8,16,16,ms
Task Type,com.google.android.gms.oss.licenses.plugin.DependencyTask,75,80,92,96,148,147,ms
Task Type,com.google.android.gms.oss.licenses.plugin.LicensesTask,79,62,78,67,160,123,ms
Task Type,com.google.firebase.crashlytics.buildtools.gradle.tasks.InjectMappingFileIdTask,21,34,20,26,41,72,ms
Task Type,com.google.gms.googleservices.GoogleServicesTask,29,34,16,21,93,58,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,12,13,11,12,22,22,ms
Task Type,com.android.build.gradle.tasks.MergeResources,264,265,30,30,207,180,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,489,535,137,137,1315,1587,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,86,90,42,43,188,202,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,48,52,10,10,41,41,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,13,15,11,11,27,29,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,7,7,6,6,13,13,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,40,45,22,22,46,49,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,616,621,352,330,1244,1295,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,77,83,17,16,215,234,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,146,125,40,43,326,286,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,19,19,11,11,30,30,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,31,30,18,19,52,53,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1495,1487,1314,1346,2356,2222,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,11,11,8,8,19,19,ms
