Category,Metric,varianta_2.2.0 Mean,variantb_2.2.10 Mean,varianta_2.2.0 P50,variantb_2.2.10 P50,varianta_2.2.0 P90,variantb_2.2.10 P90,Unit
Build,Build time,372603,370370,372126,369916,386083,390186,ms
Build,Configuration time,41783,41606,41683,40956,46634,46418,ms
Gradle process state,Gradle-Process-capacity,2.76,2.76,2.66,2.77,3.16,3.14,
Gradle process state,Gradle-Process-gcTime,0.15,0.15,0.15,0.15,0.16,0.16,
Gradle process state,Gradle-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Gradle process state,Gradle-Process-uptime,6.19,6.15,6.18,6.15,6.42,6.49,
Gradle process state,Gradle-Process-usage,1.84,1.71,1.8,1.59,2.47,2.33,
Kotlin process state,Kotlin-Process-capacity,3.03,3.21,3.07,3.17,3.43,3.74,
Kotlin process state,Kotlin-Process-gcTime,0.28,0.28,0.28,0.28,0.3,0.3,
Kotlin process state,Kotlin-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Kotlin process state,Kotlin-Process-uptime,6.0,5.97,5.99,5.96,6.23,6.3,
Kotlin process state,Kotlin-Process-usage,1.36,1.35,1.42,1.24,2.15,2.64,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,37,36,34,33,64,56,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,36,36,33,35,48,55,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3755,3728,3306,3298,7045,6862,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,675,670,511,510,1005,984,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,40,37,39,37,47,43,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,11,11,6,6,12,12,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,2,2,1,1,4,4,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,10,10,3,3,7,8,ms
Task Type,com.android.build.gradle.tasks.GenerateResValues,9,9,8,8,16,16,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,13,13,12,12,21,21,ms
Task Type,com.android.build.gradle.tasks.MergeResources,81,81,32,32,52,52,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,38,36,23,23,42,42,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,25,25,23,23,41,40,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,13,13,11,11,22,22,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3772,3752,3541,3530,5301,5216,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,205,203,180,180,340,341,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,35,35,25,26,51,51,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,5,5,4,3,11,11,ms
Task Type,com.android.build.gradle.tasks.ShaderCompile,1,1,1,1,4,4,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,2,2,2,2,4,4,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,25,24,22,21,34,33,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,9,9,8,9,16,16,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,4,3,4,2,9,8,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,20,19,15,15,26,26,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,1011,1077,973,1023,1363,1557,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,192,199,194,193,246,250,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,13,11,13,11,21,17,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,465,477,477,464,652,672,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,351,367,384,365,461,482,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,40,36,35,35,48,48,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2543,2380,2566,2349,2968,2781,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,14,14,9,9,23,22,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,15,14,14,13,24,23,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,22,23,5,5,11,10,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,2,2,2,2,3,3,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,1,1,1,1,3,2,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,39,39,38,37,62,61,ms
Task Type,com.android.build.gradle.tasks.BundleAar,12,12,11,11,19,18,ms
Task Type,org.gradle.api.Task,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,7,8,7,7,13,16,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,8,8,9,8,16,16,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,237,270,240,260,335,415,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesDir,118,118,109,110,201,203,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,5366,5321,2950,2803,12843,12843,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,501,472,467,471,691,581,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1612,1631,1510,1605,2194,2076,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsMergeTask,80,87,71,73,115,147,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,831,757,811,719,1145,1008,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,4,4,4,3,9,9,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,20,18,20,18,27,24,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,833,829,844,804,954,1019,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,2,2,3,2,4,3,ms
Task Path,:build-logic:convention:compileKotlin,6420,6388,6425,6330,6667,6643,ms
Task Path,:api:audio:parseDebugLocalResources,1462,1246,1077,990,3098,2195,ms
Task Path,:core:cart:kspDebugKotlin,7836,7750,7862,7735,8218,8211,ms
Task Path,:core:identity:kspDebugKotlin,6090,6025,6101,6066,6450,6310,ms
Task Path,:core:contact:kspDebugKotlin,6644,6600,6656,6549,6975,6981,ms
Task Path,:core:checkout:kspDebugKotlin,7125,7061,7115,7045,7489,7477,ms
Task Path,:core:checkout:compileDebugKotlin,7371,7264,7342,7205,7773,7849,ms
Task Path,:core:cart:compileDebugKotlin,8010,7951,8077,7948,8436,8518,ms
Task Path,:core:identity:compileDebugKotlin,8689,8553,8704,8468,9272,8993,ms
Task Path,:core:checkout:compileDebugJavaWithJavac,3857,3860,3812,3918,4283,4177,ms
Task Path,:core:contact:compileDebugKotlin,10900,10834,10831,10817,11906,11458,ms
Task Path,:core:login:kspDebugKotlin,5351,5315,5362,5234,5970,5935,ms
Task Path,:core:push:kspDebugKotlin,5307,5228,5298,5251,6019,5930,ms
Task Path,:feature:user:kspDebugKotlin,4936,4904,4939,4990,5412,5311,ms
Task Path,:feature:search:kspDebugKotlin,5528,5482,5566,5473,5981,6029,ms
Task Path,:core:login:compileDebugKotlin,7252,7093,7258,7139,8027,7735,ms
Task Path,:core:login:compileDebugJavaWithJavac,1081,1079,1073,1109,1235,1263,ms
Task Path,:core:push:compileDebugKotlin,7131,7076,7154,7053,7640,7729,ms
Task Path,:core:push:compileDebugJavaWithJavac,1052,1083,1059,1059,1228,1308,ms
Task Path,:feature:user:compileDebugKotlin,8324,8112,8383,7924,9151,8943,ms
Task Path,:feature:post:kspDebugKotlin,5718,5507,5689,5457,6603,6259,ms
Task Path,:feature:user:compileDebugJavaWithJavac,1133,1164,1193,1201,1463,1454,ms
Task Path,:feature:search:compileDebugKotlin,9007,8769,9012,8795,9775,9733,ms
Task Path,:feature:search:compileDebugJavaWithJavac,1392,1229,1425,1255,1597,1453,ms
Task Path,:feature:feed:kspDebugKotlin,5362,5291,5337,5152,6085,6019,ms
Task Path,:domain:group:kspDebugKotlin,4671,4583,4693,4636,5064,5059,ms
Task Path,:feature:feed:compileDebugKotlin,6247,6252,6271,6262,6785,6970,ms
Task Path,:feature:comment:kspDebugKotlin,4843,4870,4958,4857,5313,5456,ms
Task Path,:feature:feed:compileDebugJavaWithJavac,1010,1010,1020,1029,1179,1207,ms
Task Path,:feature:post:compileDebugKotlin,9353,9062,9301,8977,10628,10234,ms
Task Path,:domain:group:compileDebugKotlin,3706,3676,3725,3657,4178,4101,ms
Task Path,:feature:post:compileDebugJavaWithJavac,1129,1119,1181,1199,1493,1435,ms
Task Path,:feature:comment:compileDebugKotlin,4056,4001,4080,4036,4783,4647,ms
Task Path,:feature:profile:kspDebugKotlin,5446,5388,5542,5379,5965,5926,ms
Task Path,:domain:location:kspDebugKotlin,5197,5087,5192,5032,5851,5568,ms
Task Path,:domain:network:kspDebugKotlin,5402,5432,5482,5441,6088,6090,ms
Task Path,:repository:report:kspDebugKotlin,5074,5043,5124,4974,5533,5663,ms
Task Path,:domain:location:compileDebugKotlin,6105,6003,6051,6033,7056,6670,ms
Task Path,:feature:profile:compileDebugKotlin,6636,6581,6451,6559,7607,7553,ms
Task Path,:domain:location:compileDebugJavaWithJavac,1055,1006,1061,1008,1268,1187,ms
Task Path,:repository:report:compileDebugKotlin,6342,6325,6336,6268,7304,7170,ms
Task Path,:domain:network:compileDebugKotlin,7947,7829,7857,7704,8660,9012,ms
Task Path,:feature:profile:compileDebugJavaWithJavac,1071,1006,1050,1023,1341,1246,ms
Task Path,:domain:network:compileDebugJavaWithJavac,1164,1170,1198,1097,1394,1567,ms
Task Path,:repository:report:compileDebugJavaWithJavac,1057,1060,1059,1073,1361,1346,ms
Task Path,:domain:message:kspDebugKotlin,4788,4770,4796,4784,5276,5347,ms
Task Path,:domain:share:kspDebugKotlin,4682,4492,4692,4393,5230,5093,ms
