Category,Metric,varianta_anvil Mean,variantb_metro_0_3_2 Mean,varianta_anvil P50,variantb_metro_0_3_2 P50,varianta_anvil P90,variantb_metro_0_3_2 P90,Unit
Build,Build time,157464,135163,156148,133020,164148,142947,ms
Build,Configuration time,31938,32091,31113,30124,34619,39266,ms
Gradle process state,Gradle-Process-gcTime,0.08,0.06,0.08,0.06,0.08,0.07,
Kotlin process state,Kotlin-Process-gcTime,0.05,0.04,0.05,0.04,0.05,0.05,
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,1922,2099,1681,1744,3418,3822,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,2501,2690,2249,2275,4042,4402,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,3025,4361,2297,3257,7538,9624,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,3507,3443,3491,3447,3924,3885,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,4247,4813,3041,3486,8649,8838,ms
Task Type,app.cash.sqldelight.gradle.SqlDelightTask,3251,3222,4359,4435,5744,5337,ms
Task Type,com.apollographql.apollo3.gradle.internal.ApolloGenerateSourcesTask,1664,1582,1618,1531,2286,2146,ms
Task Type,com.android.build.gradle.internal.tasks.L8DexDesugarLibTask,2422,3278,2426,3237,2924,3853,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,2652,2545,2508,2504,3517,3313,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,1770,1752,1592,1573,3580,3628,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1090,984,1077,958,1337,1213,ms
Task Path,:app:mapDebugSourceSetPaths,1922,2099,1681,1744,3418,3822,ms
Task Path,:app:parseDebugLocalResources,2004,2267,1772,1905,3477,3968,ms
Task Path,:app:checkDebugAarMetadata,2501,2690,2249,2275,4042,4402,ms
Task Path,:app:mergeDebugResources,8099,8124,7951,8011,9494,10072,ms
Task Path,:libraries:auth:kspKotlinJvm,7834,7669,7801,7690,8147,8120,ms
Task Path,:app:processDebugResources,3507,3443,3491,3447,3924,3885,ms
Task Path,:libraries:di:compileKotlinJvm,1255,1352,1218,1123,1592,1688,ms
Task Path,:libraries:appconfig:compileKotlinJvm,10277,10092,10212,10208,10751,10493,ms
Task Path,:libraries:retrofitconverters:compileKotlinJvm,10319,10156,10252,10265,10772,10589,ms
Task Path,:libraries:auth:compileKotlinJvm,5804,5746,5765,5717,6249,6146,ms
Task Path,:libraries:kotlinutil:compileKotlinJvm,4394,4391,4330,4401,4843,4656,ms
Task Path,:libraries:unfurler:generateCommonMainUnfurlerDatabaseInterface,4805,4836,4750,4856,5239,5194,ms
Task Path,:libraries:gemoji:db:generateCommonMainGemojiDatabaseInterface,4446,4476,4394,4476,4815,4771,ms
Task Path,:app-scaffold:generateGithubApolloSources,2181,2041,2191,2020,2594,2414,ms
Task Path,:libraries:gemoji:db:compileKotlinJvm,2829,2605,2841,2613,3091,2861,ms
Task Path,:service-db:generateCommonMainCatchUpDatabaseInterface,4593,4571,5788,5395,6366,5842,ms
Task Path,:libraries:unfurler:compileKotlinJvm,3284,3931,3271,3933,3682,4191,ms
Task Path,:libraries:deeplinking:compileReleaseKotlin,1515,2026,1543,1983,1736,2335,ms
