Category,Metric,varianta_main_2_1_0 Mean,variantb_kotlin_2_1_20 Mean,varianta_main_2_1_0 P50,variantb_kotlin_2_1_20 P50,varianta_main_2_1_0 P90,variantb_kotlin_2_1_20 P90,Unit
:core:data:compileProdDebugKotlin,Number of lines for code generation,1484,1484,1484,1484,1484,1484,
:core:data:compileProdDebugKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:core:data:compileProdDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:core:data:compileProdDebugKotlin,Compiler IR lowering line number,1484,1484,1484,1484,1484,1484,
:core:data:compileProdDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:core:data:compileProdDebugKotlin,Number of cache hits when loading classpath entry snapshots,49,49,49,49,49,49,
:core:data:compileProdDebugKotlin,Number of lines analyzed,1484,1484,1484,1484,1484,1484,
:core:data:compileProdDebugKotlin,Size of shrunk classpath snapshot,109.0,109.0,109,109,109,109,KB
:core:data:compileProdDebugKotlin,Compiler IR translation line number,1484,2968,1484,2968,1484,2968,
:core:data:compileProdDebugKotlin,Code generation lines per second,2001,1959,1887,1894,2649,2703,
:core:data:compileProdDebugKotlin,Compiler IR generation line number,1484,1484,1484,1484,1484,1484,
:core:data:compileProdDebugKotlin,Number of cache misses when loading classpath entry snapshots,5,4,5,5,5,5,
:core:data:compileProdDebugKotlin,Analysis lines per second,1345,1281,1305,1259,1644,1606,
:core:data:compileProdDebugKotlin,Number of classpath entries,54,54,54,54,54,54,
:core:data:compileProdDebugKotlin,Total size of the cache directory,668.6,668.6,669,669,669,669,KB
:core:data:compileProdDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:core:data:compileProdDebugKotlin,Size of classpath snapshot,3.2,3.2,3,3,3,3,MB
:core:data:compileProdDebugKotlin,Save shrunk current classpath snapshot,2.21,2.09,1,1,6,5,ms
:core:data:compileProdDebugKotlin,Clear outputs on rebuild,4.0,2.0,4,2,4,2,ms
:core:data:compileProdDebugKotlin,Store build info,3.67,6.0,3,6,6,6,ms
:core:data:compileProdDebugKotlin,Clear output,1.0,3.5,1,4,1,6,ms
:core:database:compileDemoDebugKotlin,Shrink current classpath snapshot non-incrementally,78.54,85.58,74,77,116,117,ms
:core:database:compileDemoDebugKotlin,Save shrunk current classpath snapshot,4.36,7.52,4,4,8,8,ms
:core:database:compileDemoDebugKotlin,Spent time before task action,61.2,54.1,63,56,78,86,ms
:core:database:compileDemoDebugKotlin,Run compilation,11321.38,11433.94,11236,11353,12023,12232,ms
:core:database:compileDemoDebugKotlin,Load current classpath snapshot,16.82,15.26,13,14,23,24,ms
:core:database:compileDemoDebugKotlin,Compiler IR lowering,1342.64,1253.24,1319,1223,1653,1564,ms
:core:database:compileDemoDebugKotlin,Calculate output size,2.84,3.18,2,3,7,7,ms
:core:database:compileDemoDebugKotlin,Update caches,39.92,44.14,37,42,58,58,ms
:core:database:compileDemoDebugKotlin,Total Gradle task time,11617.82,11725.36,11485,11630,12304,12508,ms
:core:database:compileDemoDebugKotlin,Run compilation in Gradle worker,11355.2,11466.0,11273,11390,12044,12257,ms
:core:database:compileDemoDebugKotlin,Connect to Kotlin daemon,25.42,24.62,22,21,34,39,ms
:core:database:compileDemoDebugKotlin,Task action before worker execution,35.64,35.72,33,35,52,47,ms
:core:database:compileDemoDebugKotlin,Shrink and save current classpath snapshot after compilation,84.1,94.12,80,84,130,144,ms
:core:database:compileDemoDebugKotlin,Clear jar cache,3.39,3.74,2,3,8,7,ms
:core:database:compileDemoDebugKotlin,Incremental compilation in daemon,11281.12,11392.76,11192,11322,11986,12197,ms
:core:database:compileDemoDebugKotlin,Compiler code analysis,7139.72,7162.44,7109,7068,7636,7819,ms
:core:database:compileDemoDebugKotlin,Sources compilation round,10889.36,10956.84,10800,10862,11558,11680,ms
:core:database:compileDemoDebugKotlin,Start gradle worker,3.04,2.22,2,2,7,5,ms
:core:database:compileDemoDebugKotlin,Compiler initialization time,59.78,52.7,55,48,83,91,ms
:core:database:compileDemoDebugKotlin,Compiler code generation,2887.02,2854.66,2841,2842,3329,3216,ms
:core:database:compileDemoDebugKotlin,Compiler IR generation,1543.9,1600.84,1515,1563,1827,1851,ms
:core:database:compileDemoDebugKotlin,Compiler IR translation,786.84,1748.4,773,1727,945,2109,ms
:core:database:compileDemoDebugKotlin,Number of lines for code generation,2978,2978,2978,2978,2978,2978,
:core:database:compileDemoDebugKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:core:database:compileDemoDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:core:database:compileDemoDebugKotlin,Compiler IR lowering line number,2978,2978,2978,2978,2978,2978,
:core:database:compileDemoDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:core:database:compileDemoDebugKotlin,Number of cache hits when loading classpath entry snapshots,41,41,46,46,46,46,
:core:database:compileDemoDebugKotlin,Number of lines analyzed,2978,2978,2978,2978,2978,2978,
:core:database:compileDemoDebugKotlin,Size of shrunk classpath snapshot,44.0,44.0,44,44,44,44,KB
:core:database:compileDemoDebugKotlin,Compiler IR translation line number,2978,5956,2978,5956,2978,5956,
:core:database:compileDemoDebugKotlin,Code generation lines per second,1039,1050,1048,1048,1168,1196,
:core:database:compileDemoDebugKotlin,Compiler IR generation line number,2978,2978,2978,2978,2978,2978,
:core:database:compileDemoDebugKotlin,Number of cache misses when loading classpath entry snapshots,9,9,10,10,10,10,
:core:database:compileDemoDebugKotlin,Analysis lines per second,417,416,419,421,444,448,
:core:database:compileDemoDebugKotlin,Number of classpath entries,46,46,46,46,46,46,
:core:database:compileDemoDebugKotlin,Total size of the cache directory,755.8,755.8,756,756,756,756,KB
:core:database:compileDemoDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:core:database:compileDemoDebugKotlin,Size of classpath snapshot,2.6,2.6,3,3,3,3,MB
:core:database:compileDemoDebugKotlin,Clear output,4.0,,4,,4,,ms
:core:database:compileDemoDebugKotlin,Clear outputs on rebuild,3.0,4.67,3,2,3,10,ms
:core:database:compileDemoDebugKotlin,Store build info,3.0,4.33,3,3,3,12,ms
:core:database:compileProdDebugKotlin,Shrink current classpath snapshot non-incrementally,73.0,84.64,67,78,110,122,ms
:core:database:compileProdDebugKotlin,Save shrunk current classpath snapshot,4.5,4.28,5,4,8,8,ms
:core:database:compileProdDebugKotlin,Spent time before task action,35.64,44.52,31,35,61,84,ms
:core:database:compileProdDebugKotlin,Run compilation,10822.26,11257.64,10837,11245,11474,12084,ms
:core:database:compileProdDebugKotlin,Load current classpath snapshot,16.68,20.12,17,17,30,30,ms
:core:database:compileProdDebugKotlin,Compiler IR lowering,1322.28,1261.92,1343,1258,1512,1470,ms
:core:database:compileProdDebugKotlin,Calculate output size,2.66,2.86,1,2,6,7,ms
:core:database:compileProdDebugKotlin,Update caches,44.52,45.86,41,42,61,67,ms
:core:database:compileProdDebugKotlin,Total Gradle task time,11098.02,11530.94,11132,11506,11723,12374,ms
:core:database:compileProdDebugKotlin,Run compilation in Gradle worker,10855.64,11286.16,10886,11279,11512,12118,ms
:core:database:compileProdDebugKotlin,Connect to Kotlin daemon,24.44,20.58,21,19,34,32,ms
:core:database:compileProdDebugKotlin,Task action before worker execution,37.6,33.42,34,30,45,44,ms
:core:database:compileProdDebugKotlin,Shrink and save current classpath snapshot after compilation,78.32,89.84,73,83,119,128,ms
:core:database:compileProdDebugKotlin,Incremental compilation in daemon,10779.8,11219.92,10786,11216,11426,12041,ms
:core:database:compileProdDebugKotlin,Compiler code analysis,6725.3,7003.64,6745,6954,7229,7704,ms
:core:database:compileProdDebugKotlin,Sources compilation round,10380.24,10790.18,10376,10801,11013,11553,ms
:core:database:compileProdDebugKotlin,Start gradle worker,3.24,2.78,3,2,7,6,ms
:core:database:compileProdDebugKotlin,Compiler initialization time,54.26,50.72,57,51,79,89,ms
:core:database:compileProdDebugKotlin,Compiler code generation,2834.66,2842.7,2836,2835,3089,3141,ms
:core:database:compileProdDebugKotlin,Compiler IR generation,1511.9,1580.06,1500,1557,1735,1780,ms
:core:database:compileProdDebugKotlin,Compiler IR translation,751.6,1758.88,736,1750,906,2139,ms
:core:database:compileProdDebugKotlin,Number of lines for code generation,2978,2978,2978,2978,2978,2978,
:core:database:compileProdDebugKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:core:database:compileProdDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:core:database:compileProdDebugKotlin,Compiler IR lowering line number,2978,2978,2978,2978,2978,2978,
:core:database:compileProdDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:core:database:compileProdDebugKotlin,Number of cache hits when loading classpath entry snapshots,40,40,36,36,46,46,
:core:database:compileProdDebugKotlin,Number of lines analyzed,2978,2978,2978,2978,2978,2978,
:core:database:compileProdDebugKotlin,Size of shrunk classpath snapshot,44.0,44.0,44,44,44,44,KB
:core:database:compileProdDebugKotlin,Compiler IR translation line number,2978,5956,2978,5956,2978,5956,
:core:database:compileProdDebugKotlin,Code generation lines per second,1055,1053,1050,1050,1151,1177,
:core:database:compileProdDebugKotlin,Compiler IR generation line number,2978,2978,2978,2978,2978,2978,
:core:database:compileProdDebugKotlin,Analysis lines per second,443,426,441,428,484,456,
:core:database:compileProdDebugKotlin,Number of classpath entries,46,46,46,46,46,46,
:core:database:compileProdDebugKotlin,Total size of the cache directory,755.8,755.8,756,756,756,756,KB
:core:database:compileProdDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:core:database:compileProdDebugKotlin,Size of classpath snapshot,2.6,2.6,3,3,3,3,MB
:core:database:compileProdDebugKotlin,Clear jar cache,4.46,3.79,4,3,8,8,ms
:core:database:compileProdDebugKotlin,Clear output,4.0,3.2,4,2,7,8,ms
:core:database:compileProdDebugKotlin,Number of cache misses when loading classpath entry snapshots,9,9,10,10,10,10,
:core:database:compileProdDebugKotlin,Clear outputs on rebuild,2.0,4.75,2,4,2,9,ms
:core:database:compileProdDebugKotlin,Store build info,3.0,,3,,3,,ms
:core:datastore:compileDemoDebugKotlin,Shrink current classpath snapshot non-incrementally,70.82,71.7,70,74,109,98,ms
:core:datastore:compileDemoDebugKotlin,Save shrunk current classpath snapshot,5.04,4.86,5,5,11,10,ms
:core:datastore:compileDemoDebugKotlin,Spent time before task action,36.58,38.24,37,37,50,48,ms
:core:datastore:compileDemoDebugKotlin,Run compilation,3435.16,3420.58,3436,3382,3750,3760,ms
:core:datastore:compileDemoDebugKotlin,Load current classpath snapshot,15.84,14.76,16,15,22,22,ms
:core:datastore:compileDemoDebugKotlin,Compiler IR lowering,490.86,501.24,501,514,600,612,ms
:core:datastore:compileDemoDebugKotlin,Calculate output size,2.74,3.16,1,3,4,7,ms
:core:datastore:compileDemoDebugKotlin,Update caches,9.74,8.84,9,9,13,12,ms
:core:datastore:compileDemoDebugKotlin,Total Gradle task time,3652.2,3629.9,3641,3609,3986,3984,ms
:core:datastore:compileDemoDebugKotlin,Run compilation in Gradle worker,3472.34,3455.3,3467,3416,3776,3794,ms
:core:datastore:compileDemoDebugKotlin,Connect to Kotlin daemon,29.28,25.92,27,26,40,37,ms
:core:datastore:compileDemoDebugKotlin,Task action before worker execution,36.16,38.5,36,37,51,47,ms
:core:datastore:compileDemoDebugKotlin,Shrink and save current classpath snapshot after compilation,77.04,78.82,74,79,121,106,ms
:core:datastore:compileDemoDebugKotlin,Clear jar cache,2.76,2.9,2,3,6,6,ms
:core:datastore:compileDemoDebugKotlin,Incremental compilation in daemon,3393.62,3377.98,3395,3349,3696,3702,ms
:core:datastore:compileDemoDebugKotlin,Compiler code analysis,1575.98,1534.52,1556,1552,1799,1734,ms
:core:datastore:compileDemoDebugKotlin,Sources compilation round,3181.66,3163.78,3176,3154,3442,3491,ms
:core:datastore:compileDemoDebugKotlin,Start gradle worker,5.24,4.28,4,4,8,7,ms
:core:datastore:compileDemoDebugKotlin,Compiler initialization time,61.7,65.82,59,62,88,88,ms
:core:datastore:compileDemoDebugKotlin,Compiler code generation,1347.8,1371.64,1335,1354,1500,1551,ms
:core:datastore:compileDemoDebugKotlin,Compiler IR generation,856.48,869.96,842,864,994,989,ms
:core:datastore:compileDemoDebugKotlin,Compiler IR translation,188.42,370.06,188,371,242,500,ms
:core:datastore:compileDemoDebugKotlin,Number of lines for code generation,441,441,441,441,441,441,
:core:datastore:compileDemoDebugKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:core:datastore:compileDemoDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:core:datastore:compileDemoDebugKotlin,Compiler IR lowering line number,441,441,441,441,441,441,
:core:datastore:compileDemoDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:core:datastore:compileDemoDebugKotlin,Number of cache hits when loading classpath entry snapshots,42,42,42,42,42,42,
:core:datastore:compileDemoDebugKotlin,Number of lines analyzed,441,441,441,441,441,441,
:core:datastore:compileDemoDebugKotlin,Size of shrunk classpath snapshot,77.9,77.9,78,78,78,78,KB
:core:datastore:compileDemoDebugKotlin,Compiler IR translation line number,441,882,441,882,441,882,
:core:datastore:compileDemoDebugKotlin,Code generation lines per second,329,323,330,325,380,361,
:core:datastore:compileDemoDebugKotlin,Compiler IR generation line number,441,441,441,441,441,441,
:core:datastore:compileDemoDebugKotlin,Number of cache misses when loading classpath entry snapshots,7,7,7,7,7,7,
:core:datastore:compileDemoDebugKotlin,Analysis lines per second,282,290,283,284,330,340,
:core:datastore:compileDemoDebugKotlin,Number of classpath entries,49,49,49,49,49,49,
:core:datastore:compileDemoDebugKotlin,Total size of the cache directory,531.6,531.6,532,532,532,532,KB
:core:datastore:compileDemoDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:core:datastore:compileDemoDebugKotlin,Size of classpath snapshot,2.9,2.9,3,3,3,3,MB
:core:datastore:compileDemoDebugKotlin,Clear output,3.5,2.0,3,2,6,2,ms
:core:datastore:compileDemoDebugKotlin,Clear outputs on rebuild,2.33,1.33,2,1,3,2,ms
:core:datastore:compileDemoDebugKotlin,Write history file,3.0,,3,,3,,ms
:core:datastore:compileDemoDebugKotlin,Store build info,3.0,4.5,3,5,3,6,ms
:core:datastore:compileProdDebugKotlin,Shrink current classpath snapshot non-incrementally,31.22,35.28,32,33,50,49,ms
:core:datastore:compileProdDebugKotlin,Spent time before task action,24.4,23.34,23,24,33,29,ms
:core:datastore:compileProdDebugKotlin,Run compilation,1371.38,1306.3,1343,1272,1644,1626,ms
:core:datastore:compileProdDebugKotlin,Load current classpath snapshot,5.78,6.26,6,6,10,11,ms
:core:datastore:compileProdDebugKotlin,Compiler IR lowering,186.1,173.9,182,177,236,234,ms
:core:datastore:compileProdDebugKotlin,Calculate output size,2.24,1.84,1,1,5,4,ms
:core:datastore:compileProdDebugKotlin,Update caches,4.46,5.82,5,4,8,7,ms
:core:datastore:compileProdDebugKotlin,Total Gradle task time,1577.34,1546.76,1552,1488,1915,1965,ms
:core:datastore:compileProdDebugKotlin,Run compilation in Gradle worker,1388.8,1328.86,1360,1290,1655,1652,ms
:core:datastore:compileProdDebugKotlin,Connect to Kotlin daemon,11.92,13.3,10,12,21,24,ms
:core:datastore:compileProdDebugKotlin,Task action before worker execution,24.78,27.48,24,23,38,34,ms
:core:datastore:compileProdDebugKotlin,Shrink and save current classpath snapshot after compilation,33.68,37.34,34,35,53,52,ms
:core:datastore:compileProdDebugKotlin,Clear jar cache,3.76,8.22,3,3,8,11,ms
:core:datastore:compileProdDebugKotlin,Incremental compilation in daemon,1348.08,1282.1,1322,1252,1625,1591,ms
:core:datastore:compileProdDebugKotlin,Compiler code analysis,658.58,630.44,650,617,857,794,ms
:core:datastore:compileProdDebugKotlin,Sources compilation round,1226.5,1160.96,1190,1155,1523,1441,ms
:core:datastore:compileProdDebugKotlin,Start gradle worker,9.57,14.9,3,3,18,13,ms
:core:datastore:compileProdDebugKotlin,Compiler initialization time,44.04,32.88,36,32,74,46,ms
:core:datastore:compileProdDebugKotlin,Compiler code generation,433.78,416.1,422,407,553,605,ms
:core:datastore:compileProdDebugKotlin,Compiler IR generation,247.22,241.66,228,220,344,378,ms
:core:datastore:compileProdDebugKotlin,Compiler IR translation,83.48,153.68,77,151,100,225,ms
:core:datastore:compileProdDebugKotlin,Number of lines for code generation,441,441,441,441,441,441,
:core:datastore:compileProdDebugKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:core:datastore:compileProdDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:core:datastore:compileProdDebugKotlin,Compiler IR lowering line number,441,441,441,441,441,441,
:core:datastore:compileProdDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:core:datastore:compileProdDebugKotlin,Number of cache hits when loading classpath entry snapshots,48,48,48,48,48,48,
:core:datastore:compileProdDebugKotlin,Number of lines analyzed,441,441,441,441,441,441,
:core:datastore:compileProdDebugKotlin,Size of shrunk classpath snapshot,77.9,77.9,78,78,78,78,KB
:core:datastore:compileProdDebugKotlin,Compiler IR translation line number,441,882,441,882,441,882,
:core:datastore:compileProdDebugKotlin,Code generation lines per second,1069,1133,1046,1084,1400,1552,
:core:datastore:compileProdDebugKotlin,Compiler IR generation line number,441,441,441,441,441,441,
:core:datastore:compileProdDebugKotlin,Number of cache misses when loading classpath entry snapshots,1,1,1,1,1,1,
:core:datastore:compileProdDebugKotlin,Analysis lines per second,704,720,679,715,943,860,
:core:datastore:compileProdDebugKotlin,Number of classpath entries,49,49,49,49,49,49,
:core:datastore:compileProdDebugKotlin,Total size of the cache directory,531.6,531.6,532,532,532,532,KB
:core:datastore:compileProdDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:core:datastore:compileProdDebugKotlin,Size of classpath snapshot,2.9,2.9,3,3,3,3,MB
:core:datastore:compileProdDebugKotlin,Save shrunk current classpath snapshot,3.21,2.64,3,3,6,5,ms
:core:datastore:compileProdDebugKotlin,Clear output,2.5,1.5,3,2,3,2,ms
:core:datastore:compileProdDebugKotlin,Store build info,5.5,2.5,6,2,10,6,ms
:core:datastore:compileProdDebugKotlin,Write history file,2.5,,3,,3,,ms
:core:datastore-proto:compileDemoDebugKotlin,Shrink current classpath snapshot non-incrementally,63.48,81.0,63,70,92,117,ms
:core:datastore-proto:compileDemoDebugKotlin,Spent time before task action,77.38,73.6,75,65,109,103,ms
:core:datastore-proto:compileDemoDebugKotlin,Run compilation,4440.92,4470.86,4440,4475,4785,4945,ms
:core:datastore-proto:compileDemoDebugKotlin,Load current classpath snapshot,15.2,19.5,15,15,23,28,ms
:core:datastore-proto:compileDemoDebugKotlin,Compiler IR lowering,264.9,282.96,257,280,361,358,ms
:core:datastore-proto:compileDemoDebugKotlin,Calculate output size,2.88,3.34,3,4,5,7,ms
:core:datastore-proto:compileDemoDebugKotlin,Update caches,17.7,15.06,14,14,22,21,ms
:core:datastore-proto:compileDemoDebugKotlin,Total Gradle task time,4687.1,4709.32,4682,4734,5043,5175,ms
:core:datastore-proto:compileDemoDebugKotlin,Run compilation in Gradle worker,4483.04,4503.86,4472,4505,4833,4989,ms
:core:datastore-proto:compileDemoDebugKotlin,Connect to Kotlin daemon,33.62,25.38,27,21,70,39,ms
:core:datastore-proto:compileDemoDebugKotlin,Task action before worker execution,25.1,29.6,25,28,34,40,ms
:core:datastore-proto:compileDemoDebugKotlin,Shrink and save current classpath snapshot after compilation,64.34,82.8,64,72,92,117,ms
:core:datastore-proto:compileDemoDebugKotlin,Clear jar cache,3.11,2.7,3,2,8,6,ms
:core:datastore-proto:compileDemoDebugKotlin,Incremental compilation in daemon,4397.06,4425.22,4403,4434,4741,4851,ms
:core:datastore-proto:compileDemoDebugKotlin,Compiler code analysis,3111.6,3067.92,3108,3076,3362,3360,ms
:core:datastore-proto:compileDemoDebugKotlin,Sources compilation round,4164.5,4168.44,4162,4171,4497,4607,ms
:core:datastore-proto:compileDemoDebugKotlin,Start gradle worker,3.77,5.3,2,3,9,9,ms
:core:datastore-proto:compileDemoDebugKotlin,Compiler initialization time,45.82,50.88,44,48,65,78,ms
:core:datastore-proto:compileDemoDebugKotlin,Compiler code generation,713.86,722.78,708,705,870,862,ms
:core:datastore-proto:compileDemoDebugKotlin,Compiler IR generation,448.44,439.18,448,426,525,549,ms
:core:datastore-proto:compileDemoDebugKotlin,Compiler IR translation,284.78,639.4,283,617,359,860,ms
:core:datastore-proto:compileDemoDebugKotlin,Number of lines for code generation,843,843,843,843,843,843,
:core:datastore-proto:compileDemoDebugKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:core:datastore-proto:compileDemoDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:core:datastore-proto:compileDemoDebugKotlin,Compiler IR lowering line number,843,843,843,843,843,843,
:core:datastore-proto:compileDemoDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:core:datastore-proto:compileDemoDebugKotlin,Number of cache hits when loading classpath entry snapshots,6,6,6,6,6,6,
:core:datastore-proto:compileDemoDebugKotlin,Number of lines analyzed,843,843,843,843,843,843,
:core:datastore-proto:compileDemoDebugKotlin,Size of shrunk classpath snapshot,3.2,4.0,3,4,3,4,KB
:core:datastore-proto:compileDemoDebugKotlin,Compiler IR translation line number,843,1686,843,1686,843,1686,
:core:datastore-proto:compileDemoDebugKotlin,Code generation lines per second,1203,1185,1191,1196,1400,1406,
:core:datastore-proto:compileDemoDebugKotlin,Compiler IR generation line number,843,843,843,843,843,843,
:core:datastore-proto:compileDemoDebugKotlin,Number of cache misses when loading classpath entry snapshots,3,3,3,3,3,3,
:core:datastore-proto:compileDemoDebugKotlin,Analysis lines per second,271,276,271,274,297,313,
:core:datastore-proto:compileDemoDebugKotlin,Number of classpath entries,9,9,9,9,9,9,
:core:datastore-proto:compileDemoDebugKotlin,Total size of the cache directory,585.2,585.2,585,585,585,585,KB
:core:datastore-proto:compileDemoDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:core:datastore-proto:compileDemoDebugKotlin,Size of classpath snapshot,1.9,2.0,2,2,2,2,MB
:core:datastore-proto:compileDemoDebugKotlin,Clear output,1.0,2.0,1,2,1,2,ms
:core:datastore-proto:compileDemoDebugKotlin,Save shrunk current classpath snapshot,2.33,4.91,3,3,3,11,ms
:core:datastore-proto:compileDemoDebugKotlin,Store build info,3.0,,3,,3,,ms
:core:datastore-proto:compileDemoDebugKotlin,Write history file,3.0,3.0,3,3,3,3,ms
:core:datastore-proto:compileProdDebugKotlin,Shrink current classpath snapshot non-incrementally,20.02,23.86,19,21,33,39,ms
:core:datastore-proto:compileProdDebugKotlin,Spent time before task action,15.64,15.5,15,15,21,22,ms
:core:datastore-proto:compileProdDebugKotlin,Run compilation,1413.26,1461.28,1359,1436,1744,1676,ms
:core:datastore-proto:compileProdDebugKotlin,Load current classpath snapshot,3.42,3.9,3,3,8,8,ms
:core:datastore-proto:compileProdDebugKotlin,Compiler IR lowering,72.32,73.08,72,66,108,103,ms
:core:datastore-proto:compileProdDebugKotlin,Calculate output size,1.72,1.84,1,1,4,4,ms
:core:datastore-proto:compileProdDebugKotlin,Update caches,7.94,9.22,6,6,10,12,ms
:core:datastore-proto:compileProdDebugKotlin,Total Gradle task time,1580.98,1615.62,1507,1588,1985,1823,ms
:core:datastore-proto:compileProdDebugKotlin,Run compilation in Gradle worker,1432.62,1483.44,1395,1474,1763,1690,ms
:core:datastore-proto:compileProdDebugKotlin,Connect to Kotlin daemon,13.84,17.26,10,11,17,39,ms
:core:datastore-proto:compileProdDebugKotlin,Task action before worker execution,17.92,17.94,18,18,24,26,ms
:core:datastore-proto:compileProdDebugKotlin,Shrink and save current classpath snapshot after compilation,20.64,24.56,20,23,33,40,ms
:core:datastore-proto:compileProdDebugKotlin,Clear jar cache,2.0,2.63,1,1,5,7,ms
:core:datastore-proto:compileProdDebugKotlin,Incremental compilation in daemon,1390.22,1439.6,1336,1421,1715,1652,ms
:core:datastore-proto:compileProdDebugKotlin,Compiler code analysis,1006.0,1039.28,931,1004,1291,1274,ms
:core:datastore-proto:compileProdDebugKotlin,Sources compilation round,1289.52,1331.88,1240,1312,1619,1542,ms
:core:datastore-proto:compileProdDebugKotlin,Compiler initialization time,14.5,14.92,14,17,24,24,ms
:core:datastore-proto:compileProdDebugKotlin,Compiler code generation,169.3,171.64,165,160,242,257,ms
:core:datastore-proto:compileProdDebugKotlin,Compiler IR generation,96.44,98.06,97,95,139,147,ms
:core:datastore-proto:compileProdDebugKotlin,Compiler IR translation,93.08,201.88,89,194,125,278,ms
:core:datastore-proto:compileProdDebugKotlin,Number of lines for code generation,843,843,843,843,843,843,
:core:datastore-proto:compileProdDebugKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:core:datastore-proto:compileProdDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:core:datastore-proto:compileProdDebugKotlin,Compiler IR lowering line number,843,843,843,843,843,843,
:core:datastore-proto:compileProdDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:core:datastore-proto:compileProdDebugKotlin,Number of cache hits when loading classpath entry snapshots,9,9,9,9,9,9,
:core:datastore-proto:compileProdDebugKotlin,Number of lines analyzed,843,843,843,843,843,843,
:core:datastore-proto:compileProdDebugKotlin,Size of shrunk classpath snapshot,3.2,4.0,3,4,3,4,KB
:core:datastore-proto:compileProdDebugKotlin,Compiler IR translation line number,843,1686,843,1686,843,1686,
:core:datastore-proto:compileProdDebugKotlin,Code generation lines per second,5330,5473,5125,5286,7215,8028,
:core:datastore-proto:compileProdDebugKotlin,Compiler IR generation line number,843,843,843,843,843,843,
:core:datastore-proto:compileProdDebugKotlin,Analysis lines per second,868,827,906,839,1072,965,
:core:datastore-proto:compileProdDebugKotlin,Number of classpath entries,9,9,9,9,9,9,
:core:datastore-proto:compileProdDebugKotlin,Total size of the cache directory,585.2,585.2,585,585,585,585,KB
:core:datastore-proto:compileProdDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:core:datastore-proto:compileProdDebugKotlin,Size of classpath snapshot,1.9,2.0,2,2,2,2,MB
:core:datastore-proto:compileProdDebugKotlin,Start gradle worker,29.08,18.32,3,3,163,7,ms
:core:datastore-proto:compileProdDebugKotlin,Clear outputs on rebuild,6.0,,6,,6,,ms
:core:datastore-proto:compileProdDebugKotlin,Store build info,4.0,2.0,5,2,6,2,ms
:core:datastore-proto:compileProdDebugKotlin,Save shrunk current classpath snapshot,6.0,2.67,6,3,9,3,ms
:core:datastore-proto:compileProdDebugKotlin,Clear output,1.0,1.0,1,1,1,1,ms
:core:datastore-test:compileDemoDebugKotlin,Shrink current classpath snapshot non-incrementally,27.62,31.56,26,25,43,45,ms
:core:datastore-test:compileDemoDebugKotlin,Spent time before task action,22.26,22.76,22,21,32,33,ms
:core:datastore-test:compileDemoDebugKotlin,Run compilation,479.94,486.66,453,483,648,591,ms
:core:datastore-test:compileDemoDebugKotlin,Load current classpath snapshot,4.92,7.61,3,1,7,5,ms
:core:datastore-test:compileDemoDebugKotlin,Compiler IR lowering,49.94,53.18,51,52,78,81,ms
:core:datastore-test:compileDemoDebugKotlin,Calculate output size,2.3,2.24,1,1,5,4,ms
:core:datastore-test:compileDemoDebugKotlin,Total Gradle task time,614.8,627.78,589,627,823,750,ms
:core:datastore-test:compileDemoDebugKotlin,Run compilation in Gradle worker,492.02,500.18,462,495,660,627,ms
:core:datastore-test:compileDemoDebugKotlin,Connect to Kotlin daemon,9.42,10.2,8,9,16,15,ms
:core:datastore-test:compileDemoDebugKotlin,Task action before worker execution,31.94,30.74,25,24,67,71,ms
