Category,Metric,varianta_main Mean,variantb_gradle_8_13 Mean,varianta_main P50,variantb_gradle_8_13 P50,varianta_main P90,variantb_gradle_8_13 P90,Unit
Build,Build time,508587,506405,506271,504680,522122,520699,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,43,38,41,37,52,46,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,18,17,10,10,46,43,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3911,3880,2819,2781,9922,9717,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,710,697,451,444,1258,1230,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,1,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,47,45,34,33,98,95,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,39,42,8,8,22,22,ms
Task Type,org.jetbrains.kotlin.gradle.tooling.BuildKotlinToolingMetadataTask$FromKotlinExtension,46,46,57,57,96,100,ms
Task Type,com.android.build.gradle.internal.tasks.PerModuleReportDependenciesTask,334,312,285,285,480,440,ms
Task Type,com.google.android.gms.oss.licenses.plugin.DependencyTask,248,247,227,225,390,393,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,425,424,65,60,1237,1236,ms
Task Type,com.google.firebase.crashlytics.buildtools.gradle.tasks.InjectMappingFileIdTask,34,33,26,21,70,69,ms
Task Type,com.google.gms.googleservices.GoogleServicesTask,22,21,19,18,42,40,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,13,13,11,11,25,24,ms
Task Type,com.android.build.gradle.tasks.MergeResources,582,572,257,272,1515,1475,ms
Task Type,com.google.android.gms.oss.licenses.plugin.LicensesTask,1041,1000,1013,969,1624,1498,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,34,33,18,18,40,38,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,54,55,9,9,45,48,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,14,14,8,8,33,33,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,7,7,6,6,14,13,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,44,42,21,21,48,48,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,563,540,272,283,1270,1142,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,77,79,13,13,225,219,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,168,179,25,24,285,286,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,41,41,10,10,38,39,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,34,35,18,17,56,57,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3622,3576,2989,2921,5268,5225,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1314,1309,1130,1122,2219,2206,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,11,11,8,8,19,19,ms
Task Type,com.google.protobuf.gradle.ProtobufExtract,70,69,8,8,327,327,ms
Task Type,com.google.protobuf.gradle.GenerateProtoTask,83,85,79,85,139,142,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,246,242,116,114,752,682,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,25,24,20,20,39,39,ms
Task Type,com.android.build.gradle.tasks.GenerateBuildConfig,30,29,26,26,50,52,ms
Task Type,com.android.build.gradle.internal.tasks.ExtractProguardFiles,11,12,11,11,18,19,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,22,22,19,19,32,32,ms
Task Type,com.android.build.gradle.tasks.ZipMergingTask,14,14,12,12,23,23,ms
Task Type,com.android.build.gradle.internal.lint.LintModelWriterTask,65,65,38,37,145,144,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,69,60,8,9,52,55,ms
Task Type,androidx.room.gradle.RoomGradlePlugin$RoomSchemaCopyTask,4,6,3,3,8,12,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,17,17,11,12,23,23,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,11,10,3,3,11,10,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,5,4,1,1,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,17,17,6,6,13,13,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,5,5,5,5,9,9,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,30,29,24,24,47,45,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,7,6,6,6,12,11,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,5,5,5,5,10,10,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,177,172,18,17,98,78,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,48,47,38,37,85,85,ms
Task Type,com.android.build.gradle.tasks.BundleAar,19,18,15,15,29,29,ms
Task Type,com.android.build.gradle.internal.tasks.LintModelMetadataTask,8,8,7,7,14,14,ms
Task Type,com.android.build.gradle.internal.lint.AndroidLintAnalysisTask,4534,4472,3075,3064,11076,10988,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,678,653,610,666,1379,1286,ms
Task Type,com.android.build.gradle.internal.tasks.MergeArtProfileTask,112,110,30,30,304,287,ms
Task Type,com.android.build.gradle.internal.tasks.ExtractNativeDebugMetadataTask,19,21,10,10,44,46,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,2,2,1,2,5,5,ms
Task Type,com.android.build.gradle.internal.tasks.ExportConsumerProguardFilesTask,7,6,5,5,11,10,ms
Task Type,com.android.build.gradle.internal.tasks.MergeStartupProfileTask,4,4,4,4,8,8,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,211,197,112,112,464,421,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,20,20,10,10,46,47,ms
Task Type,com.android.build.gradle.internal.tasks.ExtractVersionControlInfoTask,68,62,9,9,209,187,ms
Task Type,com.android.build.gradle.internal.tasks.ExpandArtProfileWildcardsTask,1296,1264,1055,1033,3141,3070,ms
Task Type,com.android.build.gradle.internal.tasks.OptimizeResourcesTask,355,344,327,311,476,471,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,6,7,6,5,11,13,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,18,17,8,7,46,41,ms
Task Type,com.android.build.gradle.internal.tasks.SdkDependencyDataGeneratorTask,125,120,58,56,289,274,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,715,707,10,10,2364,2341,ms
Task Type,com.android.build.gradle.internal.lint.AndroidLintTask,315,326,281,288,601,579,ms
Task Type,com.android.build.gradle.internal.lint.AndroidLintTextOutputTask,1,2,1,1,4,4,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,29,29,28,28,40,36,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,2000,2012,1978,2026,2442,2418,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsMergeTask,721,539,489,415,1400,912,ms
Task Type,com.android.build.gradle.tasks.VerifyLibraryResourcesTask,1056,1050,962,963,2014,1983,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,19927,19862,19749,19522,23528,23281,ms
Task Type,com.android.build.gradle.internal.tasks.L8DexDesugarLibTask,22451,22381,16110,16315,44778,44447,ms
Task Type,com.android.build.gradle.internal.tasks.CompileArtProfileTask,648,626,245,246,1616,1575,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,1270,1258,583,584,2801,2758,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,3,3,3,3,6,6,ms
Task Type,com.android.build.gradle.internal.tasks.R8Task,178016,177683,174656,177372,258373,257047,ms
Task Path,:build-logic:convention:compileKotlin,12266,12252,12016,12066,13075,12823,ms
Task Path,:app:checkDemoReleaseAarMetadata,1160,1155,1145,1162,1407,1396,ms
Task Path,:app:demoReleaseOssLicensesTask,1446,1380,1413,1388,1718,1553,ms
Task Path,:core:designsystem:packageDemoReleaseResources,1145,1095,1132,1082,1311,1282,ms
Task Path,:app:parseDemoReleaseLocalResources,1592,1600,1356,1098,2699,3934,ms
Task Path,:app:processDemoReleaseMainManifest,1266,1176,980,943,2564,2500,ms
Task Path,:app:mergeDemoReleaseResources,5665,5570,5609,5567,6099,6055,ms
Task Path,:core:common:kspKotlin,11569,11462,11402,11402,12157,12162,ms
Task Path,:app:processDemoReleaseResources,2142,2121,2145,2115,2333,2363,ms
Task Path,:core:model:compileKotlin,13706,13647,13623,13626,14274,14272,ms
Task Path,:core:common:compileKotlin,2774,2730,2744,2740,3005,3072,ms
Task Path,:core:analytics:kspDemoReleaseKotlin,5077,4949,5083,4909,5473,5367,ms
Task Path,:core:common:compileJava,1616,1578,1602,1567,1842,1739,ms
Task Path,:core:analytics:compileDemoReleaseKotlin,2437,2441,2376,2424,2847,2799,ms
Task Path,:core:datastore-proto:compileDemoReleaseKotlin,5584,5546,5536,5508,6161,6002,ms
