Category,Metric,varianta_9.5.1 Mean,variantb_9.6.0-rc-1 Mean,varianta_9.5.1 P50,variantb_9.6.0-rc-1 P50,varianta_9.5.1 P90,variantb_9.6.0-rc-1 P90,Unit
Build,Build time,516886,499350,513343,505648,545133,532651,ms
Build,Configuration time,57099,54210,56822,53753,61338,60276,ms
Gradle process state,Gradle-Process-gcTime,0.35,0.34,0.35,0.34,0.38,0.37,
Kotlin process state,Kotlin-Process-gcTime,0.12,0.12,0.12,0.12,0.13,0.13,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,1765,1701,1392,1354,2986,2852,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,3171,3104,2909,2864,4145,4095,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsGeneratorTask,2939,2670,2880,2559,3636,3328,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,7167,6901,2309,2233,19661,19270,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,1585,1486,1562,1547,2027,1959,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1782,1759,1754,1757,2064,2019,ms
Task Path,:build-logic:convention:compileKotlin,8279,8012,8170,8129,8838,8559,ms
Task Path,:app:app:parseDebugLocalResources,1891,1620,1569,1309,3464,2961,ms
Task Path,:core:account:kspDebugKotlin,11664,11242,11583,11431,12454,12142,ms
Task Path,:core:article:kspDebugKotlin,10669,10301,10638,10503,11441,11150,ms
Task Path,:core:alarm:kspDebugKotlin,11193,10810,11114,11003,11945,11675,ms
Task Path,:core:analytics:kspDebugKotlin,10882,10506,10854,10664,11648,11341,ms
Task Path,:core:analytics:compileDebugKotlin,6567,6353,6483,6376,7455,7164,ms
Task Path,:core:alarm:compileDebugKotlin,6651,6423,6548,6365,7645,7462,ms
Task Path,:core:article:compileDebugKotlin,6590,6269,6424,6245,7453,7094,ms
Task Path,:core:account:compileDebugKotlin,6781,6517,6768,6739,7671,7354,ms
Task Path,:core:calendar:kspDebugKotlin,5338,5151,5256,5050,6232,5862,ms
Task Path,:core:audio:kspDebugKotlin,5341,5110,5265,5131,6132,5769,ms
Task Path,:core:cart:kspDebugKotlin,5382,5117,5282,5127,6332,5757,ms
Task Path,:core:checkout:kspDebugKotlin,5367,5153,5261,5210,6243,5903,ms
Task Path,:core:calendar:compileDebugKotlin,4559,4395,4561,4428,5037,5179,ms
Task Path,:core:cart:compileDebugKotlin,4359,4234,4323,4302,4977,5004,ms
Task Path,:core:audio:compileDebugKotlin,4744,4655,4741,4735,5613,5403,ms
Task Path,:core:checkout:compileDebugKotlin,4236,4120,4209,4172,4836,4932,ms
Task Path,:core:contact:kspDebugKotlin,4560,4374,4470,4282,5339,5304,ms
Task Path,:core:comment:kspDebugKotlin,4452,4360,4408,4277,5173,5300,ms
Task Path,:core:document:kspDebugKotlin,4626,4307,4686,4264,5246,5179,ms
Task Path,:core:event:kspDebugKotlin,4704,4449,4682,4516,5481,5264,ms
Task Path,:core:document:compileDebugKotlin,3578,3425,3525,3482,4042,3942,ms
Task Path,:core:comment:compileDebugKotlin,4021,3767,4000,3795,4632,4337,ms
Task Path,:core:contact:compileDebugKotlin,3782,3609,3683,3692,4392,4108,ms
Task Path,:core:event:compileDebugKotlin,3418,3304,3387,3322,4094,3734,ms
Task Path,:core:feed:kspDebugKotlin,4294,4117,4184,4190,5017,4766,ms
Task Path,:core:file:kspDebugKotlin,4379,4338,4285,4384,5085,5033,ms
Task Path,:core:gallery:kspDebugKotlin,4730,4705,4736,4783,5613,5569,ms
Task Path,:core:forecast:kspDebugKotlin,4594,4461,4561,4496,5231,5383,ms
Task Path,:core:feed:compileDebugKotlin,3733,3793,3719,3855,4372,4336,ms
Task Path,:core:file:compileDebugKotlin,3583,3542,3611,3576,4114,4185,ms
Task Path,:core:gallery:compileDebugKotlin,3213,3231,3176,3300,3914,3665,ms
Task Path,:core:forecast:compileDebugKotlin,3353,3355,3376,3356,4050,4016,ms
Task Path,:core:group:kspDebugKotlin,3989,3788,3937,3801,4561,4407,ms
