Category,Metric,varianta_kotlin_2.1.21 Mean,variantb_kotlin_2.2.0 Mean,varianta_kotlin_2.1.21 P50,variantb_kotlin_2.2.0 P50,varianta_kotlin_2.1.21 P90,variantb_kotlin_2.2.0 P90,Unit
Build,Build time,575195,572772,569609,571418,601128,600337,ms
Build,Configuration time,60903,59337,58846,58220,65555,67052,ms
Gradle process state,Gradle-Process-gcTime,0.23,0.23,0.23,0.23,0.24,0.24,
Kotlin process state,Kotlin-Process-gcTime,0.49,0.5,0.5,0.5,0.53,0.53,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2519,2568,2116,2187,3610,3654,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3227,3237,3061,3077,4060,4084,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1930,1880,1932,1890,2227,2083,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,1472,1463,1437,1457,1813,1906,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,3915,3926,3097,2899,8593,8783,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1455,1405,1515,1379,1736,1655,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,1330,1395,1003,1108,2601,2746,ms
Task Path,:build-logic:convention:compileKotlin,6576,6458,6487,6263,6912,6941,ms
Task Path,:layer_0:module_0_1:parseDebugLocalResources,1539,1573,1298,1330,2564,2816,ms
Task Path,:layer_0:module_0_1:kspDebugKotlin,10011,10184,9916,10054,10638,10764,ms
Task Path,:layer_0:module_0_12:kspDebugKotlin,7955,8149,7876,8101,8415,8559,ms
Task Path,:layer_0:module_0_10:kspDebugKotlin,9226,9416,9088,9287,9838,10048,ms
Task Path,:layer_0:module_0_11:kspDebugKotlin,8385,8572,8294,8488,8877,9051,ms
Task Path,:layer_0:module_0_10:compileDebugKotlin,10943,10811,10969,10771,11279,11228,ms
Task Path,:layer_0:module_0_12:compileDebugKotlin,10890,10787,10889,10776,11256,11139,ms
Task Path,:layer_0:module_0_1:compileDebugKotlin,10983,10865,11006,10827,11354,11280,ms
Task Path,:layer_0:module_0_11:compileDebugKotlin,10929,10807,10950,10772,11334,11191,ms
Task Path,:layer_0:module_0_1:compileDebugJavaWithJavac,1462,1434,1418,1395,1696,1767,ms
Task Path,:layer_0:module_0_13:kspDebugKotlin,4411,4541,4383,4449,4712,4934,ms
Task Path,:layer_0:module_0_14:kspDebugKotlin,4288,4412,4292,4388,4593,4802,ms
Task Path,:layer_0:module_0_16:kspDebugKotlin,4129,4305,4099,4253,4474,4647,ms
Task Path,:layer_0:module_0_15:kspDebugKotlin,4957,5085,4912,5059,5413,5376,ms
Task Path,:layer_0:module_0_13:compileDebugKotlin,6085,6086,6092,6036,6665,6482,ms
Task Path,:layer_0:module_0_16:compileDebugKotlin,5423,5320,5372,5252,6032,5824,ms
Task Path,:layer_0:module_0_14:compileDebugKotlin,5920,5932,5925,5913,6387,6275,ms
Task Path,:layer_0:module_0_15:compileDebugKotlin,5401,5282,5274,5186,6111,5751,ms
Task Path,:layer_0:module_0_17:kspDebugKotlin,3727,3758,3608,3690,4303,4142,ms
Task Path,:layer_0:module_0_18:kspDebugKotlin,3775,3801,3703,3735,4408,4297,ms
Task Path,:layer_0:module_0_19:kspDebugKotlin,3773,3832,3705,3772,4228,4249,ms
Task Path,:layer_0:module_0_2:kspDebugKotlin,3813,3839,3738,3735,4318,4425,ms
Task Path,:layer_0:module_0_18:compileDebugKotlin,4740,4880,4712,4902,5233,5470,ms
Task Path,:layer_0:module_0_17:compileDebugKotlin,5125,5161,5114,5134,5489,5521,ms
Task Path,:layer_0:module_0_19:compileDebugKotlin,4813,4970,4811,4919,5176,5515,ms
Task Path,:layer_0:module_0_2:compileDebugKotlin,4676,4835,4695,4780,5143,5393,ms
Task Path,:layer_0:module_0_21:kspDebugKotlin,3286,3477,3241,3396,3764,3876,ms
