Category,Metric,varianta_2.2.0 Mean,variantb_2.2.20-Beta2 Mean,varianta_2.2.0 P50,variantb_2.2.20-Beta2 P50,varianta_2.2.0 P90,variantb_2.2.20-Beta2 P90,Unit
Build,Build time,750638,762133,741872,752778,794976,828511,ms
Build,Configuration time,70962,72517,69967,70853,78211,81616,ms
Gradle process state,Gradle-Process-gcTime,0.29,0.29,0.29,0.29,0.3,0.31,
Kotlin process state,Kotlin-Process-gcTime,0.77,0.73,0.78,0.72,0.81,0.8,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2173,2199,1866,1856,3175,3179,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,3412,2350,3570,2252,4016,2847,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3046,3110,2869,2887,4058,4156,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1247,1119,1215,1108,1474,1364,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,5439,5663,4960,4756,11293,12074,ms
Task Path,:build-logic:convention:compileKotlin,6929,6956,6853,6898,7442,7579,ms
Task Path,:app:app:parseDebugLocalResources,1482,1878,1331,1423,2812,3738,ms
Task Path,:app:app:mergeDebugResources,4608,4858,4586,4691,5528,6398,ms
Task Path,:app:app:processDebugResources,3412,2350,3570,2252,4016,2847,ms
Task Path,:core:alarm:kspDebugKotlin,6217,9616,6106,9548,6922,10546,ms
Task Path,:core:analytics:kspDebugKotlin,5876,8997,5786,8867,6543,9818,ms
Task Path,:core:account:kspDebugKotlin,7471,10797,7373,10629,8384,11792,ms
Task Path,:core:article:kspDebugKotlin,4225,7688,4253,7625,4951,8458,ms
Task Path,:core:article:compileDebugKotlin,8189,10623,8176,10544,8881,11314,ms
Task Path,:core:alarm:compileDebugKotlin,9186,10738,9056,10633,9838,11388,ms
Task Path,:core:analytics:compileDebugKotlin,9811,10808,9726,10732,10408,11487,ms
Task Path,:core:account:compileDebugKotlin,10168,11025,10148,10871,10782,11647,ms
Task Path,:core:article:compileDebugJavaWithJavac,2241,1073,2617,465,2881,2558,ms
Task Path,:core:audio:kspDebugKotlin,5385,6005,5270,5946,6284,7015,ms
Task Path,:core:calendar:kspDebugKotlin,5167,5531,5119,5520,5856,6091,ms
Task Path,:core:cart:kspDebugKotlin,4900,5131,4769,5127,5604,5809,ms
Task Path,:core:checkout:kspDebugKotlin,5442,5816,5417,5871,6065,6422,ms
Task Path,:core:audio:compileDebugKotlin,6038,6464,5935,6388,6944,7317,ms
Task Path,:core:audio:compileDebugJavaWithJavac,1070,1091,1096,1113,1274,1361,ms
Task Path,:core:cart:compileDebugKotlin,5610,6240,5543,6112,6174,6977,ms
Task Path,:core:calendar:compileDebugKotlin,6962,7472,6815,7482,8137,8336,ms
