Category,Metric,varianta_main Mean,variantb_UseCompactObjectHeaders Mean,varianta_main P50,variantb_UseCompactObjectHeaders P50,varianta_main P90,variantb_UseCompactObjectHeaders P90,Unit
Task Path,:core:media:kspDebugKotlin,2041,2154,2039,2229,2481,2541,ms
Task Path,:core:message:kspDebugKotlin,2173,2314,2131,2246,2761,2819,ms
Task Path,:core:media:compileDebugKotlin,4236,4318,4202,4352,4728,4891,ms
Task Path,:core:map:compileDebugKotlin,4435,4483,4418,4495,5088,5375,ms
Task Path,:core:message:compileDebugKotlin,4080,4142,3996,4076,4673,4955,ms
Task Path,:core:login-contact:compileDebugKotlin,4412,4476,4390,4458,5081,4971,ms
Task Path,:core:network:kspDebugKotlin,1872,1893,1885,1833,2511,2426,ms
Task Path,:core:metric:kspDebugKotlin,1751,1799,1640,1584,2333,2314,ms
Task Path,:core:news:kspDebugKotlin,2018,1983,1970,1880,2495,2627,ms
Task Path,:core:note:kspDebugKotlin,2786,2815,2664,2718,3273,3299,ms
Task Path,:core:network:compileDebugKotlin,4597,4538,4579,4501,5162,5190,ms
Task Path,:core:news:compileDebugKotlin,4462,4526,4545,4565,5006,5056,ms
Task Path,:core:metric:compileDebugKotlin,4588,4559,4676,4454,5192,5202,ms
Task Path,:core:note:compileDebugKotlin,4070,4018,4004,4031,4872,4590,ms
Task Path,:core:notification:kspDebugKotlin,1822,1755,1824,1566,2315,2476,ms
Task Path,:core:playlist:kspDebugKotlin,2207,2174,2240,2074,2772,2790,ms
Task Path,:core:podcast:kspDebugKotlin,2294,2254,2253,2144,2858,3078,ms
Task Path,:core:photo:kspDebugKotlin,2667,2885,2703,2724,3281,3748,ms
Task Path,:core:notification:compileDebugKotlin,4602,4632,4597,4765,5386,5348,ms
Task Path,:core:playlist:compileDebugKotlin,4919,4916,4853,4936,5856,5709,ms
Task Path,:core:podcast:compileDebugKotlin,4836,4868,4817,4796,6013,5512,ms
Task Path,:core:photo:compileDebugKotlin,4887,4782,4888,4715,5810,5606,ms
Task Path,:core:post:kspDebugKotlin,2028,2060,2013,2051,2543,2773,ms
Task Path,:core:profile:kspDebugKotlin,2221,2120,2264,2050,2827,2683,ms
Task Path,:core:profile-contact:kspDebugKotlin,2163,2123,2182,2123,2577,2592,ms
Task Path,:core:post-contact:kspDebugKotlin,2842,2710,2769,2584,3495,3300,ms
Task Path,:core:post:compileDebugKotlin,4511,4504,4656,4432,5358,5406,ms
Task Path,:core:push:kspDebugKotlin,1743,1703,1775,1636,2205,2218,ms
Task Path,:core:post-contact:compileDebugKotlin,4160,4074,4086,4081,5169,4776,ms
Task Path,:core:profile:compileDebugKotlin,4242,4301,4220,4194,5431,5064,ms
Task Path,:core:profile-contact:compileDebugKotlin,4168,4034,4004,3997,5510,4810,ms
Task Path,:core:push:compileDebugKotlin,3293,3444,3257,3362,4035,4237,ms
Task Path,:core:report:kspDebugKotlin,1849,1879,1764,1841,2515,2474,ms
Task Path,:core:search:kspDebugKotlin,1983,1981,1956,1976,2733,2361,ms
Task Path,:core:push-contact:kspDebugKotlin,2183,2177,2045,2173,2866,2715,ms
Task Path,:core:session:kspDebugKotlin,1728,1761,1713,1719,2190,2408,ms
Task Path,:core:report:compileDebugKotlin,3509,3522,3522,3628,4135,4131,ms
Task Path,:core:search:compileDebugKotlin,3379,3465,3397,3429,3903,4027,ms
Task Path,:core:push-contact:compileDebugKotlin,3445,3598,3425,3470,4074,4231,ms
Task Path,:core:session:compileDebugKotlin,3142,3263,3140,3184,3688,4163,ms
Task Path,:core:share:kspDebugKotlin,1571,1763,1571,1803,1967,2067,ms
Task Path,:core:status:kspDebugKotlin,1668,1722,1625,1744,2005,2108,ms
Task Path,:core:setting:kspDebugKotlin,1983,2152,1939,2166,2654,2593,ms
Task Path,:core:sync:kspDebugKotlin,2253,2309,2181,2358,2877,2919,ms
Task Path,:core:share:compileDebugKotlin,3498,3555,3545,3505,3969,4209,ms
Task Path,:core:setting:compileDebugKotlin,3520,3544,3566,3565,4228,4037,ms
Task Path,:core:status:compileDebugKotlin,3477,3570,3475,3564,4141,4193,ms
Task Path,:core:sync:compileDebugKotlin,2975,3223,2938,3174,3582,4028,ms
Task Path,:core:task:kspDebugKotlin,1446,1568,1267,1545,2038,2046,ms
Task Path,:core:timer:kspDebugKotlin,1493,1657,1402,1579,1848,2132,ms
Task Path,:core:user:kspDebugKotlin,1597,1738,1507,1679,2195,2210,ms
Task Path,:core:todo:kspDebugKotlin,1671,1843,1620,1800,2047,2280,ms
Task Path,:core:task:compileDebugKotlin,3269,3342,3300,3328,4050,4025,ms
Task Path,:core:timer:compileDebugKotlin,3118,3414,2990,3376,3801,3953,ms
Task Path,:core:todo:compileDebugKotlin,3116,3220,3123,3141,3672,3698,ms
Task Path,:core:user:compileDebugKotlin,3123,3182,3053,3123,3958,3833,ms
Task Path,:core:user-contact:kspDebugKotlin,1403,1547,1370,1507,1861,2083,ms
Task Path,:core:video:kspDebugKotlin,1539,1747,1431,1689,2119,2249,ms
