Category,Metric,varianta_baseline Mean,variantb_gradle-9.6.1 Mean,varianta_baseline P50,variantb_gradle-9.6.1 P50,varianta_baseline P90,variantb_gradle-9.6.1 P90,Unit
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,7,8,3,3,6,7,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,949,988,947,984,1163,1260,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,5,5,6,5,9,8,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,21,23,22,22,28,42,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,7,7,1,1,1,1,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,12,12,9,9,15,14,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,2,2,2,2,4,4,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,2,2,2,2,3,3,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,1,1,2,2,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,3,4,2,2,4,4,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,17,17,16,16,23,23,ms
Task Type,com.android.build.gradle.tasks.BundleAar,7,7,7,7,11,11,ms
Task Type,org.gradle.api.Task,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,843,878,836,836,1054,1064,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,4,3,3,3,7,7,ms
Task Path,:build-logic:convention:compileKotlin,8334,8520,8384,8574,8843,8983,ms
Task Path,:app:app:parseDebugLocalResources,1783,1582,1344,1263,3789,3059,ms
Task Path,:core:contact:kspDebugKotlin,7270,7335,7422,7438,7832,7912,ms
Task Path,:core:cart:kspDebugKotlin,8336,8457,8508,8530,8891,9270,ms
Task Path,:core:comment:kspDebugKotlin,7640,7809,7694,7912,8246,8304,ms
Task Path,:core:checkout:kspDebugKotlin,7923,8089,8035,8205,8441,8743,ms
Task Path,:core:cart:compileDebugKotlin,8685,14828,8715,15037,9762,15794,ms
Task Path,:core:checkout:compileDebugKotlin,8336,14384,8520,14545,9225,15253,ms
Task Path,:core:contact:compileDebugKotlin,8391,14517,8490,14592,9241,15677,ms
Task Path,:core:comment:compileDebugKotlin,8303,14314,8498,14483,9173,15183,ms
Task Path,:core:cart:compileDebugJavaWithJavac,1184,1022,1558,417,2185,2153,ms
Task Path,:core:feed:kspDebugKotlin,2643,2713,2529,2568,3692,3371,ms
Task Path,:core:group:kspDebugKotlin,3856,3947,3878,3954,4525,4631,ms
Task Path,:core:identity:kspDebugKotlin,4131,4226,4024,4244,4966,4724,ms
Task Path,:core:location:kspDebugKotlin,3990,4002,3942,4011,4666,4489,ms
Task Path,:core:feed:compileDebugKotlin,6544,7358,6597,7440,7393,8207,ms
Task Path,:core:group:compileDebugKotlin,5735,5816,5772,5766,6287,6713,ms
Task Path,:core:identity:compileDebugKotlin,5503,5657,5563,5756,6284,6486,ms
Task Path,:core:location:compileDebugKotlin,5157,5175,5118,5121,5698,6081,ms
Task Path,:core:login:kspDebugKotlin,2847,2952,2816,3048,3373,3515,ms
Task Path,:core:message:kspDebugKotlin,3314,3418,3317,3418,4005,4189,ms
Task Path,:core:login:compileDebugKotlin,5258,5584,5264,5721,6171,6277,ms
Task Path,:core:network:kspDebugKotlin,3360,3377,3339,3388,4074,3929,ms
Task Path,:core:notification:kspDebugKotlin,3335,3448,3382,3405,4086,4175,ms
Task Path,:core:message:compileDebugKotlin,4879,5341,4874,5303,5866,6056,ms
Task Path,:core:post:kspDebugKotlin,2736,2863,2642,2885,3736,3359,ms
Task Path,:core:notification:compileDebugKotlin,4554,5031,4469,5043,5577,5789,ms
Task Path,:core:network:compileDebugKotlin,4823,5314,4776,5240,5744,6015,ms
Task Path,:core:profile:kspDebugKotlin,3161,3215,3042,3255,4077,3976,ms
Task Path,:core:push:kspDebugKotlin,3116,3075,3237,3104,3803,3560,ms
Task Path,:core:search:kspDebugKotlin,3266,3365,3156,3399,4062,3987,ms
Task Path,:core:post:compileDebugKotlin,4597,4741,4603,4862,5680,5450,ms
Task Path,:core:profile:compileDebugKotlin,4930,5135,4888,5057,5702,6289,ms
Task Path,:core:push:compileDebugKotlin,4674,5001,4616,4944,5431,6005,ms
Task Path,:core:search:compileDebugKotlin,4526,4898,4618,4807,5174,5965,ms
Task Path,:core:setting:kspDebugKotlin,3487,3837,3394,3793,4522,4633,ms
Task Path,:core:share:kspDebugKotlin,2829,2927,2680,2984,4005,3342,ms
Task Path,:core:user:kspDebugKotlin,2790,2798,2577,2825,3614,3227,ms
Task Path,:core:sync:kspDebugKotlin,3922,3936,3842,4014,4909,4595,ms
Task Path,:core:setting:compileDebugKotlin,3873,4190,3949,4147,4931,5166,ms
Task Path,:core:share:compileDebugKotlin,4049,4219,4059,4279,4832,4772,ms
Task Path,:core:user:compileDebugKotlin,3853,4031,3921,4171,4471,4691,ms
Task Path,:core:sync:compileDebugKotlin,3640,3963,3583,3956,4557,4644,ms
Task Path,:feature:account:kspDebugKotlin,2819,2745,2742,2785,3558,3596,ms
Task Path,:feature:event:kspDebugKotlin,3400,3617,3276,3664,4553,4328,ms
Task Path,:feature:alarm:kspDebugKotlin,2499,2619,2437,2751,3141,3354,ms
Task Path,:feature:document:kspDebugKotlin,2469,2615,2528,2635,3248,3369,ms
Task Path,:feature:account:compileDebugKotlin,3188,3669,3162,3708,3642,4213,ms
Task Path,:feature:event:compileDebugKotlin,3374,3460,3453,3396,4154,3973,ms
Task Path,:feature:list:kspDebugKotlin,2573,2548,2509,2506,3322,3147,ms
Task Path,:feature:document:compileDebugKotlin,3602,3627,3484,3704,4325,4406,ms
Task Path,:feature:alarm:compileDebugKotlin,3740,3740,3754,3654,4383,4492,ms
Task Path,:feature:list:compileDebugKotlin,3317,3287,3323,3260,3935,3826,ms
Task Path,:feature:map:kspDebugKotlin,1936,2202,1942,2201,2390,3102,ms
Task Path,:feature:session:kspDebugKotlin,2057,2436,2100,2436,2629,3221,ms
Task Path,:feature:todo:kspDebugKotlin,2409,2767,2391,2821,3104,3411,ms
Task Path,:feature:weather:kspDebugKotlin,2245,2603,2239,2603,2692,3288,ms
Task Path,:feature:map:compileDebugKotlin,3200,3736,3230,3654,3734,4664,ms
Task Path,:feature:session:compileDebugKotlin,3306,3573,3318,3677,4007,4479,ms
Task Path,:feature:todo:compileDebugKotlin,3203,3434,3172,3450,3980,4112,ms
Task Path,:feature:weather:compileDebugKotlin,2915,3007,2862,2909,3728,3710,ms
Task Path,:feature:forecast:kspDebugKotlin,2989,3107,2837,3119,3834,3734,ms
Task Path,:domain:article:kspDebugKotlin,2202,2219,2217,2187,2662,2761,ms
Task Path,:feature:report:kspDebugKotlin,2418,2521,2390,2409,2874,3132,ms
Task Path,:feature:forecast:compileDebugKotlin,3506,3502,3671,3416,4198,4297,ms
Task Path,:feature:log:kspDebugKotlin,3006,3111,2941,3150,3763,3716,ms
Task Path,:feature:task:kspDebugKotlin,2025,2230,1942,2294,2696,2722,ms
Task Path,:domain:article:compileDebugKotlin,3199,3372,3026,3269,3981,4229,ms
Task Path,:feature:report:compileDebugKotlin,3278,3710,3160,3702,4194,4505,ms
Task Path,:feature:log:compileDebugKotlin,3310,3766,3212,3746,4137,4617,ms
Task Path,:feature:task:compileDebugKotlin,3193,3434,3009,3291,3945,4447,ms
Task Path,:feature:metric:kspDebugKotlin,2171,2363,2176,2387,2852,3030,ms
Task Path,:feature:status:kspDebugKotlin,2162,2417,2124,2371,2582,3068,ms
Task Path,:domain:audio:kspDebugKotlin,2173,2282,2237,2236,2826,2797,ms
Task Path,:feature:file:kspDebugKotlin,2253,2414,2203,2516,2977,2974,ms
Task Path,:feature:metric:compileDebugKotlin,2838,3045,2709,3065,3586,3712,ms
Task Path,:feature:status:compileDebugKotlin,2876,3144,2882,3043,3482,3845,ms
Task Path,:domain:audio:compileDebugKotlin,3039,3094,3004,3190,3817,3855,ms
Task Path,:feature:file:compileDebugKotlin,2664,2898,2619,2889,3411,3603,ms
Task Path,:domain:cart-contact:kspDebugKotlin,2895,3037,2899,2997,3470,3480,ms
Task Path,:domain:comment-contact:kspDebugKotlin,2171,2309,2104,2296,2713,2936,ms
Task Path,:domain:checkout-contact:kspDebugKotlin,2217,2322,2186,2328,2695,3010,ms
Task Path,:feature:analytics:kspDebugKotlin,2060,2244,1986,2224,2670,2666,ms
Task Path,:domain:cart-contact:compileDebugKotlin,2932,3054,3029,2968,3631,3708,ms
Task Path,:domain:comment-contact:compileDebugKotlin,2974,3115,2906,3138,3587,3731,ms
Task Path,:domain:checkout-contact:compileDebugKotlin,2843,2892,2700,2917,3464,3386,ms
Task Path,:feature:analytics:compileDebugKotlin,2770,2887,2860,2908,3333,3757,ms
Task Path,:feature:calendar:kspDebugKotlin,1842,1944,1730,1882,2642,2497,ms
Task Path,:domain:feed-contact:kspDebugKotlin,2072,2158,2021,2102,2791,2686,ms
Task Path,:feature:timer:kspDebugKotlin,2132,2281,2089,2226,2617,2820,ms
Task Path,:feature:note:kspDebugKotlin,2682,2808,2604,2769,3373,3432,ms
Task Path,:feature:calendar:compileDebugKotlin,2872,3053,2796,2961,3614,3710,ms
Task Path,:domain:feed-contact:compileDebugKotlin,2903,2938,2811,2895,3797,3540,ms
Task Path,:feature:timer:compileDebugKotlin,2777,2861,2818,2888,3232,3282,ms
Task Path,:feature:note:compileDebugKotlin,2761,2904,2672,2945,3476,3302,ms
Task Path,:domain:contact-contact:kspDebugKotlin,1813,1957,1813,1957,2354,2519,ms
Task Path,:domain:gallery:kspDebugKotlin,1925,2060,1877,2092,2480,2493,ms
Task Path,:domain:identity-contact:kspDebugKotlin,2023,2060,1983,2114,2515,2487,ms
Task Path,:domain:login-contact:kspDebugKotlin,2172,2170,2148,2083,2650,2693,ms
Task Path,:domain:contact-contact:compileDebugKotlin,2667,2774,2660,2759,3073,3314,ms
Task Path,:domain:gallery:compileDebugKotlin,2777,2813,2748,2812,3421,3285,ms
Task Path,:domain:login-contact:compileDebugKotlin,2743,2658,2700,2604,3744,3393,ms
Task Path,:domain:identity-contact:compileDebugKotlin,2732,2722,2731,2680,3312,3242,ms
Task Path,:domain:media:kspDebugKotlin,1788,1922,1853,1752,2193,2613,ms
Task Path,:domain:news:kspDebugKotlin,1954,1965,1867,1913,2668,2660,ms
Task Path,:domain:playlist:kspDebugKotlin,2001,2039,1969,1966,2578,2489,ms
Task Path,:domain:photo:kspDebugKotlin,2738,2829,2723,2734,3425,3528,ms
Task Path,:domain:media:compileDebugKotlin,2832,2920,2926,2847,3294,3559,ms
Task Path,:domain:news:compileDebugKotlin,3019,3062,2965,3040,3837,3729,ms
Task Path,:domain:playlist:compileDebugKotlin,2843,2988,2861,2945,3531,3770,ms
Task Path,:domain:photo:compileDebugKotlin,2755,2937,2725,2956,3373,3640,ms
Task Path,:domain:podcast:kspDebugKotlin,1904,2079,1812,2026,2301,2793,ms
Task Path,:domain:profile-contact:kspDebugKotlin,2019,2193,2040,2174,2693,2681,ms
Task Path,:domain:podcast:compileDebugKotlin,2687,2898,2653,2867,3270,3638,ms
Task Path,:domain:post-contact:kspDebugKotlin,2711,2846,2641,2870,3429,3739,ms
Task Path,:domain:push-contact:kspDebugKotlin,2629,2781,2546,2684,3274,3311,ms
Task Path,:domain:profile-contact:compileDebugKotlin,2591,2765,2520,2680,3022,3334,ms
Task Path,:domain:post-contact:compileDebugKotlin,2589,2671,2542,2612,3238,3287,ms
Task Path,:domain:user-contact:kspDebugKotlin,1964,2110,1949,2024,2519,2750,ms
Task Path,:domain:push-contact:compileDebugKotlin,2677,2583,2655,2594,3425,3136,ms
Task Path,:domain:video:kspDebugKotlin,2119,2120,2058,2152,2740,2521,ms
Task Path,:domain:user-contact:compileDebugKotlin,2685,2713,2664,2671,3186,3331,ms
Task Path,:repository:analytics-contact:kspDebugKotlin,2030,2274,1921,2264,2455,2684,ms
Task Path,:repository:alarm-contact:kspDebugKotlin,2592,2795,2647,2830,3282,3407,ms
Task Path,:domain:video:compileDebugKotlin,2477,2817,2422,2845,2987,3546,ms
Task Path,:repository:account-contact:kspDebugKotlin,2448,2743,2545,2789,2863,3650,ms
Task Path,:repository:analytics-contact:compileDebugKotlin,2518,2707,2538,2761,3043,3218,ms
Task Path,:repository:calendar-contact:kspDebugKotlin,1899,2071,1933,1997,2235,2488,ms
Task Path,:repository:alarm-contact:compileDebugKotlin,2384,2562,2472,2563,3038,2995,ms
Task Path,:repository:account-contact:compileDebugKotlin,2543,2576,2516,2711,3190,3062,ms
Task Path,:repository:event-contact:kspDebugKotlin,1773,2032,1751,2055,2239,2368,ms
Task Path,:repository:calendar-contact:compileDebugKotlin,2295,2539,2296,2588,2825,3127,ms
Task Path,:repository:location-contact:kspDebugKotlin,1727,1962,1698,1972,2168,2330,ms
Task Path,:repository:log-contact:kspDebugKotlin,1768,1909,1751,1917,2261,2347,ms
Task Path,:repository:event-contact:compileDebugKotlin,2350,2474,2340,2444,2749,3009,ms
Task Path,:repository:message-contact:kspDebugKotlin,1772,1835,1682,1796,2295,2177,ms
Task Path,:repository:location-contact:compileDebugKotlin,2343,2402,2362,2409,2812,2774,ms
Task Path,:repository:log-contact:compileDebugKotlin,2425,2329,2347,2295,3207,2868,ms
Task Path,:repository:notification-contact:kspDebugKotlin,1718,1886,1701,1822,2366,2316,ms
Task Path,:repository:message-contact:compileDebugKotlin,2267,2312,2194,2239,3094,2801,ms
Task Path,:repository:report-contact:kspDebugKotlin,1732,1817,1635,1846,2489,2311,ms
Task Path,:repository:search-contact:kspDebugKotlin,1681,1864,1659,1889,2088,2501,ms
Task Path,:repository:session-contact:kspDebugKotlin,1724,1901,1715,1819,2176,2384,ms
Task Path,:repository:notification-contact:compileDebugKotlin,2296,2315,2244,2260,2857,2968,ms
Task Path,:repository:report-contact:compileDebugKotlin,2355,2411,2296,2449,2960,2960,ms
Task Path,:repository:search-contact:compileDebugKotlin,2338,2366,2322,2387,2962,2825,ms
Task Path,:repository:session-contact:compileDebugKotlin,2294,2332,2261,2274,2897,3012,ms
Task Path,:repository:setting-contact:kspDebugKotlin,1670,1829,1676,1790,2165,2428,ms
Task Path,:repository:task-contact:kspDebugKotlin,1785,1875,1725,1814,2412,2293,ms
Task Path,:repository:setting-contact:compileDebugKotlin,2301,2190,2215,2197,3167,2626,ms
Task Path,:repository:share-contact:kspDebugKotlin,2222,2410,2152,2453,2880,3011,ms
Task Path,:repository:group-contact:kspDebugKotlin,1969,1877,1901,1829,2442,2403,ms
Task Path,:repository:task-contact:compileDebugKotlin,2452,2506,2418,2435,3070,3213,ms
Task Path,:repository:share-contact:compileDebugKotlin,2397,2365,2351,2321,3090,2792,ms
Task Path,:repository:network-contact:kspDebugKotlin,1826,1939,1812,1930,2285,2271,ms
Task Path,:repository:group-contact:compileDebugKotlin,2366,2309,2331,2295,2999,2942,ms
Task Path,:model:article-contact:kspDebugKotlin,1776,1876,1739,1886,2191,2529,ms
Task Path,:repository:network-contact:compileDebugKotlin,2307,2439,2255,2264,2917,3281,ms
Task Path,:repository:status-contact:kspDebugKotlin,2401,2471,2468,2438,2806,2802,ms
Task Path,:repository:metric-contact:kspDebugKotlin,1896,1997,1866,2077,2443,2390,ms
Task Path,:model:document-contact:kspDebugKotlin,1794,1763,1650,1664,2562,2311,ms
Task Path,:repository:metric-contact:compileDebugKotlin,2287,2390,2233,2342,2887,3142,ms
Task Path,:repository:status-contact:compileDebugKotlin,2437,2537,2392,2456,3027,3091,ms
Task Path,:model:article-contact:compileDebugKotlin,2645,2630,2583,2651,3353,3205,ms
Task Path,:model:document-contact:compileDebugKotlin,2352,2367,2224,2215,3038,3392,ms
Task Path,:model:audio-contact:kspDebugKotlin,1647,1744,1606,1699,2272,2239,ms
Task Path,:model:contact-login:kspDebugKotlin,2350,2350,2366,2285,3059,2902,ms
Task Path,:model:file-contact:kspDebugKotlin,1729,1633,1737,1652,2195,1926,ms
Task Path,:repository:sync-contact:kspDebugKotlin,1724,1698,1743,1692,2317,2253,ms
Task Path,:model:audio-contact:compileDebugKotlin,2454,2487,2412,2487,3044,3104,ms
Task Path,:model:contact-login:compileDebugKotlin,2257,2265,2104,2275,3105,2786,ms
Task Path,:model:file-contact:compileDebugKotlin,2389,2293,2353,2295,2945,2725,ms
Task Path,:repository:sync-contact:compileDebugKotlin,2267,2269,2253,2195,2832,2804,ms
Task Path,:model:forecast-contact:kspDebugKotlin,1696,1788,1618,1738,2217,2184,ms
Task Path,:model:list-contact:kspDebugKotlin,1774,1827,1722,1776,2185,2411,ms
Task Path,:model:gallery-contact:kspDebugKotlin,2193,2389,2129,2329,2740,3102,ms
Task Path,:model:map-contact:kspDebugKotlin,1796,1931,1724,1866,2219,2433,ms
Task Path,:model:forecast-contact:compileDebugKotlin,2165,2284,2127,2385,2704,2701,ms
Task Path,:model:list-contact:compileDebugKotlin,2130,2361,2133,2419,2612,2753,ms
Task Path,:model:map-contact:compileDebugKotlin,2021,2096,1944,2126,2523,2530,ms
Task Path,:model:gallery-contact:compileDebugKotlin,2152,2237,2126,2161,2612,2802,ms
Task Path,:model:media-contact:kspDebugKotlin,1658,1824,1594,1785,2198,2276,ms
Task Path,:model:news-contact:kspDebugKotlin,1977,2023,1793,1918,2691,2628,ms
Task Path,:model:note-contact:kspDebugKotlin,1782,1725,1727,1704,2333,2121,ms
Task Path,:model:photo-contact:kspDebugKotlin,1583,1568,1516,1592,1989,1978,ms
Task Path,:model:media-contact:compileDebugKotlin,1935,1980,1859,1916,2426,2654,ms
Task Path,:model:photo-contact:compileDebugKotlin,2082,2228,2038,2221,2525,2810,ms
Task Path,:model:news-contact:compileDebugKotlin,2103,1990,2134,1914,2542,2606,ms
Task Path,:model:note-contact:compileDebugKotlin,2111,2155,2067,2068,2588,2675,ms
Task Path,:model:playlist-contact:kspDebugKotlin,1537,1541,1495,1555,2083,1929,ms
Task Path,:model:podcast-contact:kspDebugKotlin,1737,1760,1749,1600,2315,2258,ms
Task Path,:model:playlist-contact:compileDebugKotlin,1965,2136,1975,2181,2501,2572,ms
Task Path,:model:push-login:kspDebugKotlin,1542,1688,1575,1650,1979,2158,ms
Task Path,:model:timer-contact:kspDebugKotlin,1612,1711,1619,1684,2054,2097,ms
Task Path,:model:podcast-contact:compileDebugKotlin,2041,2211,2063,2186,2286,2698,ms
Task Path,:model:todo-contact:kspDebugKotlin,2055,2259,2051,2266,2601,2903,ms
Task Path,:model:push-login:compileDebugKotlin,1919,2078,1919,2027,2289,2860,ms
Task Path,:model:timer-contact:compileDebugKotlin,1865,2031,1831,1880,2354,2808,ms
Task Path,:model:todo-contact:compileDebugKotlin,1949,2028,1873,2094,2633,2545,ms
Task Path,:model:video-contact:kspDebugKotlin,1562,1558,1503,1592,2159,2015,ms
Task Path,:model:weather-contact:kspDebugKotlin,1634,1637,1589,1586,2176,2350,ms
Task Path,:model:video-contact:compileDebugKotlin,2049,2081,2021,2129,2526,2867,ms
Task Path,:model:weather-contact:compileDebugKotlin,2034,1983,1976,1918,2500,2402,ms
Task Path,:app:app:kspDebugKotlin,2896,3277,2846,3273,3559,4265,ms
Task Path,:app:app:mergeDebugResources,4692,5130,4739,5143,5637,6144,ms
Task Path,:app:app:compileDebugKotlin,3188,3178,3253,3136,3773,3923,ms
Task Path,:app:app:hiltJavaCompileDebug,3749,4010,3520,3483,6493,7074,ms
Task Path,:app:app:processDebugResources,2020,2041,1921,2028,2605,2553,ms
Task Path,:app:app:mergeDebugJavaResource,2216,2263,2227,2216,2641,2863,ms
Task Path,:app:app:dexBuilderDebug,1514,1641,1586,1661,1932,2013,ms
Task Path,:app:app:mergeExtDexDebug,13753,14192,13782,14384,15932,15604,ms
Task Path,:app:app:mergeLibDexDebug,1114,1251,1086,1212,1430,1727,ms
All processes cpu,Max,100.0,100.0,100.0,100.0,100,100,%
All processes memory,Max,8.45,8.83,8.44,8.78,8.96,9.38,Gb
Build process cpu,Max,95.56666666666666,95.2,96.0,95.0,96,96,%
Build processes memory,Max,4.1,4.17,3.96,4.08,4.65,4.65,Gb
Build child processes cpu,Max,92.5,93.13333333333334,93.0,93.0,95,95,%
Build child processes memory,Max,3.29,3.6,3.29,3.6,3.52,3.79,Gb
