Category,Metric,varianta_main Mean,variantb_agp_8_10_1 Mean,varianta_main P50,variantb_agp_8_10_1 P50,varianta_main P90,variantb_agp_8_10_1 P90,Unit
Build,Build time,515286,516571,511657,512299,537893,540428,ms
Build,Configuration time,42938,43003,42794,42752,45146,45217,ms
Gradle process state,Gradle-Process-capacity,4.0,4.0,4.0,4.0,4.0,4.0,
Gradle process state,Gradle-Process-gcTime,0.38,0.39,0.38,0.4,0.4,0.41,
Gradle process state,Gradle-Process-max,4.0,4.0,4.0,4.0,4.0,4.0,
Gradle process state,Gradle-Process-uptime,8.56,8.58,8.5,8.51,8.94,8.97,
Gradle process state,Gradle-Process-usage,1.53,1.42,1.31,1.26,2.05,1.84,
Kotlin process state,Kotlin-Process-capacity,4.0,4.0,4.0,4.0,4.0,4.0,
Kotlin process state,Kotlin-Process-gcTime,0.12,0.12,0.11,0.12,0.13,0.14,
Kotlin process state,Kotlin-Process-max,4.0,4.0,4.0,4.0,4.0,4.0,
Kotlin process state,Kotlin-Process-uptime,7.78,7.8,7.71,7.75,8.14,8.14,
Kotlin process state,Kotlin-Process-usage,1.37,1.32,1.34,1.28,2.43,2.19,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,41,41,39,39,54,55,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,17,19,9,9,46,50,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,4271,4345,3117,3194,10682,10949,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,736,750,496,527,1281,1307,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,1,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,48,46,34,34,96,95,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,33,31,12,13,27,28,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,14,14,2,3,8,10,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,21,27,7,7,15,16,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,6,6,5,5,9,10,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,13,14,12,13,23,25,ms
Task Type,com.android.build.gradle.tasks.MergeResources,630,735,266,277,1571,1950,ms
Task Type,com.android.build.gradle.internal.tasks.MergeArtProfileTask,803,756,34,35,2696,2299,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,70,69,12,13,48,51,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,27,33,21,23,48,48,ms
Task Type,com.android.build.gradle.internal.tasks.ExpandArtProfileWildcardsTask,1560,1558,2031,2001,3272,3315,ms
