Category,Metric,varianta_2.2.0 Mean,variantb_2.2.20-Beta2 Mean,varianta_2.2.0 P50,variantb_2.2.20-Beta2 P50,varianta_2.2.0 P90,variantb_2.2.20-Beta2 P90,Unit
Build,Build time,744363,4781554,745078,4748272,765304,4976704,ms
Build,Configuration time,69120,70830,68581,70424,72702,76690,ms
Gradle process state,Gradle-Process-capacity,4.69,4.56,4.68,4.54,4.85,4.69,
Gradle process state,Gradle-Process-gcTime,0.29,0.56,0.29,0.56,0.29,0.59,
Gradle process state,Gradle-Process-max,5.0,5.0,5.0,5.0,5.0,5.0,
Gradle process state,Gradle-Process-uptime,12.38,79.67,12.4,79.11,12.73,82.92,
Gradle process state,Gradle-Process-usage,3.55,3.48,3.54,3.54,4.31,4.1,
Kotlin process state,Kotlin-Process-capacity,3.06,0.47,3.03,0.47,3.51,0.47,
Kotlin process state,Kotlin-Process-gcTime,0.77,0.01,0.77,0.01,0.81,0.01,
Kotlin process state,Kotlin-Process-max,5.0,5.0,5.0,5.0,5.0,5.0,
Kotlin process state,Kotlin-Process-uptime,12.19,79.47,12.21,78.91,12.53,82.72,
Kotlin process state,Kotlin-Process-usage,1.22,0.06,1.05,0.06,2.04,0.06,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,0,0,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,36,37,32,34,48,60,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,36,34,35,33,50,43,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2171,29446,1871,29509,3131,33413,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,466,813,373,736,629,1028,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,42,41,43,41,47,47,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,2,2,2,3,3,4,ms
