Category,Metric,varianta_kotlin_2.1.21 Mean,variantb_k2_kotlin_2.1.21 Mean,varianta_kotlin_2.1.21 P50,variantb_k2_kotlin_2.1.21 P50,varianta_kotlin_2.1.21 P90,variantb_k2_kotlin_2.1.21 P90,Unit
Build,Build time,569857,617338,563940,611293,585511,633799,ms
Build,Configuration time,59321,58671,58339,58439,65559,63499,ms
Gradle process state,Gradle-Process-gcTime,0.23,0.55,0.23,0.55,0.24,0.59,
Kotlin process state,Kotlin-Process-gcTime,0.48,0.27,0.49,0.28,0.52,0.3,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2496,2772,2087,2190,3578,4137,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2030,2123,1961,2071,2457,2405,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,1813,1609,1742,1552,2301,2119,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,3932,3733,2978,2920,8791,8239,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1389,1311,1400,1277,1683,1573,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,1548,1628,1186,1358,2711,2739,ms
Task Path,:build-logic:convention:compileKotlin,6729,6766,6362,6346,8800,8892,ms
Task Path,:layer_0:module_0_1:parseDebugLocalResources,1237,1380,1028,1046,2250,2706,ms
Task Path,:layer_0:module_0_1:kspDebugKotlin,10220,14614,10131,14410,10822,15067,ms
Task Path,:layer_0:module_0_12:kspDebugKotlin,7919,13206,7850,12952,8362,13598,ms
Task Path,:layer_0:module_0_11:kspDebugKotlin,8334,13578,8245,13301,8824,13995,ms
Task Path,:layer_0:module_0_10:kspDebugKotlin,9149,14088,9034,13926,9687,14506,ms
Task Path,:layer_0:module_0_12:compileDebugKotlin,10867,13509,10775,13413,11371,14284,ms
Task Path,:layer_0:module_0_11:compileDebugKotlin,10942,13716,10883,13472,11360,14755,ms
Task Path,:layer_0:module_0_1:compileDebugKotlin,10998,14386,10932,14303,11463,15073,ms
Task Path,:layer_0:module_0_10:compileDebugKotlin,10957,13870,10899,13805,11452,14530,ms
Task Path,:layer_0:module_0_1:compileDebugJavaWithJavac,1395,1427,1356,1406,1545,1587,ms
Task Path,:layer_0:module_0_13:kspDebugKotlin,4471,6599,4427,6575,5122,7218,ms
Task Path,:layer_0:module_0_14:kspDebugKotlin,4367,6548,4315,6556,4914,7205,ms
Task Path,:layer_0:module_0_16:kspDebugKotlin,4137,7050,4077,7015,4566,7700,ms
Task Path,:layer_0:module_0_15:kspDebugKotlin,5007,8040,4982,7990,5475,8639,ms
Task Path,:layer_0:module_0_14:compileDebugKotlin,5899,7242,5893,7279,6217,7876,ms
Task Path,:layer_0:module_0_13:compileDebugKotlin,6047,7560,6006,7548,6454,8264,ms
Task Path,:layer_0:module_0_16:compileDebugKotlin,5306,6196,5286,6158,5634,6726,ms
Task Path,:layer_0:module_0_15:compileDebugKotlin,5228,5940,5181,5945,5578,6381,ms
Task Path,:layer_0:module_0_17:kspDebugKotlin,3691,5051,3616,4904,4113,5720,ms
Task Path,:layer_0:module_0_18:kspDebugKotlin,3774,5112,3733,5022,4199,5890,ms
Task Path,:layer_0:module_0_19:kspDebugKotlin,3874,5325,3786,5213,4432,6090,ms
Task Path,:layer_0:module_0_2:kspDebugKotlin,3894,5383,3805,5252,4337,6363,ms
Task Path,:layer_0:module_0_17:compileDebugKotlin,5191,5645,5125,5552,5696,6368,ms
Task Path,:layer_0:module_0_18:compileDebugKotlin,4856,5196,4823,5108,5455,5980,ms
Task Path,:layer_0:module_0_19:compileDebugKotlin,4821,5152,4782,5182,5221,5840,ms
Task Path,:layer_0:module_0_2:compileDebugKotlin,4714,4937,4636,4858,5173,5684,ms
Task Path,:layer_0:module_0_21:kspDebugKotlin,3379,4693,3300,4641,3753,5281,ms
Task Path,:layer_0:module_0_22:kspDebugKotlin,3323,4846,3242,4937,3798,5410,ms
Task Path,:layer_0:module_0_20:kspDebugKotlin,4013,5816,3960,5818,4463,6553,ms
Task Path,:layer_0:module_0_23:kspDebugKotlin,3301,4894,3216,4902,3747,5705,ms
Task Path,:layer_0:module_0_21:compileDebugKotlin,3947,4685,3914,4615,4306,5313,ms
Task Path,:layer_0:module_0_20:compileDebugKotlin,3802,4255,3755,4217,4257,4767,ms
Task Path,:layer_0:module_0_22:compileDebugKotlin,3976,4694,3991,4716,4326,5240,ms
Task Path,:layer_0:module_0_23:compileDebugKotlin,3860,4460,3856,4374,4261,4968,ms
Task Path,:layer_0:module_0_24:kspDebugKotlin,3117,4322,3084,4218,3514,4962,ms
Task Path,:layer_0:module_0_26:kspDebugKotlin,3245,4402,3164,4317,3631,4984,ms
Task Path,:layer_0:module_0_25:kspDebugKotlin,3770,5291,3759,5279,4251,6031,ms
Task Path,:layer_0:module_0_27:kspDebugKotlin,3432,4527,3401,4475,3798,5430,ms
Task Path,:layer_0:module_0_24:compileDebugKotlin,3832,4569,3869,4491,4232,5135,ms
Task Path,:layer_0:module_0_26:compileDebugKotlin,3696,4507,3654,4434,4107,5149,ms
Task Path,:layer_0:module_0_27:compileDebugKotlin,3342,4196,3317,4091,3709,4942,ms
Task Path,:layer_0:module_0_25:compileDebugKotlin,3638,4238,3620,4166,4010,4818,ms
Task Path,:layer_0:module_0_28:kspDebugKotlin,3281,3999,3292,3937,3823,4539,ms
Task Path,:layer_0:module_0_29:kspDebugKotlin,3281,4080,3301,4059,3800,4567,ms
Task Path,:layer_0:module_0_3:kspDebugKotlin,3311,4133,3296,4051,3738,4776,ms
Task Path,:layer_0:module_0_30:kspDebugKotlin,4052,5391,4074,5307,4541,6067,ms
Task Path,:layer_0:module_0_28:compileDebugKotlin,3344,4276,3319,4219,3760,4825,ms
Task Path,:layer_0:module_0_3:compileDebugKotlin,3088,4111,3036,4103,3405,4641,ms
Task Path,:layer_0:module_0_29:compileDebugKotlin,3316,4341,3299,4312,3633,4929,ms
Task Path,:layer_0:module_0_30:compileDebugKotlin,2846,3466,2846,3387,3103,4063,ms
