Category,Metric,varianta_baseline Mean,variantb_kotlin-2.4.20 Mean,varianta_baseline P50,variantb_kotlin-2.4.20 P50,varianta_baseline P90,variantb_kotlin-2.4.20 P90,Unit
Build,Build time,250604,264277,259877,273209,276753,300890,ms
Build,Configuration time,42313,42865,41974,42929,48135,49492,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,4,5,4,4,6,8,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,32,34,28,29,54,54,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,55,52,52,48,75,92,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3309,3632,2917,2983,4912,5213,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,608,647,422,458,734,814,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,44,50,45,46,61,75,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,5,5,5,5,11,10,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,12,13,10,11,19,21,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessNavigationXmlTask,38,38,15,16,27,29,ms
Task Type,com.android.build.gradle.tasks.MergeResources,101,103,33,36,62,64,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,11,13,10,10,18,19,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,93,91,28,29,49,53,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,26,27,23,24,40,44,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,2474,2567,2175,2273,3416,3581,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,99,109,84,93,158,176,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,18,20,16,18,29,31,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,12,12,7,8,14,16,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,15,17,15,15,20,27,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,18,17,16,15,31,27,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,9,10,7,9,18,22,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesDir,46,50,42,47,69,73,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,318,349,297,312,536,545,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsGeneratorTask,5616,5604,5707,5705,6807,7119,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,42,45,12,12,22,22,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,6939,7339,1274,1500,20603,21557,ms
Task Type,dagger.hilt.android.plugin.task.HiltCollectClassesTask,0,0,0,0,0,1,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,21,24,6,7,14,16,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,818,946,833,973,1271,1458,ms
