Category,Metric,varianta_9.4.1 Mean,variantb_9.5.0 Mean,varianta_9.4.1 P50,variantb_9.5.0 P50,varianta_9.4.1 P90,variantb_9.5.0 P90,Unit
Build,Build time,575288,586719,577342,578024,619129,637590,ms
Build,Configuration time,61569,63573,59097,59848,75886,83721,ms
Gradle process state,Gradle-Process-capacity,4.03,3.9,3.93,3.85,4.5,4.26,
Gradle process state,Gradle-Process-gcTime,0.31,0.32,0.32,0.32,0.33,0.34,
Gradle process state,Gradle-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Gradle process state,Gradle-Process-uptime,9.57,9.76,9.6,9.61,10.3,10.6,
Gradle process state,Gradle-Process-usage,2.77,2.99,2.63,2.96,3.47,3.51,
Kotlin process state,Kotlin-Process-capacity,3.29,3.25,3.33,3.26,3.63,3.52,
Kotlin process state,Kotlin-Process-gcTime,0.3,0.3,0.3,0.3,0.33,0.33,
Kotlin process state,Kotlin-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Kotlin process state,Kotlin-Process-uptime,9.39,9.57,9.41,9.42,10.11,10.41,
Kotlin process state,Kotlin-Process-usage,1.29,1.25,1.34,1.27,1.96,1.71,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,6,7,7,7,9,13,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,33,36,33,31,42,57,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,42,53,38,55,66,82,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2618,2672,2203,2258,4028,4098,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,333,339,282,287,518,529,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,42,46,43,46,48,56,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,3,3,3,3,4,4,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,8,8,7,8,15,15,ms
Task Type,com.android.build.gradle.tasks.MergeResources,41,41,23,24,44,45,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessNavigationXmlTask,6,6,4,4,6,7,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,30,32,20,21,40,41,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,19,19,16,17,32,33,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,11,11,10,10,19,19,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,1759,1800,1506,1537,2704,2746,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,134,134,122,123,209,206,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,16,17,15,15,27,27,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,7,7,3,3,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,10,9,9,9,18,16,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,9,9,8,10,17,16,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,5,5,5,4,9,8,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,3,4,3,4,5,6,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,22,21,17,17,26,26,ms
Task Type,com.android.build.gradle.tasks.CompileNavigationXmlTask,87,66,75,64,125,108,ms
Task Type,dagger.hilt.android.plugin.task.HiltSyncTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,12,15,13,13,18,27,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,2,2,2,2,4,4,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,11,13,9,9,14,15,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,401,443,391,411,521,629,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,248,242,243,237,362,303,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,141,153,135,140,156,261,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,27,36,27,30,37,74,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,7,7,6,7,10,11,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,6,6,5,6,7,8,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1700,1720,1699,1671,1969,2038,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,137,117,128,107,211,164,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesDir,68,66,63,62,104,101,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,12,13,5,5,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1169,1074,1115,1035,1648,1307,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsMergeTask,371,332,298,304,695,503,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,5600,5677,4335,4381,12364,12805,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,7,6,2,2,4,4,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,949,896,887,863,1344,1151,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,4,4,4,4,7,8,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,26,23,26,23,31,30,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,3,3,1,1,1,1,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,9,9,8,8,11,11,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,1,1,2,2,2,3,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,1,2,2,2,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,21,20,20,20,28,28,ms
Task Type,com.android.build.gradle.tasks.BundleAar,8,7,7,7,10,10,ms
Task Type,org.gradle.api.Task,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,822,828,815,805,944,995,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,2,2,2,2,3,3,ms
Task Path,:build-logic:convention:compileKotlin,7586,7769,7550,7677,8185,8292,ms
Task Path,:app:app:parseDebugLocalResources,2158,2448,2182,2555,3332,4040,ms
Task Path,:core:account:kspDebugKotlin,7464,7724,7585,7670,8172,8413,ms
Task Path,:core:analytics:kspDebugKotlin,6770,6998,6832,6966,7281,7536,ms
Task Path,:core:article:kspDebugKotlin,6584,6793,6641,6722,7106,7327,ms
Task Path,:core:alarm:kspDebugKotlin,7053,7294,7127,7266,7705,7855,ms
Task Path,:core:account:compileDebugKotlin,10540,10725,10611,10601,11656,11622,ms
Task Path,:core:alarm:compileDebugKotlin,10529,10657,10610,10593,11473,11650,ms
Task Path,:core:analytics:compileDebugKotlin,10463,10654,10533,10600,11735,11524,ms
Task Path,:core:article:compileDebugKotlin,10310,10527,10413,10438,11296,11419,ms
Task Path,:core:account:compileDebugJavaWithJavac,1562,1239,1846,1685,2192,2074,ms
Task Path,:core:audio:kspDebugKotlin,2752,2895,2640,2871,3264,3501,ms
Task Path,:core:calendar:kspDebugKotlin,4022,4125,4124,4111,4635,4735,ms
Task Path,:core:cart:kspDebugKotlin,4004,4170,4009,4243,4671,4792,ms
Task Path,:core:cart-contact:kspDebugKotlin,5729,5814,5801,5787,6399,6766,ms
Task Path,:core:audio:compileDebugKotlin,7100,7115,7074,7093,7959,7585,ms
Task Path,:core:calendar:compileDebugKotlin,6109,6063,6139,6036,7054,6847,ms
Task Path,:core:cart:compileDebugKotlin,5832,5796,5786,5744,6793,6442,ms
Task Path,:core:checkout:kspDebugKotlin,4780,4747,4789,4694,5704,5680,ms
Task Path,:core:checkout-contact:kspDebugKotlin,3563,3627,3534,3533,4256,4262,ms
Task Path,:core:cart-contact:compileDebugKotlin,8385,8261,8551,8348,9579,9343,ms
Task Path,:core:checkout:compileDebugKotlin,4903,4980,4861,5001,5873,5742,ms
Task Path,:core:comment:kspDebugKotlin,4449,4650,4441,4597,4926,5378,ms
Task Path,:core:comment-contact:kspDebugKotlin,3106,3081,3046,3001,3801,3708,ms
