Category,Metric,varianta_baseline Mean,variantb_gradle-9.5.1 Mean,varianta_baseline P50,variantb_gradle-9.5.1 P50,varianta_baseline P90,variantb_gradle-9.5.1 P90,Unit
Build,Build time,266195,256661,265840,262068,276465,291196,ms
Build,Configuration time,38860,37531,39815,38442,44039,45085,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,4,3,4,4,6,5,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,34,31,32,29,48,48,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,52,43,50,38,98,58,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3251,3136,2725,2656,5239,5166,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,412,394,340,332,619,605,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,48,41,47,42,77,46,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,3,3,3,4,5,8,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,12,11,11,10,20,19,ms
Task Type,com.android.build.gradle.tasks.MergeResources,81,80,34,33,59,58,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessNavigationXmlTask,9,10,5,5,8,9,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,54,47,31,31,55,54,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,27,26,25,23,43,42,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,16,15,13,13,25,24,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,2521,2451,2221,2180,3629,3648,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,119,115,110,106,183,179,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,19,19,17,16,28,29,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,8,9,4,4,10,12,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,12,13,12,12,25,19,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,10,10,9,11,19,17,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,6,6,5,5,10,10,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,7,5,7,5,12,9,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,26,22,16,16,26,25,ms
Task Type,com.android.build.gradle.tasks.CompileNavigationXmlTask,57,72,63,62,88,197,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,24,14,19,16,60,18,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,4,4,3,3,9,9,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,30,28,20,19,33,32,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,304,327,301,339,392,405,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,262,236,259,253,430,327,ms
Task Type,dagger.hilt.android.plugin.task.HiltSyncTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,42,38,34,34,86,95,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,13,10,11,9,18,15,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,257,228,238,224,428,356,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,12,8,11,6,21,16,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesDir,54,53,51,49,74,75,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,155,193,171,156,193,335,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2239,1897,2252,1834,3162,2229,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,27,28,5,5,11,10,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1275,1383,1310,1390,2010,1957,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsMergeTask,346,472,260,322,926,1208,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,4936,4888,1055,1020,14001,13835,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,2,2,1,1,2,3,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,7,6,2,2,5,6,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,925,899,901,853,1206,1247,ms
