Category,Metric,varianta_baseline Mean,variantb_gradle-9.7.0 Mean,varianta_baseline P50,variantb_gradle-9.7.0 P50,varianta_baseline P90,variantb_gradle-9.7.0 P90,Unit
Build,Build time,289794,284185,292651,291630,304208,312299,ms
Build,Configuration time,57596,57393,60209,61654,67478,71688,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,4,3,4,4,6,5,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,35,32,32,30,54,42,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,46,50,44,48,61,78,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3329,3241,2860,2832,5159,5059,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,381,366,303,289,553,541,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,42,44,42,43,47,58,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,3,4,4,4,6,8,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,10,10,9,9,17,16,ms
Task Type,com.android.build.gradle.tasks.MergeResources,69,69,28,27,49,50,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessNavigationXmlTask,10,10,5,5,10,9,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,72,73,27,27,47,47,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,23,23,21,20,36,36,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,13,13,12,11,22,21,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,2382,2318,2095,2045,3175,3212,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,101,97,91,88,162,155,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,16,16,15,14,26,26,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,8,7,5,5,12,11,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,16,14,16,15,26,23,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsGeneratorTask,3223,3281,3262,3271,3779,4014,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,9,11,8,9,16,20,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,9,22,9,13,19,54,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,169,162,161,152,253,231,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesDir,53,50,48,47,74,72,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,33,34,7,7,13,12,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,6848,6551,1333,1161,19319,19370,ms
Task Type,dagger.hilt.android.plugin.task.HiltCollectClassesTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,6,7,3,4,8,8,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,355,424,299,282,700,969,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,6,5,5,5,10,8,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,32,32,20,19,32,30,ms
Task Type,com.android.build.gradle.tasks.CompileNavigationXmlTask,29,33,26,33,46,50,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,19,16,19,15,29,27,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,3,3,3,3,7,7,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,29,31,15,14,27,27,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,11,10,10,9,17,15,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,244,219,252,198,321,321,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,219,197,217,192,306,271,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,44,32,35,31,93,51,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,2,2,1,1,3,3,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,7,6,3,3,7,6,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1983,1865,1960,1864,2446,2341,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,1147,1170,1105,1117,1405,1630,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,6,7,6,8,11,11,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,26,26,24,25,40,37,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,12,13,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1657,1696,1725,1827,2021,2368,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,13,12,11,11,18,16,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,2,2,2,2,5,5,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,2,2,2,2,5,4,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,1,1,2,2,3,2,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,3,3,2,2,5,5,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,19,19,18,18,27,26,ms
Task Type,com.android.build.gradle.tasks.BundleAar,8,8,8,8,12,12,ms
Task Type,org.gradle.api.Task,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,796,832,782,821,942,1014,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,3,3,3,3,6,5,ms
Task Path,:build-logic:convention:compileKotlin,8631,8351,8639,8559,8983,8892,ms
Task Path,:app:app:parseDebugLocalResources,4266,4464,4334,4777,5519,6934,ms
Task Path,:core:cart:kspDebugKotlin,8505,8110,8422,8166,9110,8865,ms
Task Path,:core:contact:kspDebugKotlin,7499,7060,7536,7236,8033,7771,ms
Task Path,:core:comment:kspDebugKotlin,7948,7626,7940,7809,8424,8369,ms
Task Path,:core:checkout:kspDebugKotlin,8294,7896,8239,7996,8763,8731,ms
Task Path,:core:contact:compileDebugKotlin,8558,8575,8691,8745,9204,9848,ms
Task Path,:core:cart:compileDebugKotlin,9051,8769,8880,8745,9915,9912,ms
Task Path,:core:checkout:compileDebugKotlin,8607,8401,8530,8481,9342,9388,ms
Task Path,:core:comment:compileDebugKotlin,8516,8321,8493,8432,9156,9333,ms
Task Path,:core:cart:compileDebugJavaWithJavac,1051,1036,344,370,2533,2310,ms
Task Path,:core:feed:kspDebugKotlin,2823,2808,2763,2732,3254,3711,ms
Task Path,:core:group:kspDebugKotlin,2857,2820,2871,2741,3451,3488,ms
Task Path,:core:identity:kspDebugKotlin,3072,3127,3001,3283,3829,3786,ms
Task Path,:core:location:kspDebugKotlin,2943,2941,2892,3127,3860,3713,ms
Task Path,:core:feed:compileDebugKotlin,5772,5524,5964,5514,6671,6235,ms
Task Path,:core:location:compileDebugKotlin,5444,5154,5390,5184,6254,5884,ms
Task Path,:core:identity:compileDebugKotlin,5572,5313,5515,5513,6362,5951,ms
Task Path,:core:group:compileDebugKotlin,5838,5596,5881,5732,6730,6257,ms
Task Path,:core:login:kspDebugKotlin,2225,2242,2157,2237,2608,2822,ms
Task Path,:core:message:kspDebugKotlin,2484,2420,2333,2341,3438,2963,ms
Task Path,:core:network:kspDebugKotlin,2519,2433,2344,2333,3330,3025,ms
Task Path,:core:notification:kspDebugKotlin,2719,2496,2672,2402,3353,3287,ms
Task Path,:core:network:compileDebugKotlin,4745,4729,4789,4800,5243,5474,ms
Task Path,:core:message:compileDebugKotlin,4669,4501,4725,4527,5260,5143,ms
Task Path,:core:login:compileDebugKotlin,4936,4678,5040,4604,5696,5616,ms
Task Path,:core:notification:compileDebugKotlin,4604,4616,4782,4674,5235,5216,ms
Task Path,:core:post:kspDebugKotlin,2205,2203,2201,2190,2571,2853,ms
Task Path,:core:profile:kspDebugKotlin,2543,2549,2428,2490,3158,3616,ms
Task Path,:core:push:kspDebugKotlin,2498,2502,2477,2448,3166,3215,ms
Task Path,:core:search:kspDebugKotlin,2823,2823,2799,2678,3463,3721,ms
Task Path,:core:post:compileDebugKotlin,4825,4580,4827,4574,5539,5753,ms
Task Path,:core:profile:compileDebugKotlin,4586,4384,4536,4485,5352,5130,ms
Task Path,:core:push:compileDebugKotlin,4539,4282,4581,4312,5178,5369,ms
Task Path,:core:search:compileDebugKotlin,4302,4028,4310,4022,5028,4811,ms
Task Path,:core:share:kspDebugKotlin,2222,2272,2062,2112,2703,2802,ms
Task Path,:core:setting:kspDebugKotlin,2895,2913,2760,2774,3416,3635,ms
Task Path,:core:user:kspDebugKotlin,2352,2339,2271,2246,3021,3085,ms
Task Path,:core:sync:kspDebugKotlin,3341,3311,3279,3256,4170,4323,ms
Task Path,:core:share:compileDebugKotlin,4656,4418,4516,4309,5345,5376,ms
Task Path,:core:user:compileDebugKotlin,4397,4200,4531,4092,5281,5205,ms
Task Path,:core:setting:compileDebugKotlin,4292,4145,4438,4196,5017,5374,ms
Task Path,:core:sync:compileDebugKotlin,4012,3905,3973,3871,4827,4706,ms
Task Path,:feature:document:kspDebugKotlin,2082,2027,1998,2071,2783,2524,ms
Task Path,:feature:file:kspDebugKotlin,2451,2527,2402,2509,3031,3053,ms
Task Path,:feature:event:kspDebugKotlin,3240,3303,3132,3272,3943,3968,ms
Task Path,:feature:list:kspDebugKotlin,2521,2540,2468,2458,3123,3087,ms
Task Path,:feature:document:compileDebugKotlin,3925,3792,3870,3772,4577,4730,ms
Task Path,:feature:event:compileDebugKotlin,3460,3345,3513,3323,3948,3975,ms
Task Path,:feature:file:compileDebugKotlin,3588,3480,3450,3381,4212,4378,ms
Task Path,:feature:list:compileDebugKotlin,3550,3564,3546,3443,4230,4465,ms
Task Path,:feature:session:kspDebugKotlin,2003,1926,1938,1925,2393,2365,ms
Task Path,:feature:status:kspDebugKotlin,2337,2194,2219,2070,3117,3025,ms
Task Path,:feature:task:kspDebugKotlin,2641,2441,2633,2399,3633,3050,ms
Task Path,:feature:account:kspDebugKotlin,2693,2491,2685,2525,3671,3124,ms
Task Path,:feature:session:compileDebugKotlin,3630,3575,3482,3601,4502,4466,ms
Task Path,:feature:status:compileDebugKotlin,3532,3495,3464,3382,4149,4514,ms
Task Path,:feature:task:compileDebugKotlin,3349,3357,3334,3242,4080,4433,ms
Task Path,:feature:account:compileDebugKotlin,3009,3060,2985,2875,3794,4339,ms
Task Path,:domain:article:kspDebugKotlin,2330,1978,2145,1960,3221,2532,ms
Task Path,:feature:alarm:kspDebugKotlin,2307,2118,2316,2104,2892,2960,ms
Task Path,:feature:analytics:kspDebugKotlin,2439,2252,2387,2259,3089,3079,ms
Task Path,:feature:calendar:kspDebugKotlin,2594,2359,2650,2279,3208,3183,ms
Task Path,:feature:alarm:compileDebugKotlin,3498,3199,3456,3188,4313,4025,ms
Task Path,:domain:article:compileDebugKotlin,3496,3451,3500,3394,4142,4225,ms
Task Path,:feature:calendar:compileDebugKotlin,3423,3298,3393,3245,4185,4007,ms
Task Path,:feature:analytics:compileDebugKotlin,3570,3316,3468,3252,4500,4076,ms
Task Path,:feature:map:kspDebugKotlin,2003,2075,1927,2020,2767,2640,ms
Task Path,:feature:forecast:kspDebugKotlin,2655,2832,2458,2765,3592,3634,ms
Task Path,:feature:log:kspDebugKotlin,2519,2675,2414,2518,3205,3443,ms
Task Path,:feature:metric:kspDebugKotlin,2103,2210,1973,2085,2657,2906,ms
Task Path,:feature:forecast:compileDebugKotlin,3194,3114,3148,3134,3965,3699,ms
Task Path,:feature:metric:compileDebugKotlin,3235,3008,3241,3069,3945,3600,ms
Task Path,:feature:map:compileDebugKotlin,3577,3353,3607,3340,4377,3989,ms
Task Path,:feature:log:compileDebugKotlin,3302,3109,3238,3073,4152,3665,ms
Task Path,:feature:todo:kspDebugKotlin,2226,1979,2021,1860,3282,2824,ms
Task Path,:feature:weather:kspDebugKotlin,1962,1943,1988,1855,2531,2651,ms
Task Path,:feature:timer:kspDebugKotlin,2134,2219,2091,2221,2606,2851,ms
Task Path,:feature:report:kspDebugKotlin,2281,2319,2329,2148,2619,3425,ms
Task Path,:feature:weather:compileDebugKotlin,2990,3147,2944,3018,3716,3885,ms
Task Path,:feature:todo:compileDebugKotlin,3180,3248,3202,3195,3902,4032,ms
Task Path,:feature:timer:compileDebugKotlin,3220,3171,3099,3186,4002,3650,ms
Task Path,:feature:report:compileDebugKotlin,2973,2932,2884,2854,3677,3866,ms
Task Path,:feature:note:kspDebugKotlin,2399,2336,2509,2206,2998,3073,ms
Task Path,:domain:audio:kspDebugKotlin,2018,2027,1997,2044,2501,2823,ms
Task Path,:domain:cart-contact:kspDebugKotlin,2957,2820,3010,2721,3409,3552,ms
Task Path,:domain:checkout-contact:kspDebugKotlin,2358,2298,2303,2318,2957,2835,ms
Task Path,:domain:comment-contact:kspDebugKotlin,2256,2276,2256,2212,2621,3037,ms
Task Path,:domain:cart-contact:compileDebugKotlin,2706,2859,2630,2875,3188,3520,ms
Task Path,:domain:audio:compileDebugKotlin,3162,3077,3085,3053,3879,3653,ms
Task Path,:domain:checkout-contact:compileDebugKotlin,2694,2824,2653,2788,3137,3413,ms
Task Path,:domain:comment-contact:compileDebugKotlin,2639,2699,2672,2664,3118,3337,ms
Task Path,:feature:note:compileDebugKotlin,3009,2920,2934,2802,3794,3410,ms
Task Path,:domain:gallery:kspDebugKotlin,1985,1812,1920,1733,2651,2555,ms
Task Path,:domain:playlist:kspDebugKotlin,1915,1883,1817,1917,2624,2539,ms
Task Path,:domain:podcast:kspDebugKotlin,2039,1893,1990,1864,2680,2548,ms
Task Path,:domain:contact-contact:kspDebugKotlin,1954,1947,1938,1984,2696,2617,ms
Task Path,:domain:identity-contact:kspDebugKotlin,2077,2035,1991,1906,2598,2792,ms
Task Path,:domain:feed-contact:kspDebugKotlin,2039,1931,2041,1960,2646,2513,ms
Task Path,:domain:gallery:compileDebugKotlin,3045,2913,3077,2869,3621,3606,ms
Task Path,:domain:contact-contact:compileDebugKotlin,2718,2578,2730,2519,3252,3403,ms
Task Path,:domain:feed-contact:compileDebugKotlin,2860,2724,2846,2749,3469,3348,ms
Task Path,:domain:identity-contact:compileDebugKotlin,2666,2483,2657,2534,3248,3161,ms
Task Path,:domain:login-contact:kspDebugKotlin,2060,1939,2025,1825,2737,2610,ms
Task Path,:domain:media:kspDebugKotlin,1702,1630,1730,1545,2089,2110,ms
Task Path,:domain:news:kspDebugKotlin,1791,1779,1756,1832,2151,2213,ms
Task Path,:domain:login-contact:compileDebugKotlin,2502,2475,2466,2501,2969,3202,ms
Task Path,:domain:photo:kspDebugKotlin,2710,2660,2735,2683,3177,3247,ms
Task Path,:domain:media:compileDebugKotlin,2918,2962,2757,2878,3702,3806,ms
Task Path,:domain:news:compileDebugKotlin,2963,2947,2956,2910,3579,3557,ms
Task Path,:domain:photo:compileDebugKotlin,2813,2665,2846,2733,3411,3210,ms
Task Path,:domain:playlist:compileDebugKotlin,3014,2789,2958,2768,3660,3322,ms
Task Path,:domain:podcast:compileDebugKotlin,2824,2733,2778,2731,3446,3240,ms
Task Path,:domain:post-contact:kspDebugKotlin,2855,2888,2817,2803,3365,3761,ms
Task Path,:domain:profile-contact:kspDebugKotlin,2074,2069,2107,2041,2663,2789,ms
Task Path,:domain:push-contact:kspDebugKotlin,2370,2581,2339,2659,2953,3313,ms
Task Path,:domain:user-contact:kspDebugKotlin,1798,1911,1766,1879,2362,2468,ms
Task Path,:domain:profile-contact:compileDebugKotlin,2491,2563,2445,2474,3010,3382,ms
Task Path,:domain:post-contact:compileDebugKotlin,2644,2611,2495,2582,3310,3199,ms
Task Path,:domain:push-contact:compileDebugKotlin,2540,2605,2498,2560,3151,3403,ms
Task Path,:domain:user-contact:compileDebugKotlin,2615,2595,2566,2561,3234,3257,ms
Task Path,:domain:video:kspDebugKotlin,1832,1888,1737,1836,2391,2515,ms
Task Path,:repository:alarm-contact:kspDebugKotlin,2435,2414,2386,2398,2960,3138,ms
Task Path,:repository:calendar-contact:kspDebugKotlin,1913,1780,2016,1673,2395,2527,ms
Task Path,:domain:video:compileDebugKotlin,2656,2460,2581,2443,3207,3234,ms
Task Path,:repository:location-contact:kspDebugKotlin,2020,1930,1986,1910,2425,2566,ms
Task Path,:repository:group-contact:kspDebugKotlin,1940,1768,2041,1637,2463,2464,ms
Task Path,:repository:alarm-contact:compileDebugKotlin,2652,2452,2539,2357,3494,3155,ms
Task Path,:repository:calendar-contact:compileDebugKotlin,2650,2722,2581,2685,3459,3574,ms
Task Path,:repository:location-contact:compileDebugKotlin,2699,2665,2714,2706,3396,3356,ms
Task Path,:repository:group-contact:compileDebugKotlin,2385,2511,2348,2481,3135,3171,ms
Task Path,:repository:message-contact:kspDebugKotlin,1804,1709,1732,1606,2425,2437,ms
Task Path,:repository:metric-contact:kspDebugKotlin,1604,1624,1568,1586,2293,2270,ms
Task Path,:repository:network-contact:kspDebugKotlin,1696,1671,1673,1606,2088,2046,ms
Task Path,:repository:notification-contact:kspDebugKotlin,1782,1778,1709,1732,2350,2242,ms
Task Path,:repository:message-contact:compileDebugKotlin,2432,2265,2454,2119,3209,3027,ms
Task Path,:repository:metric-contact:compileDebugKotlin,2494,2461,2535,2513,3072,3166,ms
Task Path,:repository:network-contact:compileDebugKotlin,2426,2259,2472,2224,2817,2786,ms
Task Path,:repository:notification-contact:compileDebugKotlin,2423,2245,2410,2271,3036,2942,ms
Task Path,:repository:report-contact:kspDebugKotlin,1696,1648,1720,1599,2085,2250,ms
Task Path,:repository:share-contact:kspDebugKotlin,2301,1988,2386,1961,3102,2517,ms
Task Path,:repository:sync-contact:kspDebugKotlin,1844,1610,1907,1715,2330,1945,ms
Task Path,:repository:report-contact:compileDebugKotlin,2472,2397,2498,2369,2964,3070,ms
Task Path,:repository:analytics-contact:kspDebugKotlin,1869,1856,1888,1853,2276,2370,ms
Task Path,:repository:sync-contact:compileDebugKotlin,2386,2427,2322,2441,2824,3098,ms
Task Path,:repository:share-contact:compileDebugKotlin,2362,2420,2357,2373,3039,2880,ms
Task Path,:repository:status-contact:kspDebugKotlin,1997,2163,2007,2108,2477,2747,ms
Task Path,:repository:analytics-contact:compileDebugKotlin,2245,2240,2168,2265,2699,2733,ms
Task Path,:model:article-contact:kspDebugKotlin,1435,1413,1455,1428,1982,1971,ms
Task Path,:repository:task-contact:kspDebugKotlin,1750,1562,1713,1547,2153,2034,ms
Task Path,:repository:status-contact:compileDebugKotlin,2068,2076,2090,2109,2706,2423,ms
Task Path,:repository:log-contact:kspDebugKotlin,1872,1768,1850,1717,2276,2389,ms
Task Path,:model:article-contact:compileDebugKotlin,2494,2431,2469,2417,2964,3153,ms
Task Path,:repository:setting-contact:kspDebugKotlin,1921,1831,1882,1702,2368,2574,ms
Task Path,:repository:task-contact:compileDebugKotlin,2454,2425,2503,2463,2989,3111,ms
