Category,Metric,varianta_baseline Mean,variantb_agp-9.3.1 Mean,varianta_baseline P50,variantb_agp-9.3.1 P50,varianta_baseline P90,variantb_agp-9.3.1 P90,Unit
Build,Build time,263568,265142,272791,272306,287282,289099,ms
Build,Configuration time,39733,40843,40305,40783,46166,46888,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,3,4,4,4,5,6,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,34,35,32,33,50,53,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,48,53,45,48,66,87,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3240,3253,2822,2796,5065,5158,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,367,371,294,294,534,548,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,41,44,43,44,48,53,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,4,5,4,5,9,10,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,10,10,9,9,17,17,ms
Task Type,com.android.build.gradle.tasks.MergeResources,68,67,27,28,47,49,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessNavigationXmlTask,11,11,6,6,12,11,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,53,49,27,28,47,48,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,13,13,12,12,21,22,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,23,23,20,21,36,37,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,2299,2356,2021,2064,3193,3334,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,100,97,90,87,163,158,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,16,15,14,14,25,26,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,6,6,5,4,10,10,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,15,15,13,15,28,29,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsGeneratorTask,3046,2891,3170,2858,3795,3604,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,11,11,9,9,19,20,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,170,181,155,172,256,262,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,9,10,9,11,17,19,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesDir,50,49,47,45,72,71,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,34,35,7,7,12,12,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,6684,6716,1224,1279,19469,19705,ms
Task Type,dagger.hilt.android.plugin.task.HiltCollectClassesTask,0,0,0,0,1,0,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,7,8,3,4,8,9,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,472,388,363,345,893,744,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,5,5,5,5,9,9,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,26,26,20,20,31,31,ms
Task Type,com.android.build.gradle.tasks.CompileNavigationXmlTask,28,33,28,29,37,50,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,17,18,17,17,29,32,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,3,3,3,3,7,7,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,30,30,15,15,28,27,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,238,217,246,214,323,288,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,206,190,206,172,297,297,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,45,30,34,27,105,54,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,11,10,10,9,16,15,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,2,2,1,1,3,3,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,5,5,3,3,7,6,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1784,1790,1860,1767,2126,2239,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,1089,1174,1098,1163,1348,1468,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,6,6,6,5,12,10,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,27,29,23,24,44,54,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,7,6,1,1,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1102,1028,982,989,1682,1284,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,12,12,11,11,18,18,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,2,3,2,2,5,5,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,2,2,2,2,5,4,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,1,1,2,2,3,3,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,3,3,2,2,5,5,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,19,19,18,18,26,26,ms
Task Type,com.android.build.gradle.tasks.BundleAar,8,8,7,7,12,12,ms
Task Type,org.gradle.api.Task,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,834,857,827,833,1054,1051,ms
