Category,Metric,varianta_main_4_workers Mean,variantb_kotlin_compiler_3_workers Mean,varianta_main_4_workers P50,variantb_kotlin_compiler_3_workers P50,varianta_main_4_workers P90,variantb_kotlin_compiler_3_workers P90,Unit
Task Path,:core:analytics:kspProdDebugKotlin,2473,2560,2433,2446,2906,3107,ms
Task Path,:ui-test-hilt-manifest:kspProdDebugKotlin,2614,2792,2583,2720,3034,3303,ms
Task Path,:core:analytics:compileProdDebugKotlin,1196,1400,1173,1302,1481,2024,ms
Task Path,:ui-test-hilt-manifest:compileProdDebugKotlin,1235,1486,1206,1360,1447,2233,ms
Task Path,:core:datastore-proto:compileProdDebugKotlin,1658,1892,1631,1810,1971,2499,ms
Task Path,:core:network:kspProdDebugKotlin,2644,2858,2650,2861,3133,3671,ms
Task Path,:core:notifications:kspProdDebugKotlin,2551,2478,2512,2442,2965,2791,ms
Task Path,:core:datastore:kspProdDebugKotlin,2196,2701,2113,2430,2598,3683,ms
Task Path,:app:hiltJavaCompileDemoDebug,5475,7037,5377,6917,6474,8398,ms
Task Path,:core:datastore:compileProdDebugKotlin,1590,1743,1602,1696,1895,2147,ms
Task Path,:core:network:compileProdDebugKotlin,2140,2382,2115,2261,2566,3015,ms
Task Path,:app:transformDemoDebugClassesWithAsm,1680,3409,1249,3715,3751,4894,ms
Task Path,:app:jacocoDemoDebug,1384,1407,1126,1199,2753,2293,ms
Task Path,:app:mergeDemoDebugJavaResource,4739,5593,4551,5449,5357,7052,ms
Task Path,:core:data:kspProdDebugKotlin,3446,3199,3345,3125,4241,3651,ms
Task Path,:app:dexBuilderDemoDebug,2677,2793,2540,2745,3422,3688,ms
Task Path,:core:data:compileProdDebugKotlin,3422,3486,3214,3413,4485,4546,ms
Task Path,:app:packageDemoDebug,4319,3124,3973,2971,5951,3584,ms
Task Path,:core:designsystem:compileProdDebugKotlin,8816,9347,8801,9157,9931,10947,ms
Task Path,:core:ui:compileProdDebugKotlin,3624,3794,3521,3715,4353,4394,ms
Task Path,:sync:work:kspProdDebugKotlin,3934,3933,3856,3872,4568,4748,ms
Task Path,:feature:bookmarks:kspProdDebugKotlin,2884,2870,2553,2618,4124,3694,ms
Task Path,:feature:foryou:kspProdDebugKotlin,3391,2901,3045,2796,4738,3445,ms
Task Path,:feature:interests:kspProdDebugKotlin,3769,2752,3914,2652,4958,3285,ms
Task Path,:feature:bookmarks:compileProdDebugKotlin,3090,2640,2825,2538,4389,3194,ms
Task Path,:feature:interests:compileProdDebugKotlin,2995,2438,2735,2361,4132,2824,ms
Task Path,:feature:foryou:compileProdDebugKotlin,4306,3834,4129,3681,5381,4750,ms
Task Path,:feature:search:kspProdDebugKotlin,2979,2694,2943,2656,3621,3174,ms
Task Path,:feature:settings:kspProdDebugKotlin,2506,2571,2509,2567,2913,3033,ms
Task Path,:feature:topic:kspProdDebugKotlin,2720,2836,2653,2730,3307,3635,ms
Task Path,:feature:settings:compileProdDebugKotlin,2313,2616,2262,2504,2649,3343,ms
Task Path,:feature:search:compileProdDebugKotlin,3561,3972,3593,3863,4060,4895,ms
Task Path,:feature:topic:compileProdDebugKotlin,2899,3129,2901,3055,3213,3783,ms
Task Path,:sync:work:compileProdDebugKotlin,1562,1626,1544,1537,1801,2184,ms
Task Path,:app:mergeExtDexProdDebug,24548,25647,24253,25306,27796,27926,ms
Task Path,:app:kspProdDebugKotlin,4430,4680,4348,4513,5126,5623,ms
Task Path,:app-nia-catalog:mergeDebugResources,2210,1988,2203,1936,2582,2432,ms
Task Path,:app:compileProdDebugKotlin,4783,4833,4696,4642,5495,6441,ms
Task Path,:app:mergeLibDexProdDebug,1251,1229,1163,1073,1786,1723,ms
Task Path,:app-nia-catalog:compileDebugKotlin,3337,3508,3295,3391,4015,4664,ms
Task Path,:app-nia-catalog:mergeDebugJavaResource,1698,1862,1612,1771,2320,2465,ms
Task Path,:app:hiltJavaCompileProdDebug,5381,5271,5377,5146,6249,6535,ms
Task Path,:app:dexBuilderProdDebug,1769,1587,1769,1541,2398,1947,ms
Task Path,:app:mergeProdDebugJavaResource,3112,2370,3149,2258,4349,3141,ms
Task Path,:core:data-test:kspDemoDebugKotlin,2594,2786,2562,2708,2984,3443,ms
Task Path,:core:data-test:compileDemoDebugKotlin,1200,1118,1114,1093,1749,1392,ms
Task Path,:core:data-test:kspProdDebugKotlin,2467,2914,2417,2756,2821,4099,ms
Task Path,:app:packageProdDebug,2842,2560,2788,2380,3337,3286,ms
Task Path,:core:data-test:compileProdDebugKotlin,1086,1076,1062,1034,1379,1402,ms
Task Path,:core:datastore-test:kspDemoDebugKotlin,2038,1956,1988,1905,2368,2375,ms
Task Path,:app-nia-catalog:mergeExtDexDebug,17639,17568,17395,16765,19281,20034,ms
Task Path,:core:datastore-test:kspProdDebugKotlin,1939,1936,1877,1849,2194,2302,ms
Task Path,:lint:compileKotlin,1747,2068,1748,1923,2111,2766,ms
Task Path,:app-nia-catalog:packageDebug,1842,2094,1779,2078,2194,2615,ms
Task Path,:core:screenshot-testing:kspDemoDebugKotlin,1507,1664,1505,1635,1724,1901,ms
Task Path,:core:screenshot-testing:kspProdDebugKotlin,1340,1509,1294,1476,1609,1777,ms
Task Path,:core:testing:kspDemoDebugKotlin,2524,2687,2473,2636,2942,3317,ms
Task Path,:core:testing:kspProdDebugKotlin,2359,2173,2338,2115,2711,2585,ms
Task Path,:core:screenshot-testing:compileProdDebugKotlin,1749,1946,1697,1879,2179,2468,ms
Task Path,:core:screenshot-testing:compileDemoDebugKotlin,1730,1960,1688,1870,2012,2453,ms
Task Path,:core:testing:compileDemoDebugKotlin,1476,1516,1423,1452,1863,1921,ms
Task Path,:core:testing:compileProdDebugKotlin,1441,1283,1424,1201,1806,1728,ms
Task Path,:sync:sync-test:kspProdDebugKotlin,1334,1810,1278,1754,1711,2236,ms
Task Path,:sync:sync-test:kspDemoDebugKotlin,1407,1884,1326,1812,1872,2364,ms
Kotlin Build Reports,Compiler code analysis,1431.35,1537.27,861,938,3109,3722,ms
Kotlin Build Reports,Update caches,11.89,12.01,7,7,30,30,ms
Kotlin Build Reports,Compiler IR lowering,390.56,414.3,231,241,918,930,ms
Kotlin Build Reports,Shrink current classpath snapshot non-incrementally,85.72,94.49,60,66,177,209,ms
Kotlin Build Reports,Spent time before task action,53.92,56.61,29,30,71,71,ms
Kotlin Build Reports,Connect to Kotlin daemon,35.07,36.17,12,13,27,28,ms
Kotlin Build Reports,Compiler initialization time,101.21,104.44,69,71,149,156,ms
Kotlin Build Reports,Task action before worker execution,32.32,33.08,24,24,43,44,ms
Kotlin Build Reports,Sources compilation round,3067.26,3292.88,2153,2289,6095,6711,ms
Kotlin Build Reports,Run compilation,3321.14,3557.84,2422,2533,6475,7059,ms
Kotlin Build Reports,Shrink and save current classpath snapshot after compilation,88.76,97.63,63,70,185,214,ms
Kotlin Build Reports,Compiler code generation,881.88,957.69,538,569,2494,2262,ms
Kotlin Build Reports,Incremental compilation in daemon,3283.9,3520.17,2393,2499,6414,7043,ms
Kotlin Build Reports,Compiler IR translation,640.65,680.79,455,516,1399,1489,ms
Kotlin Build Reports,Total Gradle task time,3785.17,3907.13,2755,2803,8515,8040,ms
Kotlin Build Reports,Start gradle worker,225.29,84.33,3,3,246,56,ms
Kotlin Build Reports,Calculate output size,2.52,2.51,1,1,5,6,ms
Kotlin Build Reports,Load current classpath snapshot,32.37,35.1,12,13,73,87,ms
Kotlin Build Reports,Run compilation in Gradle worker,3362.75,3600.31,2448,2555,6506,7082,ms
Kotlin Build Reports,Save shrunk current classpath snapshot,3.37,3.59,3,3,7,7,ms
Kotlin Build Reports,Compiler IR generation,490.8,542.86,276,307,1359,1386,ms
Kotlin Build Reports,ABI snapshot size,49.0,49.0,49,49,49,49,B
Kotlin Build Reports,Total compiler iteration,1,1,1,1,1,1,
Kotlin Build Reports,Number of lines analyzed,758,758,427,427,1484,1484,
Kotlin Build Reports,Number of lines for code generation,758,758,427,427,1484,1484,
Kotlin Build Reports,Compiler IR lowering line number,758,758,427,427,1484,1484,
Kotlin Build Reports,Compiler IR generation line number,758,758,427,427,1484,1484,
Kotlin Build Reports,Compiler IR translation line number,758,758,427,427,1484,1484,
Kotlin Build Reports,Size of classpath snapshot,22.27,22.27,4,4,11,11,MB
Kotlin Build Reports,Number of cache misses when loading classpath entry snapshots,10,10,5,5,36,33,
Kotlin Build Reports,Size of shrunk classpath snapshot,59.22,59.22,50,50,111,111,KB
Kotlin Build Reports,Number of cache hits when loading classpath entry snapshots,59,59,56,56,97,97,
Kotlin Build Reports,Analysis lines per second,621,578,556,527,1067,1003,
Kotlin Build Reports,Code generation lines per second,1374,1242,1050,944,2907,2569,
Kotlin Build Reports,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
Kotlin Build Reports,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
Kotlin Build Reports,Total size of the cache directory,561.2,561.2,546,546,718,718,KB
Kotlin Build Reports,Number of classpath entries,66,66,58,58,107,107,
Kotlin Build Reports,Clear jar cache,3.04,3.17,2,2,6,6,ms
Kotlin Build Reports,Store build info,3.27,3.65,3,3,6,6,ms
Kotlin Build Reports,Write history file,5.06,3.59,3,3,7,6,ms
Kotlin Build Reports,Clear output,3.73,2.98,2,3,6,6,ms
Kotlin Build Reports,Clear outputs on rebuild,3.03,3.38,2,2,6,7,ms
All processes cpu,Max,100.0,100.0,100.0,100.0,100,100,%
All processes memory,Max,11.01,11.02,10.97,10.94,11.64,11.85,Gb
Build process cpu,Max,93.5,93.18,93.5,93.0,95,95,%
Build processes memory,Max,5.37,5.33,5.37,5.33,5.45,5.42,Gb
Build child processes cpu,Max,92.34,86.98,92.0,87.0,94,89,%
Build child processes memory,Max,4.61,4.67,4.58,4.61,5.23,5.46,Gb
gc-gradle_gc.log,total-collections,69.0,72.0,70.0,72.0,76.0,80.0,
gc-kotlin_gc.log,total-collections,44.0,49.0,44.5,50.0,52.0,56.0,
