Category,Metric,varianta_2.2.21 Mean,variantb_2.3.0 Mean,varianta_2.2.21 P50,variantb_2.3.0 P50,varianta_2.2.21 P90,variantb_2.3.0 P90,Unit
Build,Build time,571688,557065,568868,553224,591119,584334,ms
Build,Configuration time,48592,48188,48570,47784,51109,53464,ms
Gradle process state,Gradle-Process-gcTime,0.53,0.52,0.52,0.51,0.61,0.62,
Kotlin process state,Kotlin-Process-gcTime,0.28,0.24,0.28,0.24,0.3,0.26,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3639,3449,3095,3025,5205,5020,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2082,2047,2051,2079,2461,2285,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,4531,4473,4074,3992,5944,5834,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,4439,4409,3954,3975,9201,9110,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1644,1571,1594,1565,1975,1808,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,1000,957,1003,919,1210,1217,ms
Task Path,:build-logic:convention:compileKotlin,6786,6703,6769,6691,7068,7062,ms
Task Path,:app:app:parseDebugLocalResources,1314,1563,1149,1109,2132,2908,ms
Task Path,:app:app:mergeDebugResources,3803,3765,3848,3752,4356,4287,ms
Task Path,:app:app:processDebugResources,2082,2047,2051,2079,2461,2285,ms
Task Path,:core:alarm:kspDebugKotlin,15085,14965,15031,14948,15776,15591,ms
Task Path,:core:analytics:kspDebugKotlin,14899,14760,14855,14732,15642,15358,ms
Task Path,:core:account:kspDebugKotlin,16085,15952,16061,15958,16847,16558,ms
Task Path,:core:calendar:kspDebugKotlin,13391,13254,13348,13189,14011,13713,ms
Task Path,:core:alarm:compileDebugKotlin,17249,11149,17246,11203,17761,11691,ms
Task Path,:core:account:compileDebugKotlin,17020,12189,16925,12167,17617,12636,ms
Task Path,:core:analytics:compileDebugKotlin,16468,12286,16408,12293,17086,12757,ms
Task Path,:core:calendar:compileDebugKotlin,16330,12193,16263,12152,16962,12677,ms
Task Path,:core:alarm:compileDebugJavaWithJavac,2331,3146,2338,3091,2586,3698,ms
Task Path,:core:cart:kspDebugKotlin,8321,8440,8357,8434,9095,9009,ms
Task Path,:core:comment:kspDebugKotlin,8362,8711,8304,8714,9229,9486,ms
Task Path,:core:checkout:kspDebugKotlin,10068,10361,10209,10362,10907,11343,ms
Task Path,:core:contact:kspDebugKotlin,7840,8494,7791,8473,8852,9678,ms
Task Path,:core:comment:compileDebugKotlin,4692,4948,4655,4962,5445,5585,ms
Task Path,:core:cart:compileDebugKotlin,12433,12820,12405,12706,13790,14147,ms
Task Path,:core:contact:compileDebugKotlin,5810,6068,5771,5970,6654,6861,ms
Task Path,:core:cart:compileDebugJavaWithJavac,1316,1430,1337,1454,1714,1764,ms
Task Path,:core:checkout:compileDebugKotlin,7963,8611,7928,8490,8838,9518,ms
