Category,Metric,varianta_2.3.0 Mean,variantb_2.3.10 Mean,varianta_2.3.0 P50,variantb_2.3.10 P50,varianta_2.3.0 P90,variantb_2.3.10 P90,Unit
Build,Build time,514136,511726,510118,511657,538409,534327,ms
Build,Configuration time,47689,46028,47089,45822,56987,50497,ms
Gradle process state,Gradle-Process-capacity,5.34,5.34,5.48,5.47,5.89,5.82,
Gradle process state,Gradle-Process-gcTime,0.44,0.43,0.43,0.43,0.5,0.51,
Gradle process state,Gradle-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Gradle process state,Gradle-Process-uptime,8.55,8.51,8.48,8.5,8.95,8.88,
Gradle process state,Gradle-Process-usage,2.91,3.15,2.79,2.99,4.24,4.19,
Kotlin process state,Kotlin-Process-capacity,3.08,3.12,3.07,3.13,3.41,3.45,
Kotlin process state,Kotlin-Process-gcTime,0.19,0.2,0.2,0.2,0.21,0.21,
Kotlin process state,Kotlin-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Kotlin process state,Kotlin-Process-uptime,8.36,8.32,8.3,8.32,8.77,8.7,
Kotlin process state,Kotlin-Process-usage,1.35,1.44,1.29,1.39,2.1,2.11,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,7,7,7,7,9,9,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,31,30,30,28,41,44,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,41,41,39,38,61,58,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2596,2599,2141,2155,4097,4128,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,467,461,369,360,719,711,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,41,40,40,40,49,47,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,5,5,4,4,8,8,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,8,8,3,3,8,8,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,4,4,1,1,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,7,7,2,2,5,5,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,9,9,8,8,16,15,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,22,23,13,13,21,21,ms
Task Type,com.android.build.gradle.tasks.MergeResources,41,41,22,22,41,40,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessNavigationXmlTask,7,7,6,5,12,12,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,30,30,20,19,39,38,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,10,10,9,9,17,17,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,18,18,16,15,29,29,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,3742,3722,3199,3182,5364,5325,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,134,132,115,114,214,208,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,16,16,15,14,26,26,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,2,2,2,2,5,4,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,4,4,1,1,2,2,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,14,13,9,8,17,17,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,2,1,2,2,5,4,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,10,10,8,8,13,14,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,8,8,7,8,12,13,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,2,2,2,2,3,3,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,14,14,4,4,8,8,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,23,23,21,21,28,28,ms
Task Type,com.android.build.gradle.tasks.BundleAar,8,8,7,7,10,10,ms
Task Type,org.gradle.api.Task,0,0,0,0,0,0,ms
