Category,Metric,varianta_kotlin_2.3.10 Mean,variantb_kotlin_2.3.20 Mean,varianta_kotlin_2.3.10 P50,variantb_kotlin_2.3.20 P50,varianta_kotlin_2.3.10 P90,variantb_kotlin_2.3.20 P90,Unit
Task Path,:core:analytics:kspDebugKotlin,6331,6394,6182,6419,6888,6874,ms
Task Path,:core:account:compileDebugKotlin,7219,7885,7100,7702,8120,8841,ms
Task Path,:core:article:compileDebugKotlin,7030,7746,6987,7596,7753,8594,ms
Task Path,:core:analytics:compileDebugKotlin,7117,7843,6978,7668,7947,8755,ms
Task Path,:core:alarm:compileDebugKotlin,7177,7896,7091,7755,7991,8761,ms
Task Path,:core:calendar:kspDebugKotlin,2742,2741,2731,2648,3256,3378,ms
Task Path,:core:cart:kspDebugKotlin,3917,3835,3860,3832,4437,4343,ms
Task Path,:core:checkout:kspDebugKotlin,5336,5414,5344,5400,5963,6118,ms
Task Path,:core:comment:kspDebugKotlin,5162,5245,5137,5145,5834,6003,ms
Task Path,:core:calendar:compileDebugKotlin,6917,7164,6887,7116,7575,7946,ms
Task Path,:core:cart:compileDebugKotlin,5376,5700,5268,5717,6062,6201,ms
Task Path,:core:comment:compileDebugKotlin,5060,5354,5094,5409,5752,5883,ms
Task Path,:core:checkout:compileDebugKotlin,5176,5492,5119,5471,5933,6073,ms
Task Path,:core:contact:kspDebugKotlin,3121,3097,3147,3095,3508,3608,ms
Task Path,:core:document:kspDebugKotlin,2954,2814,2890,2791,3771,3485,ms
Task Path,:core:feed:kspDebugKotlin,3151,3118,3104,3111,3554,3526,ms
Task Path,:core:event:kspDebugKotlin,4384,4232,4345,4176,4921,4806,ms
Task Path,:core:contact:compileDebugKotlin,5127,5197,5207,5206,5506,5660,ms
Task Path,:core:document:compileDebugKotlin,4687,4847,4653,4828,5243,5382,ms
Task Path,:core:feed:compileDebugKotlin,4181,4228,4175,4161,4751,4698,ms
Task Path,:core:event:compileDebugKotlin,4221,4231,4166,4223,4785,4787,ms
Task Path,:core:file:kspDebugKotlin,2880,2840,2897,2840,3273,3263,ms
Task Path,:core:forecast:kspDebugKotlin,3817,3739,3812,3779,4308,4199,ms
Task Path,:core:group:kspDebugKotlin,2870,2852,2841,2832,3345,3241,ms
Task Path,:core:identity:kspDebugKotlin,3077,3016,3012,3064,3610,3419,ms
Task Path,:core:file:compileDebugKotlin,4197,4411,4119,4293,4748,5273,ms
Task Path,:core:forecast:compileDebugKotlin,4245,4744,4238,4822,4782,5355,ms
Task Path,:core:group:compileDebugKotlin,4162,4470,4122,4495,4712,5050,ms
Task Path,:core:identity:compileDebugKotlin,4217,4362,4249,4377,4850,4907,ms
Task Path,:core:list:kspDebugKotlin,2725,2608,2694,2524,3150,3233,ms
Task Path,:core:location:kspDebugKotlin,2501,2553,2447,2603,2951,3047,ms
Task Path,:core:login:kspDebugKotlin,2677,2644,2698,2599,3100,3161,ms
Task Path,:core:log:kspDebugKotlin,3482,3470,3482,3441,3994,4036,ms
Task Path,:core:list:compileDebugKotlin,4192,3846,4197,3923,4812,4324,ms
Task Path,:core:location:compileDebugKotlin,3710,3782,3735,3758,4220,4235,ms
Task Path,:core:login:compileDebugKotlin,3220,3334,3199,3284,3612,3805,ms
Task Path,:core:log:compileDebugKotlin,3448,3430,3436,3459,3875,3900,ms
Task Path,:core:map:kspDebugKotlin,2542,2458,2496,2453,2967,2932,ms
Task Path,:core:message:kspDebugKotlin,2497,2423,2514,2427,2979,2932,ms
Task Path,:core:metric:kspDebugKotlin,2465,2398,2484,2459,2868,2884,ms
Task Path,:core:network:kspDebugKotlin,2422,2332,2415,2325,2827,2884,ms
Task Path,:core:map:compileDebugKotlin,3422,3500,3373,3529,3856,3988,ms
Task Path,:core:message:compileDebugKotlin,3132,3237,3108,3241,3682,3756,ms
Task Path,:core:metric:compileDebugKotlin,3159,3092,3186,3067,3641,3643,ms
Task Path,:core:network:compileDebugKotlin,3319,3264,3370,3261,3777,3630,ms
Task Path,:core:news:kspDebugKotlin,2412,2344,2375,2282,2855,2940,ms
Task Path,:core:note:kspDebugKotlin,3214,3019,3235,3016,3789,3614,ms
Task Path,:core:notification:kspDebugKotlin,2352,2303,2399,2348,2763,2879,ms
Task Path,:core:news:compileDebugKotlin,3278,3213,3217,3228,3807,3594,ms
Task Path,:core:podcast:kspDebugKotlin,2421,2334,2394,2337,2945,2863,ms
Task Path,:core:note:compileDebugKotlin,3044,3102,3062,3073,3481,3551,ms
Task Path,:core:notification:compileDebugKotlin,3078,3219,3076,3228,3490,3681,ms
Task Path,:core:podcast:compileDebugKotlin,3054,3096,3076,3028,3454,3610,ms
Task Path,:core:post:kspDebugKotlin,2365,2303,2353,2313,2823,2779,ms
Task Path,:core:profile:kspDebugKotlin,2328,2318,2288,2278,2859,2859,ms
Task Path,:core:post:compileDebugKotlin,3022,3146,3048,3094,3461,3889,ms
Task Path,:core:push:kspDebugKotlin,2253,2197,2280,2197,2625,2721,ms
Task Path,:core:report:kspDebugKotlin,2428,2362,2452,2337,2866,2792,ms
Task Path,:core:profile:compileDebugKotlin,3044,3359,3046,3387,3528,3968,ms
Task Path,:core:search:kspDebugKotlin,2336,2272,2376,2294,2997,2694,ms
Task Path,:core:report:compileDebugKotlin,3044,3024,3011,3014,3816,3608,ms
Task Path,:core:push:compileDebugKotlin,2978,3189,2983,3104,3501,3852,ms
Task Path,:core:session:kspDebugKotlin,2093,1889,2106,1884,2517,2336,ms
Task Path,:core:search:compileDebugKotlin,3076,2824,3063,2822,3672,3169,ms
Task Path,:core:share:kspDebugKotlin,2249,2069,2204,2001,2776,2458,ms
Task Path,:core:setting:kspDebugKotlin,2867,2744,2798,2727,3411,3220,ms
Task Path,:core:session:compileDebugKotlin,3096,2953,3086,2912,3695,3566,ms
Task Path,:core:status:kspDebugKotlin,2128,2033,2132,2019,2570,2388,ms
Task Path,:core:setting:compileDebugKotlin,2934,2831,2914,2798,3419,3517,ms
Task Path,:core:share:compileDebugKotlin,2996,2951,2961,2955,3533,3358,ms
Task Path,:core:status:compileDebugKotlin,2898,2869,2874,2902,3429,3388,ms
Task Path,:core:task:kspDebugKotlin,2239,2095,2304,2091,2648,2586,ms
Task Path,:core:sync:kspDebugKotlin,2804,2615,2844,2585,3347,3180,ms
Task Path,:core:timer:kspDebugKotlin,2234,2138,2287,2095,2619,2599,ms
Task Path,:core:todo:kspDebugKotlin,2223,2202,2242,2118,2710,2769,ms
Task Path,:core:timer:compileDebugKotlin,2761,2798,2741,2792,3192,3402,ms
Task Path,:core:task:compileDebugKotlin,2803,2868,2815,2846,3167,3394,ms
Task Path,:core:sync:compileDebugKotlin,2797,2632,2869,2607,3205,3055,ms
Task Path,:core:todo:compileDebugKotlin,2580,2682,2598,2726,3008,3148,ms
Task Path,:core:user:kspDebugKotlin,1976,1930,1962,1955,2343,2341,ms
Task Path,:core:video:kspDebugKotlin,2131,2068,2141,1999,2596,2700,ms
Task Path,:core:weather:kspDebugKotlin,2008,2029,1981,1994,2372,2531,ms
Task Path,:feature:checkout-contact:kspDebugKotlin,2140,2147,2106,2097,2558,2582,ms
Task Path,:core:user:compileDebugKotlin,2694,2736,2696,2700,3179,3151,ms
Task Path,:core:weather:compileDebugKotlin,2514,2612,2477,2583,3002,3010,ms
Task Path,:core:video:compileDebugKotlin,2749,2773,2746,2730,3173,3145,ms
Task Path,:feature:checkout-contact:compileDebugKotlin,2481,2498,2424,2459,2897,2912,ms
Task Path,:feature:calendar-contact:kspDebugKotlin,2069,1905,2071,1860,2418,2359,ms
Task Path,:feature:audio:kspDebugKotlin,2155,2041,2155,2010,2612,2622,ms
Task Path,:feature:location-contact:kspDebugKotlin,2095,2081,2062,2082,2510,2490,ms
Task Path,:feature:map-contact:kspDebugKotlin,2094,2050,2108,2021,2519,2403,ms
Task Path,:feature:calendar-contact:compileDebugKotlin,2520,2555,2519,2506,2827,2973,ms
Task Path,:feature:audio:compileDebugKotlin,2648,2670,2644,2648,2963,3023,ms
Task Path,:feature:location-contact:compileDebugKotlin,2633,2631,2536,2569,3251,3153,ms
Task Path,:feature:map-contact:compileDebugKotlin,2374,2440,2353,2439,2778,2951,ms
Task Path,:feature:metric-contact:kspDebugKotlin,1908,1911,1926,1905,2245,2277,ms
Task Path,:feature:photo:kspDebugKotlin,2514,2444,2518,2444,2949,3017,ms
Task Path,:feature:setting-contact:kspDebugKotlin,1983,1920,1991,1908,2371,2315,ms
Task Path,:feature:post-contact:kspDebugKotlin,2696,2615,2663,2584,3150,3075,ms
Task Path,:feature:metric-contact:compileDebugKotlin,2416,2597,2397,2511,2928,3501,ms
Task Path,:feature:setting-contact:compileDebugKotlin,2519,2602,2500,2563,3010,2994,ms
Task Path,:feature:photo:compileDebugKotlin,2588,2709,2538,2634,3152,3190,ms
Task Path,:feature:post-contact:compileDebugKotlin,2609,2582,2560,2597,3258,2918,ms
Task Path,:feature:share-contact:kspDebugKotlin,2496,2498,2495,2386,3001,3106,ms
Task Path,:feature:log-contact:kspDebugKotlin,1924,1830,1940,1809,2163,2130,ms
Task Path,:feature:cart-contact:kspDebugKotlin,2487,2468,2449,2476,2893,2806,ms
Task Path,:feature:todo-contact:kspDebugKotlin,2573,2534,2553,2521,3002,2933,ms
Task Path,:feature:share-contact:compileDebugKotlin,2541,2511,2403,2522,3285,3004,ms
Task Path,:feature:log-contact:compileDebugKotlin,2665,2607,2582,2498,3281,3073,ms
Task Path,:feature:cart-contact:compileDebugKotlin,2625,2615,2595,2594,3094,3117,ms
Task Path,:feature:todo-contact:compileDebugKotlin,2435,2310,2369,2282,3002,3002,ms
Task Path,:domain:account-login:kspDebugKotlin,1859,1729,1808,1710,2254,2187,ms
Task Path,:domain:alarm-login:kspDebugKotlin,1865,1781,1846,1756,2329,2207,ms
Task Path,:feature:analytics-contact:kspDebugKotlin,1997,1980,1970,1950,2434,2347,ms
Task Path,:domain:account-login:compileDebugKotlin,2462,2486,2451,2416,2926,2918,ms
Task Path,:feature:alarm-contact:kspDebugKotlin,2446,2459,2397,2424,3069,2990,ms
Task Path,:domain:alarm-login:compileDebugKotlin,2178,2343,2135,2293,2735,2851,ms
Task Path,:feature:analytics-contact:compileDebugKotlin,2365,2418,2328,2392,2692,2816,ms
Task Path,:feature:alarm-contact:compileDebugKotlin,2302,2315,2272,2328,2727,2653,ms
Task Path,:feature:contact-contact:kspDebugKotlin,1932,1869,1850,1834,2380,2223,ms
Task Path,:feature:feed-contact:kspDebugKotlin,1585,1525,1598,1516,2022,1869,ms
Task Path,:feature:contact-contact:compileDebugKotlin,2114,2201,2096,2157,2360,2620,ms
Task Path,:feature:file-contact:kspDebugKotlin,1811,1853,1800,1808,2117,2281,ms
Task Path,:feature:group-contact:kspDebugKotlin,1910,1947,1892,1929,2281,2425,ms
Task Path,:feature:feed-contact:compileDebugKotlin,2169,2388,2161,2388,2515,2891,ms
Task Path,:feature:file-contact:compileDebugKotlin,2390,2524,2320,2532,2726,3007,ms
Task Path,:feature:identity-contact:kspDebugKotlin,1869,1902,1842,1905,2177,2282,ms
Task Path,:feature:group-contact:compileDebugKotlin,2184,2320,2101,2335,2604,2804,ms
Task Path,:feature:media:kspDebugKotlin,1629,1637,1592,1615,2096,2065,ms
Task Path,:feature:message-contact:kspDebugKotlin,1673,1703,1690,1671,2015,2207,ms
Task Path,:feature:network-contact:kspDebugKotlin,1841,1815,1817,1781,2175,2223,ms
Task Path,:feature:identity-contact:compileDebugKotlin,2168,2311,2207,2341,2600,2814,ms
Task Path,:feature:media:compileDebugKotlin,2157,2147,2160,2157,2529,2501,ms
Task Path,:feature:message-contact:compileDebugKotlin,2251,2255,2194,2228,2729,2622,ms
Task Path,:feature:network-contact:compileDebugKotlin,2109,2146,2050,2132,2510,2442,ms
Task Path,:feature:note-contact:kspDebugKotlin,1915,1942,1886,1855,2256,2333,ms
Task Path,:feature:notification-contact:kspDebugKotlin,1707,1793,1696,1793,2128,2291,ms
Task Path,:feature:profile-contact:kspDebugKotlin,1606,1664,1504,1687,2100,1991,ms
Task Path,:feature:notification-contact:compileDebugKotlin,2019,2132,2027,2193,2403,2493,ms
Task Path,:feature:note-contact:compileDebugKotlin,2076,2135,2040,2078,2523,2698,ms
Task Path,:feature:push-contact:kspDebugKotlin,2197,2274,2168,2297,2621,2582,ms
Task Path,:feature:profile-contact:compileDebugKotlin,1972,2100,1959,2080,2336,2483,ms
Task Path,:feature:push-contact:compileDebugKotlin,2060,2243,2039,2169,2380,2894,ms
Task Path,:feature:report-contact:kspDebugKotlin,1693,1754,1656,1719,2040,2035,ms
Task Path,:feature:session-contact:kspDebugKotlin,1636,1695,1614,1686,1989,2024,ms
Task Path,:feature:status-contact:kspDebugKotlin,2145,2229,2134,2191,2628,2720,ms
Task Path,:feature:timer-contact:kspDebugKotlin,1802,1820,1785,1831,2188,2161,ms
Task Path,:feature:session-contact:compileDebugKotlin,2066,2304,2088,2269,2484,2732,ms
Task Path,:feature:report-contact:compileDebugKotlin,2186,2381,2148,2338,2479,2841,ms
Task Path,:feature:status-contact:compileDebugKotlin,2139,2245,2110,2183,2607,2735,ms
Task Path,:feature:timer-contact:compileDebugKotlin,2091,2208,2120,2203,2448,2560,ms
Task Path,:domain:analytics-login:kspDebugKotlin,1828,1827,1864,1841,2244,2177,ms
Task Path,:feature:document-contact:kspDebugKotlin,1808,1804,1817,1835,2222,2069,ms
Task Path,:feature:account-contact:kspDebugKotlin,2408,2378,2350,2333,2827,2834,ms
Task Path,:feature:gallery:kspDebugKotlin,1808,1770,1806,1757,2246,2176,ms
Task Path,:domain:analytics-login:compileDebugKotlin,2384,2281,2352,2252,3011,2750,ms
Task Path,:feature:document-contact:compileDebugKotlin,2300,2370,2296,2363,2767,2807,ms
Task Path,:feature:account-contact:compileDebugKotlin,2352,2418,2324,2297,2826,2992,ms
Task Path,:feature:gallery:compileDebugKotlin,2359,2291,2297,2257,2996,2685,ms
Task Path,:feature:login-contact:kspDebugKotlin,1833,1820,1833,1813,2279,2171,ms
Task Path,:feature:sync-contact:kspDebugKotlin,1859,1831,1857,1853,2278,2158,ms
Task Path,:feature:comment-contact:kspDebugKotlin,1722,1677,1672,1659,1990,2035,ms
Task Path,:feature:list-contact:kspDebugKotlin,1710,1673,1688,1688,1978,1980,ms
Task Path,:feature:login-contact:compileDebugKotlin,2200,2324,2149,2267,2723,2797,ms
Task Path,:feature:comment-contact:compileDebugKotlin,2147,2211,2112,2161,2518,2640,ms
Task Path,:feature:sync-contact:compileDebugKotlin,2236,2233,2247,2207,2658,2700,ms
Task Path,:feature:list-contact:compileDebugKotlin,2162,2129,2121,2092,2596,2415,ms
Task Path,:feature:user-contact:kspDebugKotlin,1809,1764,1804,1728,2180,2032,ms
Task Path,:domain:article-contact:kspDebugKotlin,1648,1617,1565,1622,2018,2003,ms
Task Path,:feature:user-contact:compileDebugKotlin,2024,2108,1988,2074,2401,2432,ms
Task Path,:feature:event-contact:kspDebugKotlin,1594,1621,1562,1625,1881,1896,ms
Task Path,:feature:playlist:kspDebugKotlin,1600,1642,1626,1629,1905,1913,ms
Task Path,:domain:article-contact:compileDebugKotlin,2032,2025,2011,2066,2412,2280,ms
Task Path,:domain:audio-contact:kspDebugKotlin,1584,1636,1577,1627,1927,1957,ms
Task Path,:feature:event-contact:compileDebugKotlin,2018,2107,2010,2115,2393,2433,ms
Task Path,:feature:playlist:compileDebugKotlin,2117,2095,2092,2086,2541,2424,ms
Task Path,:feature:search-contact:kspDebugKotlin,1611,1601,1573,1577,1893,1940,ms
Task Path,:domain:audio-contact:compileDebugKotlin,2011,2064,2020,2050,2348,2456,ms
Task Path,:feature:task-contact:kspDebugKotlin,1627,1614,1583,1588,2014,2027,ms
Task Path,:feature:weather-contact:kspDebugKotlin,1672,1750,1679,1745,2068,2109,ms
Task Path,:feature:search-contact:compileDebugKotlin,2022,1973,2046,1946,2388,2350,ms
Task Path,:feature:task-contact:compileDebugKotlin,2030,2153,2025,2141,2386,2595,ms
Task Path,:feature:weather-contact:compileDebugKotlin,2035,2105,2027,2151,2339,2406,ms
Task Path,:domain:document-login:kspDebugKotlin,1769,1781,1796,1730,2123,2098,ms
Task Path,:domain:feed-login:kspDebugKotlin,1720,1708,1696,1679,1961,2066,ms
Task Path,:domain:document-login:compileDebugKotlin,1910,1992,1886,1991,2353,2513,ms
Task Path,:domain:calendar-login:kspDebugKotlin,1661,1657,1646,1635,2019,2070,ms
Task Path,:domain:cart-login:kspDebugKotlin,1760,1776,1723,1735,2184,2120,ms
Task Path,:domain:checkout-login:kspDebugKotlin,1672,1695,1627,1714,2074,1996,ms
Task Path,:domain:comment-login:kspDebugKotlin,1703,1754,1596,1729,2120,2064,ms
Task Path,:domain:calendar-login:compileDebugKotlin,1952,2077,1927,2075,2359,2412,ms
Task Path,:domain:cart-login:compileDebugKotlin,2011,2095,1996,2116,2357,2400,ms
Task Path,:domain:checkout-login:compileDebugKotlin,2025,2086,2021,2082,2343,2443,ms
Task Path,:domain:comment-login:compileDebugKotlin,1784,1843,1742,1813,2188,2159,ms
Task Path,:domain:contact-login:kspDebugKotlin,1895,1856,1899,1815,2275,2351,ms
Task Path,:domain:event-login:kspDebugKotlin,1719,1735,1706,1663,2112,2124,ms
Task Path,:domain:contact-login:compileDebugKotlin,1786,1814,1786,1808,2091,2134,ms
Task Path,:domain:file-login:kspDebugKotlin,1586,1546,1581,1523,1935,1850,ms
Task Path,:domain:feed-login:compileDebugKotlin,2000,2030,1967,1979,2433,2451,ms
Task Path,:domain:event-login:compileDebugKotlin,1930,1951,1890,1929,2217,2298,ms
Task Path,:domain:forecast-contact:kspDebugKotlin,1617,1578,1606,1575,1936,1864,ms
Task Path,:domain:file-login:compileDebugKotlin,1954,1999,1931,1993,2317,2383,ms
Task Path,:domain:gallery-contact:kspDebugKotlin,2050,2023,2003,2006,2503,2476,ms
Task Path,:domain:forecast-contact:compileDebugKotlin,1932,1974,1916,1940,2257,2310,ms
Task Path,:domain:identity-login:kspDebugKotlin,1608,1602,1618,1632,1929,1892,ms
Task Path,:domain:group-login:kspDebugKotlin,2072,2047,2056,1990,2522,2501,ms
Task Path,:domain:gallery-contact:compileDebugKotlin,1943,1940,1955,1870,2354,2349,ms
Task Path,:domain:identity-login:compileDebugKotlin,1717,1953,1712,1921,2071,2471,ms
Task Path,:domain:group-login:compileDebugKotlin,1932,2017,1915,1939,2261,2543,ms
Task Path,:domain:location-login:kspDebugKotlin,1585,1643,1602,1628,1885,1965,ms
Task Path,:domain:log-login:kspDebugKotlin,1449,1563,1422,1574,1783,1903,ms
Task Path,:domain:location-login:compileDebugKotlin,1661,1849,1649,1861,2021,2262,ms
Task Path,:domain:login-login:kspDebugKotlin,1453,1536,1444,1559,1773,1917,ms
Task Path,:domain:media-contact:kspDebugKotlin,1507,1591,1489,1600,1887,1938,ms
Task Path,:domain:log-login:compileDebugKotlin,1711,1835,1674,1823,2028,2169,ms
Task Path,:domain:media-contact:compileDebugKotlin,1815,2001,1767,1984,2266,2387,ms
Task Path,:domain:login-login:compileDebugKotlin,1888,1988,1850,1976,2244,2258,ms
Task Path,:domain:message-login:kspDebugKotlin,1577,1671,1571,1686,1960,1974,ms
Task Path,:domain:metric-login:kspDebugKotlin,1918,1987,1876,1966,2394,2404,ms
Task Path,:domain:message-login:compileDebugKotlin,1777,1997,1762,1935,2166,2480,ms
Task Path,:domain:network-login:kspDebugKotlin,1605,1590,1571,1546,1966,1916,ms
Task Path,:domain:metric-login:compileDebugKotlin,1880,1962,1840,1897,2261,2352,ms
Task Path,:domain:news-contact:kspDebugKotlin,1979,2019,1944,1998,2497,2427,ms
Task Path,:domain:notification-login:kspDebugKotlin,1550,1508,1530,1502,1896,1810,ms
Task Path,:domain:news-contact:compileDebugKotlin,1911,1894,1832,1885,2524,2285,ms
Task Path,:domain:network-login:compileDebugKotlin,1952,1967,1904,1939,2501,2331,ms
Task Path,:domain:photo-contact:kspDebugKotlin,1400,1447,1346,1442,1691,1870,ms
Task Path,:domain:playlist-contact:kspDebugKotlin,1416,1437,1395,1402,1692,1690,ms
Task Path,:domain:podcast-contact:kspDebugKotlin,1496,1464,1500,1411,1807,1866,ms
Task Path,:domain:notification-login:compileDebugKotlin,1842,1817,1788,1856,2339,2195,ms
Task Path,:domain:photo-contact:compileDebugKotlin,1896,1853,1826,1840,2397,2057,ms
