Category,Metric,cdsap-71_varianta_main Mean,cdsap-71_variantb_gradle_8_13 Mean,cdsap-71_varianta_main P50,cdsap-71_variantb_gradle_8_13 P50,cdsap-71_varianta_main P90,cdsap-71_variantb_gradle_8_13 P90,Unit
Build,Build time,211876,212589,210320,211775,220499,221680,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,41,38,40,37,47,44,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,17,17,10,9,46,45,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3938,3970,2774,2780,10736,10684,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,662,672,413,414,1383,1396,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,45,45,33,34,97,97,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,3,3,3,3,7,8,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,15,13,9,9,19,19,ms
Task Type,com.google.android.gms.oss.licenses.plugin.DependencyTask,92,86,112,105,169,166,ms
Task Type,com.google.android.gms.oss.licenses.plugin.LicensesTask,66,60,67,66,126,115,ms
Task Type,com.google.firebase.crashlytics.buildtools.gradle.tasks.InjectMappingFileIdTask,26,23,21,21,51,45,ms
Task Type,com.google.gms.googleservices.GoogleServicesTask,20,19,17,16,34,30,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,13,13,12,12,23,23,ms
Task Type,com.android.build.gradle.tasks.MergeResources,283,281,32,32,209,188,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,607,586,132,135,1738,1684,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,94,89,39,39,230,209,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,47,41,10,10,40,40,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,15,14,12,11,31,30,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,7,7,6,6,13,14,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,42,41,22,23,47,48,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,647,580,340,355,1368,1201,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,79,80,16,17,226,225,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,142,215,36,39,326,1257,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,19,20,11,11,29,31,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,31,33,19,18,51,52,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1475,1450,1280,1260,2255,2244,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,11,11,8,9,20,19,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3688,3723,2993,3011,6539,6586,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,352,355,105,105,898,800,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,138,136,20,21,59,55,ms
Task Type,com.google.protobuf.gradle.ProtobufExtract,74,74,9,9,361,359,ms
Task Type,com.google.protobuf.gradle.GenerateProtoTask,87,87,79,79,153,153,ms
Task Type,com.android.build.gradle.tasks.GenerateBuildConfig,32,32,26,30,60,60,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,19,19,11,12,24,24,ms
Task Type,androidx.room.gradle.RoomGradlePlugin$RoomSchemaCopyTask,4,4,2,2,8,10,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,27,28,12,12,70,70,ms
Task Type,com.android.build.gradle.internal.coverage.JacocoPropertiesTask,18,17,14,14,34,33,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,20,20,18,18,30,29,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,324,316,119,116,811,773,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,115,114,34,34,317,305,ms
Task Type,com.android.build.gradle.internal.tasks.L8DexDesugarLibTask,13025,13085,79,81,40005,39923,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,9899,9973,1274,1328,40074,40583,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,12,13,2,2,8,8,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,11,11,6,7,13,13,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,6,6,2,2,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,8,8,7,7,13,12,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,21,20,8,8,55,53,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,950,879,9,8,3235,2971,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,633,653,788,661,1169,1241,ms
Task Type,com.android.build.gradle.internal.tasks.JacocoTask,1236,1381,1133,1164,1652,2810,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,215,214,13,13,61,59,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1807,1792,1736,1734,2858,2923,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,3045,2964,2809,2774,4902,4582,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,7,8,7,7,14,14,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,25,25,21,21,39,38,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,7,7,5,5,10,10,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,5,5,5,5,9,9,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,5,5,5,5,8,9,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,12,13,5,5,13,14,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,41,41,33,33,73,74,ms
Task Type,com.android.build.gradle.tasks.BundleAar,19,19,16,16,32,33,ms
Task Path,:build-logic:convention:compileKotlin,12383,12452,12219,12240,12835,13322,ms
Task Path,:app:checkDemoDebugAarMetadata,1626,1555,1678,1609,1828,1798,ms
Task Path,:app:parseDemoDebugLocalResources,1495,1233,1172,964,2510,2366,ms
Task Path,:app:processDemoDebugMainManifest,1429,1223,1141,1049,2631,2355,ms
Task Path,:app:mergeDemoDebugResources,5622,5573,5627,5656,6082,6111,ms
